"Frontside"	"Flipside"	"Category"
hahaw	спать	vin.
hapxì	часть	n.
hasey	готовый, законченный, завершенный	adj.
hawnu	охранять, защищать, укрывать	vtr.
hì'i	маленький (в размере)	adj.
hiyìk	смешной, забавный, странный	adj.
hol	несколько, немного	adj.
holpxay	число	n.
hrrap	опасность	n.
hu	вместе с	adp.
hufwe	ветер	n.
hum	отправляться, уходить, покидать	vin.
i'en	струнный муз. инструмент	n.
ikran	горный банши	n.
ikranay	лесной банши	n.
ioang	зверь, животное	n.
irayo	спасибо	n., intj.
ìlä	посредством чеголибо, сквозь, через, согласно чемуто	adp.
ka	через (направление)	adp.
kä	идти, ехать, двигаться	vin.
kali'weya	вид ядовитых паукообразных	n.
kalin	сладкий	adj.
kaltxì	привет	intj.
kämakto	выезжать, выдвигаться	v.
kame	видеть сущность, понимать, знать	vtr.
kan	целиться	vtrm., vtr.
kangay	действенный, эффективный, действующий	adj.
kar	учить	vtr.
karyu	учитель	n.
kato	ритм	n.
kawkrr	никогда	adv.
kawng	плохой, дурной, злой	adj.
kawtu	никто	pn.
ke	не	adv.
ke'u	ничего, ничто	pn.
kehe	нет	part., intj.
kelku	дом	n.
kelku si	жить, обитать	vin.
kem	действие, поступок	n.
kempe	что (вопрос к действию)	inter.
kenong	иллюстрировать (на примере), приводить пример, представлять в качестве образца	vin.
kerusey	мертвый	adj.
ketuwong	чужой, чужак, чужестранец	n.
kewong	чужой	adj.
keye'ung	безумие, умопомешательство	n.
kifkey	материальный мир	n.
kilvan	река	n.
kìm	вращать (чтолибо)	vtr.
kin	нуждаться (в комто или чемто)	vtr.
kinam	нога	n.
kinamtil	колено	n.
kìng	нить	n.
kip	между, посреди, среди	adp.
kìte'e	служба, занятие, работа, услуга	n.
kllfro'	нести ответственность	svin.
kllkulat	прокапывать	vtr.
kllkxem	стоять	vin.
kllpxìltu	территория	n.
kllte	земля	n.
ko	призыв к действию, побуждение к согласию	part.
kop	также, в том числе	adv.
koren	правило	n.
krr	время	n.
krrnekx	требовать времени	vin.
krrpe	когда (в какое время)	inter.
kunsìp	ударный вертолёт	n.
kurakx	выезжать, выдвигаться откудалибо	vtr.
kxam	середина, центр	n.
kxamtseng	место посередине	n.
kxangangang	бабах (звукоподражание)	intj.
kxanì	запрещённый, запретный	adj.
kxawm	может быть, возможно	adv.
kxener	дым	n.
kxetse	хвост	n.
kxeyey	ошибка	n.
kxll	нападать, бросаться в атаку	n.
lahe	другой, иной	adj.
lam	казаться, представляться	vin.
lapo	другой (вещь или персонаж)	pn.
latem	меняться, менять	vin.
law	ясный, четкий, определенный	adj.
lefpom	мирный, добрый, умиротворенный, веселый	adj.
lertu	коллега	n.
letrr	ежедневный, каждодневный	adj.
letsunslu	возможный, вероятный	adj.
lì'u	слово	n.
lì'fya	язык (речь)	n.
lok	подходить, приближаться	vtr.
lonu	освобождать, отпускать, выпускать	vtr.
lor	красивый, привлекательный	adj.
loreyu	helicoradium spirale, прекрасная спираль	n.
lrrtok	улыбка	n.
lrrtok si	улыбаться	vin.
lu	быть, являться, существовать	vin., svin.
lun	причина	n.
lumpe	почему, зачем	inter.
ma	маркер звательного падежа	part.
makto	ехать (верхом)	vtr.
mawey	спокойный	adj.
mefo	они (указание на пару коголибо или чеголибо)	pn.
menari	глаза	n.
meoauniaea	гармония жизни с природой	n.
meuia	слава, почёт, честь	n.
meyp	слабый, неспособный, хрупкий	adj.
mi	все ещё, пока что, попрежнему	adv.
mip	новый	adj.
mikyun	ухо	n.
mì	в, на	adp.
mìn	поворот	vin.
mìso	далеко, вдали (позиция)	adv.
mllte	соглашаться	vin.
moe	мы двое (без собеседника)	pn.
mokri	голос	n.
muiä	правильный, должный, справедливый	adj.
mun'i	резать, разрезать	v.
mune	два	num.
munge	брать, нести	vtr.
mungwrr	кроме	adp.
muntxa	сочетавшиеся браком	adj.
na	как и, подобно	adp.
na'rìng	лес	n.
Na'vi	на'ви (Народ, разумные аборигены Пандоры)	prop.n.
nang	восклицание удивления, восхищения 	part.
nantang	змееволк Caniferratus costatus, бронированный волк	n.
nari	глаз	n.
nari si	быть начеку, смотреть в оба	vin.
nawm	великий, славный, благородный	adj.
ne	к, по направлению к	adp.
ne'ìm	назад, обратно	adv.
nekx	потреблять, расходовать	vtr.
neto	от (по направлению)	adv.
new	хотеть, желать	vtrm.
niä	брать, хватать	vtr.
nì'aw	только, лишь, исключительно	adv.
nìawnomum	как известно (прост. [naw.no.mum])	adv.
nì'awtu	в одиночестве	adv.
nì'awve	впервые	adv.
nì'it	чутьчуть, немного (абстрактно)	adv.
nì'ul	более	adv.
nìayoeng	как мы, подобно нам (прост. [naj.wEN])	adv.
nìftue	просто	adv.
nìftxavang	страстно, пылко, с душой	adv.
nìhawng	излишне, слишком, чересчур, чрезмерно	adv.
nìltsan	хорошо	adv.
nìmun	ещё, вновь, опять	adv.
nìn	взглянуть на чтолибо, посмотреть кудалибо	vtr.
nìngay	правдиво, искренне, в самом деле	adv.
nìtam	довольно, достаточно	adv.
nìteng	также, в том числе	adv.
nìtut	ежеминутно, непрерывно, всё время	adv.
nìtxan	весьма, очень, сильно	adv.
nìwin	быстро 	adv.
nìwotx	целиком, всецело, полностью	adv.
nulkrr	дольше	adv.
nulnew	отдавать предпочтение, предпочитать	vtrm.
nume	учиться, изучать	vin.
nga	ты	pn.
ngawng	червь	n.
ngay	верный, правильный, правдивый	adj.
ngenga	ты (уважительная форма)	pn.
ngim	длинный	adj.
ngop	создавать, творить, порождать	vtr.
ngrr	корень	n.
nguway	вой, крик змееволка	n.
oe	я	pn.
oeng	мы с тобой (двойственный инклюзив)	pn.
oeyk	причина	n.
ohe	я (почтительная или церемониальная форма)	pn.
olo'	клан	n.
olo'eyktan	вождь клана	n.
omum	знать, понимать, разбираться	vtr.
ontu	нос	n.
pähem	прибывать, приезжать, достигать	vin.
pak	всегото! (выражение досады или разочарования)	part.
pa'li	лошадь (direhorse)	n.
palulukan	Танатор (крупный хищник)	n.
pam	звук	n.
pamtseo	музыка	n.
pamtseowll	«кошачье ухо», музыкальный цветок	n.
pängkxo	вести беседу, разговаривать (ни с кем конкретно)	vin.
pänutìng	обещать (комуто) 	vtr.
pätsì	эмблема, символ, знак	n.
pawm	просить, спрашивать	v.
pay	вода	n.
paywll	дапофет («водное растение», названо так изза мясистых сочных листьев, в которых накапливает влагу из почвы)	n.
pe	вопросительный маркер	affix
pe'un	решать	vtr.
pefya	как	inter.
pehem	прямой вопрос к какомулибо действию, поступку	inter.
pehrr	когда, в какое время	inter.
pelun	зачем, почему, отчего	inter.
peng	сообщить, рассказать	vtr.
penghrrap	«маяк опасности» (издающее изумруднофиолетовый цвет при приближении опасности растение)	n.
peseng	где	inter.
pesu	кто	inter.
peu	кто (вопрос к неодушевленному предмету)	inter.
pey	ждать, ожидать	vin.
pizayu	прародитель, предок	n.
plltxe	говорить, изъясняться	v.
po	он, она	pn.
poan	он	pn.
poe	она	pn.
pongu	группа, отряд, команда	n.
prrnen	малыш	n.
prrnesyul	почка	n.
prrte'	довольный (от действия)	adj.
pxan	достойный, заслуживающий, стоящий	adj.
pxasìk	да катись оно всё!, пропади оно пропадом!	intj.
pxasul	свежий, аппетитный	adj.
pxay	многие, много	adj.
pxey	три	num.
pxi	острый (форма)	adj.
pxìm	часто	adv.
pxiut	«пальмабритва» (дерево с заостренными по краю жесткими листями и чешуйками ствола)	n.
pxorna'	(букв. «взрыв семян») эписот, растение, зрелые плоды которого лопаются, разбрасывая покрытые липкой слизью семена)	n.
pxun	рука	n.
pxuntil	локоть	n.
rä'ä	не (с глаголом как приказ не совершать действие)	part.
ral	значение, смысл	n.
ralpeng	объяснять, толковать, переводить	vtr.
rawke	клич тревоги, призыв к защите	intj.
rel	картинка, изображение	n.
reltseo	изобразительное искусство, умение рисовать	n.
reltseotu	художник	n.
renu	узор	n.
rey	жить, существовать	vin.
rikx	двигаться, шевелиться, перемещаться	vin.
rim	жёлтый	adj.
rina'	семя	n.
riti	стингбат (мелкий летающий хищник с жалом на хвосте)	n.
rol	петь	v.
ronsem	ум, разум	n.
rum	шар	n.
rumut	«дерево шаров» (плоды дерева имеют вид шаров и наполнены газовой смесью, включающей водород, благодаря чему могут после созревания отрываться и улетать. Взрыв плода рассеивает семена дерева)	n.
run	обнаруживать, раскрывать, находить	vtr.
rutxe	пожалуйста	intj.
sa'nok	мать	n.
sa'nu	мама (affectionate form of)	n.
san	маркер начала цитирования речи	adv.
sänume	обучение, преподавание	n.
säspxin	болезнь, слабость	n.
sempu	папа (affectionate form of)	n.
sempul	отец	n.
set	сейчас	adv.
sevin	красивый, милый	adj.
seyri	губа	n.
seze	голубой цветок	n.
si	вспомогательный глагол, постпозиционный несвязный глагол делать	
sì	и (connects two things, can be attached as --sÃ¬: for clauses use)	conj.
sìk	маркер конца цитируемой речи в высказывании	adv.
sìlpey	надеяться	vin.
sìlronsem	хитроумный, разумный (о вещи)	adj.
sìltsan	хороший	adj.
ska'a	уничтожать, разрушать	vtr.
skxawng	придурок, болван	n.
slä	но	conj.
slu	становиться	vin.
sngä'i	начинаться	vim.
sngä'ikrr	время начала	n.
sngel	мусор, отходы	n.
sngeltseng	свалка для мусора, место для выброса отходов	n.
snumìna	плохо соображающий, недалёкий	adj.
som	горячий	adj.
somtìlor	«огненная красота»	n.
spaw	верить	vtr.
spxam	гриб	n.
spe'e	захватывать, завладевать	vtr.
spe'etu	пленник, пленный	n.
spxin	больной	adj.
srak	маркер вопросов, требующих ответа «да» или «нет»	part.
srake	маркер вопросов, требующих ответа «да» или «нет»	part.
srane	да	part., intj.
srew	танцевать	vin.
srung	поддержка, помощь, содействие	n.
stawm	слышать	vtr.
steftxaw	рассматривать, осматривать, изучать, обследовать	vtr.
stum	почти	adv.
sutx	загнать в западню	vtr.
swaw	момент, мгновение	n.
swey	лучший	adj.
swirä	создание, существо	n.
swizaw	стрела	n.
swok	священный	adj.
swotu	священное место	n.
syaw	звать, окликать, обращаться, называть	vin.
syulang	цветок	n.
ta	от (пространственные отношения), от (исходный момент)	adp.
ta'em	сверху	adv.
tafral	следовательно	adv.
täftxu	плести, ткать	vtr.
täftxuyu	ткач	n.
takuk	ударять, наносить удар	vtr.
talioang	штормбык	n.
talun	поэтому, по этой причине	conj.
taluna	поэтому, по этой причине	conj.
tam	довольно, достаточно, хватит	vin., intj.
tam tam	междометие, передающее просьбу успокоиться	intj.
tangek	ствол дерева	n.
tanhì	звезда	n.
taron	охотиться	vtr.
taronyu	охотник	n.
tautral	«небесное дерево»	n.
taw	небо	n.
taweyk	поэтому, по причине	conj.
taweyka	поэтому, по причине	conj.
tawsìp	воздушное судно	n.
tawng	наклониться, пригнуться	vin.
tawtsngal	панопира («небесная чаша»)	n.
Tawtute	землянин, «небесная персона»	prop.n.
te	используется в именах	part.
tel	получать, принимать	vtr.
telem	верёвка, шнур	n.
teng	похожий, подобный	adj.
tengfya	как и, подобно тому как, тем же образом	conj.
tengkrr	пока, в то же время	conj.
teri	смысловое выделение предмета сообщения («что касается...»)	adp.
terkup	умирать	vin.
teswotìng	дарить, даровать, предоставлять	vtr.
teya	полный	adj.
teylu	личинка жука (фауна Пандоры)	n.
tewti	ого!, ух ты!, выражение приятного удивления	intj.
til	подвижное соединение, дверная петля, сустав	n.
tirea	дух, душа	n.
tireafya'o	духовный путь	n.
tireaioang	животноедух	n.
tireapängkxo	общаться интимно	v.
tì'eyng	ответ	n.
tìfmetok	проверка, испытание, тест	n.
tìftang	остановка, прекращение	n.
tìfyawìntxu	руководство, наставление	n.
tìhawnu	защита, охрана	n.
tìkangkem	работа, дело	n.
tìkawng	зло, вред, ущерб, несчастье	n.
tìkenong	пример	n.
tìkin	необходимость, надобность, нужда	n.
tìlor	красота	n.
tìng	давать	vtr.
tìng mikyun	слушать	vin.
tìng nari	смотреть	vin.
tìngay	правда	n.
tìpawm	вопрос	n.
tìran	идти, ходить пешком	vin.
tìyawn	любовь	n.
tìrey	жизнь	n.
tìrol	песня	n.
tìspxin	болезнь (как состояние)	n.
tìtxur	сила, мощность, мощь	n.
to	маркер сравнения чем (действует как предлог)	part.
tok	пребывать гделибо, занимать место	vtr.
toktor	доктор	n.
tokx	тело	n.
tompa	дождь	n.
toruk	большой леоноптерикс, «последняя тень»	n.
toruk makto	наездник большого леоноптерикса	n.
torukspxam	«октогриб», гриб большого леоноптерикса	n.
trr	день	n.
trram	вчера	adv.
tukru	копьё	n.
tul	бежать, бегать	vin.
tung	позволять, разрешать	vtr.
tupe	кто, который	inter.
tut	побуждение собеседника к высказыванию	part.
tute	персона (на'ви или человек)	n.
tuté	женщина	n.
tutan	мужчина	n.
tsa'u	то, тот (объект), та (вещь)	dem.
tsaheylu	нейросвязь (между на'ви и живым миром)	n.
tsakem	указание на действие	dem.
tsakrr	тогда, в то время	adv.
tsam	война	n.
tsampongu	отряд воинов	n.
tsamsiyu	воин	n.
tsap'alute	извинение, прощение	n.
tsatseng	тут, здесь (указание на место)	dem., n.
tsatu	этот (указание на землянина или на'ви)	dem.
tsawke	солнце	n.
tsawl	большой, высокий, крупный по телосложению	adj.
tsawlapxangrr	«высокий большой корень»	n.
tse'a	видеть, смотреть (зрительное ощущение)	vtr.
tseng	место	n.
tsenge	место	n.
tsengpe	где	inter.
tseo	искусство	n.
tskalep	арбалет	n.
tsko	лук (оружие)	n.
tsko swizaw	лук и стрелы	n.
tskxe	камень	n.
tskxekeng	обучение, воспитание, тренировка	n.
tslam	понимать	vtr.
tsleng	поддельный, неверный, неправильный, ошибочный	adj.
tslolam	понятно, ясно (в качестве реплики)	intj.
tsmuk	брат или сестра	n.
tsmuktu	братство	n.
tsmukan	брат	n.
tsmuke	сестра	n.
tsnì	это (служебное слово)	sbd.
tsngal	чаша, бокал, кубок	n.
tspang	убивать, лишать жизни	vtr.
tsranten	иметь значение, значить, быть значимым	vin.
tstew	мужественный, отважный, смелый, храбрый	adj.
tstxo	имя	n.
tsun	мочь, быть в состоянии, быть способным	vim.
tswayon	лететь	vin.
tsyal	крыло	n.
tsyo	мук\\'а	n.
tsyorina'wll	цикада, растение из семени которого добывают муку	n.
txan	большой, сильный, обильный, многочисленный	adj.
txantsan	превосходный, великолепный	adj.
txantslusam	мудрый	adj.
txe'lan	сердце	n.
txele	предмет (обсуждения или разговора)	n.
txen	бодрствующий, не спящий, проснувшийся	adj.
txep	огонь, пламя	n.
txewk	дубина (оружие)	n.
txey	останавливаться, прекращать	v.
txìm	зад, задняя часть	n.
txìng	покидать, оставлять, бросать	vtr.
txll'u	хукагурд	n.
txo	если	conj.
txoa	прощение	n.
txokefyaw	если не, иначе, а не то, в противном случае	conj.
txon	ночь	n.
txopu	страх	n.
txula	строить, сооружать	vtr.
txum	яд, отрава	n.
txumpaywll	«скорпионий чертополох», ядовитое водяное растение	n.
txumtsä'wll	«склоняющаяся фляжка», брызгающее ядом растение	n.
txur	сильный, крепкий, здоровый	adj.
ulte	и (в сложносочинительных предложениях)	conj.
ultxa	встреча, собрание	n.
unil	сон, сновидение	n.
uniltìrantokx	аватар (только тело)	n.
uniltìranyu	аватар (под контролем оператора), сноходец	n.
utral	дерево	n.
uvan	игра	n.
uvan si	играть	vin.
vay	вплоть до	adp.
virä	распространятся	v.
vrrtep	демон	n.
vul	ветка, ветвь	n.
way	песня (древняя или церемониальная)	n.
waytelem	музыкальный аккорд	n.
win	быстрый	adj.
wìntxu	показывать (чтолибо)	vtr.
'ewll	растение	n.
wrrpa	внешний, наружный	n., adv.
wutso	прием пищи, еда	n.
ya	воздух	n.
yawne	любимый, возлюбленный	adj.
ye'rìn	скоро, вскоре	adv.
yerik	йерик (шестиногий олень), шестиног	n.
yey	прямой	adj.
yìm	вязать, связывать, завязывать	vtr.
yol	долгий, длительный, продолжительный по времени	adj.
yom	есть, поглощать, поедать	vtr.
yomhì'ang	дактерон (небольшой насекомоядный зверек)	n.
yomioang	плотоядное растениесосуд	n.
yomtìng	кормить (с объектом в дативе)	vin.
yur	мыть, стирать	vtr.
za'ärìp	тянуть	vtr.
za'u	идти, приходить	vin.
zamunge	приносить	vtr.
zawng	пронзительно кричать, вскрикивать	vin.
zekwä	палец	n.
zene	модальный глалог долженствования	vim.
zìsìt	год	n.
zong	сберегать, экономить	vtr.
zongtseng	безопасное место, убежище	n.
zoplo	оскорбление, обида	n.
zusawkrr	будущее, в будущем	n.
Jakesully	болван, «оседлавший торука»	n.
'ärìp	двигать чтолибо	vtr.
'awstengyem	соединять чтолибо с чемлибо	vtr.
'efu	ощущать, чувствовать, воспринимать	vtr.
'em	готовить еду	vtr.
'eyng	отвечать, отзываться	v.
'i'a	заканчивать, завершать	vin.
'ia	входить в измененное состояние сознания	vin.
fkxake	зудеть, чесаться	v.
fmal	поддерживать, сохранять в прежнем состоянии	vtr.
frìp	кусать	vtr.
ftem	оставлять без внимания, пропускать	vtr.
fwew	искать, пытаться найти	vtr.
hangham	смеяться	vin.
vaykrr	до (какоголибо времени)	conj.
sngap	жалить	vtr.
hawl	готовить, подготавливать	vtr.
kä'ärìp	толкать	vtr.
kavuk si	предавать	vin.
kllkä	спускаться	vin.
latsi	идти вместе с кемлибо, не отставать	v.
lek	принимать чтолибо во внимание, подчиняться чемулибо	vtr.
len	происходить, случаться, иметь место	vin.
lew si	покрывать	vin.
muntxa si	образовывать с кемлибо брачную связь	vin.
näk	пить	vtr.
nong	следовать за чемлибо, происходить вслед за чемлибо	vtr.
oeyktìng	разъяснять (почему)	vtr.
pate	приходить, добираться до места	v.
piak si	открывать	vin.
pom	целовать	vtr.
pxor	взрываться	vin.
salew	проходить, уходить	v.
sar	использовать, применять, употреблять	vtr.
sim	находиться поблизости	svin.
sleyku	изготавливать, производить, выпускать	vtr.
sop	путешествовать	vin.
spä	прыгать	v.
speng	восстанавливать, реставрировать	vtr.
spule	толкать вперёд, двигать, приводить в движение	vtr.
srese'a	пророчествовать, предсказывать	vtr.
steyki	злить, раздражать коголибо	vtr.
sti	быть рассерженным, сердиться (непереходная форма)	vin.
sto	отказываться (делать чтолибо)	vtrm.
sung	добавлять	vtr.
syep	ловить, заманивать в ловушку,	vtr.
tatep	терять	vtr.
tätxaw	возвращаться	vin.
tem	стрелять	vin.
tì'awm si	разбивать лагерь	vin.
tì'awm	разбивка лагеря	n.
tìkangkem si	работать, трудиться	vin.
tìng tseng	отступить, освободить место	vin.
tìsraw seyki	причинять боль комулибо, ранить коголибо	vtr.
tìsraw	боль	n.
tìsraw si	причинить боль, быть болезненным	vin.
toltem	стрелять (переходная форма)	vtr.
tsä'	брызгать	v.
tsaheyl si	устанавливать связь посредством нейронных волокон	vin.
tsap'alute si	извиняться	vin.
tsawl slu	расти	vin.
tsngawvìk	плакать, хныкать	vin.
tsre'i	бросать, кидать	vtr.
tstu si	закрывать	vin.
tsunslu	быть возможным	vin.
tsurokx	отдыхать	vin.
tungzup	ронять, бросать	vtr.
wem	драться, воевать	vin.
win säpi	торопиться	vin.
win si	делать чтолибо быстро, второпях, наспех	vin.
yän	привязывать, связывать, спутывать, пристегивать	vtr.
yem	положить, поставить	vtr.
zenke	модальный глагол долженствования с отрицанием (не должен)	vim.
zup	падать	vin.
nekll	снизу, внизу, ниже	adv.
srung si	помогать	vin.
txopu si	бояться	vin.
fkip	вверху (вместе с кемлибо или среди коголибо)	adp.
io	над	adp.
kxamlä	сквозь	adp.
lok	рядом (с чемлибо), близко (к чемулибо)	adp.
maw	после	adp.
mìkam	между	adp.
nemfa	внутрь, внутри	adp.
pxaw	вокруг	adp.
pxel	как, подобно	adp.
sìn	на	adp.
takip	от группы коголибо, из нескольких	adp.
uo	позади, сзади	adp.
luke	без	adp.
tafkip	вниз от группы коголибо	adp.
ro	приставка местоположения	adp.
sre	до, раньше	adp.
wä	против	adp.
fäpa	верх, макушка	n.
alìm	далеко, вдалеке	adv.
aylaru	к другим (датив)	pn.
kxu	вред, ущерб	n.
eltu lefngap	компьютер	n.
kì'ong	медленный	adj.
säfpìl	мысль, идея	n.
kefyak	не так ли?	part.
prrwll	мох	n.
pängkxoyu lekoren	юрист	n.
pamrel	написаное, почерк	n.
pamrel si	писать	vin.
furia	что (соединительный союз в сложноподчиненном предложении)	pn., sbd.
fratseng	везде	adv.
fratrr	ежедневно	adv.
frato	служебное слово для образования превосходной степени прилагательного (чем все)	part.
trray	завтра	adv.
kea	не (с существительными)	adj.
ngian	однако	adv.
skepek	официально	adj.
hufwa	хотя, несмотря на то, что	conj.
tup	вместо того, чтобы	conj.
'uo	чтото, нечто	pn.
tuteo	ктото	pn.
tsengo	гдето	pn.
holpxaype	сколько? как много?	inter.
hìm	немногочисленный, небольшой по числу	adj.
hìmtxampe	сколько? (с неисчисляемыми существительными)	inter.
hìmtxan	количество	n.
pìmtxan	сколько? (с неисчисляемыми существительными)	inter.
lì'upe	какое? что за? (вопрос к слову или высказыванию)	inter.
pelì'u	какое? что за? (вопрос к слову или высказыванию)	inter.
ultxarun	случано встретить коголибо	vtr.
ultxa si	встретиться с кемлибо по собственному желанию (используйте hu with)	vin.
rangal	желать	vin.
nìrangal	«как хотелось бы»	adv.
txepvi	искра	n.
nitram	радостный, счастливый	adj.
fewi	преследовать	vtr.
stä'nì	ловить	vtr.
sran	да (разговорная форма)	part., intj.
weyn	рисовать, делать иллюстрации	vtr.
fìtrr	сегодня	adv.
rusey	живой, живущий, живое существо	adj., n.
vitra	душа	n.
nìzawnong	безопасно	adv.
ftawnemkrr	прошлое	n.
txal	спина	n.
tsìng	четыре	num.
mrr	пять	num.
pukap	шесть	num.
kinä	семь	num.
vol	восемь	num.
zam	шестьдесят четыре	num.
tìoeyktìng	объяснение	n.
lesar	полезный	adj.
tse	ну (вводное междометие)	part.
skxom	шанс, возможность	n.
fkxen	овощ	n.
syä'ä	горький	adj.
yemfpay si	окунать, погружать в жидкость	vin.
yemfpay	окунание, погружение в жидкость	n.
keng	даже	adv.
'awlo	однажды, один раз	adv.
melo	дважды, два раза	adv.
heyn	сидеть	vin.
nìpxim	прямо, вертикально	adv.
pxim	прямой, вертикальный	adj.
tuvon	облокачиваться, наваливаться, опираться	v.
nìfya'o	в некотором роде	adv.
letrrtrr	обычный, стандартный, каждодневный	adj.
nì'eoio	торжественно	adv.
'eoio	торжественный	adj.
rìk	листок (растения)	n.
lerìk	густой (о листве)	adj.
pa'o	сторона, половина	n.
kllpa	низ, дно	n.
mìfa	внутри, внутренняя сторона	n., adv.
nefä	вверх	adv.
zapxì	передняя часть, перед	n.
käpxì	задняя часть, зад	n.
käsatseng	там	adv.
ftxey	ли... или нет (использущийся в предложениях вроде «Нравится (ли) это им или нет» парный союз)	conj.
ngaytxoa	простите, извиняюсь	intj.
flew	горло, глотка, гортань	n.
kxa	рот	n.
nikre	волосы	n.
pewn	шея	n.
re'o	голова	n.
sre'	зуб	n.
tsuksìm	подбородок	n.
key	лицо	n.
puk	книга	n.
ngäng	желудок	n.
ta'leng	кожа, шкура	n.
tsyokx	рука (кисть)	n.
reypay	кровь	n.
tsopì	легкое (орган)	n.
venu	нога (ступня)	n.
venzek	палец ноги	n.
ramunong	колодец	n.
payfya	поток	n.
pxawpa	периметр, окружность, граница	n.
txampay	море, океан	n.
'ora	озеро	n.
ekxan	баррикада, преграда	n.
tsim	источник	n.
tsray	деревня	n.
txayo	поле, открытое пространство	n.
ukxo	сухой	adj.
wew	холодный	adj.
fìtxon	сегодня вечером	adv., n.
txonam	прошлой ночью	adv.
txonay	завтра ночью	adv.
sekrr	в данный момент	n.
vur	рассказ, история	n.
tìpängkxo	разговор, обсуждение	n.
tìsrese'a	пророчество	n.
nawmtu	важный человек	n.
txantstew	герой	n.
syuve	еда	n.
tsngan	мясо	n.
tstal	нож	n.
tete	тупой (о лезвии)	adj.
lew	крышка	n.
'opin	цвет	n.
leNa'vi	относящийся к Народу (на'ви)	adj.
nìNa'vi	подобно на'ви, «понавийски»	adv.
hapxìtu	участник, член	n.
'Rrta	Земля	prop.n.
fwäkìwll	богомолова орхидея	n.
hì'ang	насекомое	n.
payoang	рыба	n.
yayo	птица	n.
zize'	огненная оса	n.
