"Frontside"	"Flipside"	"Category"
fngap	metaal	n.
fngapsutxwll	metallofiele plant	n.
fnu	wees stil, stil zijn	vin.
fo	zij	pn.
fpak	actie uitstellen, wachten	v.
fpe'	zenden, sturen	vtr.
fpeio	uitdaging (ceremonieel)	n.
fpi	in het belang van, voor het nut van	adp.
fpìl	denken	vtr.
fpom	vrede, geluk	n.
fpxafaw	medusa	n.
fpxäkìm	binnenkomen	vin.
fra'u	alles	pn.
frakrr	altijd	adv.
frapo	iedereen	pn.
frrfen	bezoeken	vtr.
frrtu	gast, bezoeker	n.
ftang	stoppen	vim.
fte	zodat	conj.
fteke	zodat niet	conj.
ftia	studeren	vtr.
ftxì	tong	n.
ftxozä	feestdag, blijde gebeurtenis	n.
ftu	vanuit (richting)	adp.
ftue	makkelijk, simpel	adj.
ftxavang	hartstochtelijk	adj.
ftxey	kiezen	vtr.
fu	of	conj.
futa	dat	pn., sbd.
fwa	dat (gesubordineerd zinsdeel markering)	pn., sbd.
fya'o	pad, wijze, manier	n.
fyape	hoe	inter.
fyawìntxu	leiden (met het geleidde in datief)	vin.
ha	dus, in dat geval	adv.
hahaw	slapen	vin.
hapxì	deel	n.
hasey	klaar, gedaan	adj.
hawnu	beschermen	vtr.
hì'i	klein (in grootte)	adj.
hiyìk	grappig, vreemd	adj.
hol	weinig	adj.
holpxay	hoeveelheid	n.
hrrap	gevaar	n.
hu	met	adp.
hufwe	wind	n.
hum	weggaan	vin.
i'en	snaarinstrument	n.
ikran	harpij	n.
ikranay	bosharpij	n.
ioang	dier, beest	n.
irayo	bedankt, dank je	n., intj.
ìlä	via, volgens	adp.
ka	overheen, volledig bedekkend	adp.
kä	gaan	vin.
kali'weya	giftige spinnensoort	n.
kalin	zoet (smaak)	adj.
kaltxì	hallo	intj.
kämakto	uitrijden	v.
kame	(in)zien	vtr.
kan	doelen op, bedoelen; richten, een wapen of object op een doel richten	vtrm., vtr.
kangay	geldig	adj.
kar	leren, doceren	vtr.
karyu	leraar	n.
kato	ritme	n.
kawkrr	nooit	adv.
kawng	slecht	adj.
kawtu	niemand	pn.
ke	niet	adv.
ke'u	helemaal niets, helemaal niet	pn.
kehe	nee	part., intj.
kelku	thuis, huis	n.
kelku si	wonen	vin.
kem	actie, daad	n.
kempe	wat, welke (actie)	inter.
kenong	representeren	vin.
kerusey	dood	adj.
ketuwong	vreemdeling	n.
kewong	vreemd (buitenaards)	adj.
keye'ung	krankzinnigheid	n.
kifkey	wereld (fysiek, solide)	n.
kilvan	rivier	n.
kìm	(iets) draaien, laten tollen	vtr.
kin	nodig hebben	vtr.
kinam	been	n.
kinamtil	knie	n.
kìng	draad	n.
kip	tussen	adp.
kìte'e	dienst	n.
kllfro'	verantwoordelijk zijn	svin.
kllkulat	opgraven	vtr.
kllkxem	staan	vin.
kllpxìltu	gebied, territorium	n.
kllte	grond	n.
ko	instemmend	part.
kop	ook, alsmede, tegelijk met	adv.
koren	regel, richtlijn	n.
krr	tijd	n.
krrnekx	tijd verbruiken	vin.
krrpe	wanneer	inter.
kunsìp	gevechtsvliegtuig	n.
kurakx	uitdrijven	vtr.
kxam	midden	n.
kxamtseng	middelpunt, plaats in het midden	n.
kxangangang	boem (onomatopee)	intj.
kxanì	verboden	adj.
kxawm	misschien	adv.
kxener	rook	n.
kxetse	staart	n.
kxeyey	fout	n.
kxll	aanval	n.
lahe	ander	adj.
lam	lijken	vin.
lapo	(de) ander (persoon of ding)	pn.
latem	veranderen	vin.
law	zeker, duidelijk	adj.
lefpom	blij, vredig, plezierig, aangenaam	adj.
lertu	collega	n.
letrr	dagelijks	adj.
letsunslu	mogelijk	adj.
lì'u	woord	n.
lì'fya	taal	n.
lok	naderen, benaderen	vtr.
lonu	loslaten	vtr.
lor	mooi, aangenaam voor de zintuigen	adj.
loreyu	helicoradium spiraal, mooie spiraal	n.
lrrtok	glimlach	n.
lrrtok si	lachen	vin.
lu	zijn (existentieel)	vin., svin.
lun	reden	n.
lumpe	waarom	inter.
ma	aansprekende wijs	part.
makto	rijden	vtr.
mawey	kalm	adj.
mefo	zij, die twee	pn.
menari	ogen (twee)	n.
meoauniaea	harmonie, een zijn met de natuur	n.
meuia	eer	n.
meyp	zwak	adj.
mi	toch, nog, als voorheen	adv.
mip	nieuw	adj.
mikyun	oor	n.
mì	in, op	adp.
mìn	draaien, roteren om een as	vin.
mìso	weg (positie)	adv.
mllte	instemmen	vin.
moe	wij, wij twee (exclusief)	pn.
mokri	stem	n.
muiä	eerlijk, goed, terecht	adj.
mun'i	snijden	v.
mune	twee	num.
munge	brengen	vtr.
mungwrr	behalve	adp.
muntxa	getrouwd, een paar	adj.
na	(zo)als	adp.
na'rìng	bos, woud	n.
Na'vi	het Volk, inheemse bewoners van Pandora	prop.n.
nang	verrassing, uitroep, aanmoediging (voor onverwachte momenten of nieuwe informatie  miratief)	part.
nantang	slangewolf Caniferratus costatus, gestreepte gepantserde wolf	n.
nari	oog	n.
nari si	kijk uit, pas op!	vin.
nawm	groots, nobel	adj.
ne	naar, in de richting van	adp.
ne'ìm	terug (richting)	adv.
nekx	consumeren, verbranden	vtr.
neto	weg (richting)	adv.
new	willen	vtrm.
niä	grijpen	vtr.
nì'aw	alleen, slechts	adv.
nìawnomum	zoals je weet, zoals bekend (spreektaal [naw.no.mum])	adv.
nì'awtu	alleen	adv.
nì'awve	eerst	adv.
nì'it	een beetje, kleine hoeveelheid (abstract)	adv.
nì'ul	meer	adv.
nìayoeng	zoals wij (spreektaal  [naj.wEN])	adv.
nìftue	gemakkelijk	adv.
nìftxavang	gepassioneerd, met heel het hart	adv.
nìhawng	ook, overdreven	adv.
nìltsan	goed	adv.
nìmun	opnieuw	adv.
nìn	kijken, kijken naar	vtr.
nìngay	echt, waarlijk	adv.
nìtam	genoeg	adv.
nìteng	ook	adv.
nìtut	continu, doorlopend	adv.
nìtxan	veel (abstract), erg	adv.
nìwin	snel	adv.
nìwotx	alles (van), compleet	adv.
nulkrr	langer (tijd)	adv.
nulnew	verkiezen, de voorkeur geven aan (ii)	vtrm.
nume	leren	vin.
nga	jij	pn.
ngawng	worm	n.
ngay	waar	adj.
ngenga	jij (ceremonieel)	pn.
ngim	lang (fysieke lengte)	adj.
ngop	creëeren, maken	vtr.
ngrr	wortel	n.
nguway	gehuil, roep van een slangewolf	n.
oe	ik	pn.
oeng	wij twee (tweevoudig inclusief)	pn.
oeyk	oorzaak	n.
ohe	ik (ceremonieel)	pn.
olo'	stam, clan	n.
olo'eyktan	opperhoofd	n.
omum	weten	vtr.
ontu	neus	n.
pähem	arriveren, aankomen	vin.
pak	neerbuigend	part.
pa'li	grimpaard	n.
palulukan	thanator	n.
pam	geluid	n.
pamtseo	muziek	n.
pamtseowll	kattenoor, muziekplant	n.
pängkxo	praten, een gesprek voeren	vin.
pänutìng	beloven	vtr.
pätsì	insigne	n.
pawm	vragen	v.
pay	water, vloeistof	n.
paywll	waterplant, dapophet	n.
pe	vvn. markering	affix
pe'un	beslissen	vtr.
pefya	hoe	inter.
pehem	wat, welke (actie)	inter.
pehrr	wanneer	inter.
pelun	waarom	inter.
peng	vertellen	vtr.
penghrrap	dubbele zonneschijn	n.
peseng	waar	inter.
pesu	wie	inter.
peu	wat, welk (ding)	inter.
pey	wachten	vin.
pizayu	voorouder	n.
plltxe	spreken	v.
po	hij, zij	pn.
poan	hij (geen meervoudsvorm: gebruik (ay)fo)	pn.
poe	zij (geen meervoudsvorm: gebruik (ay)fo)	pn.
pongu	een groep mensen	n.
prrnen	kind, baby	n.
prrnesyul	knop, kiem	n.
prrte'	plezierig (van een activiteit)	adj.
pxan	waardig	adj.
pxasìk	weg ermee! (vulgair)	intj.
pxasul	vers, lekker (eten)	adj.
pxay	veel, velen	adj.
pxey	drie	num.
pxi	scherp (punt)	adj.
pxìm	vaak	adv.
pxiut	scheermespalm, sherpe boom	n.
pxorna'	episoth, plofzaad	n.
pxun	arm	n.
pxuntil	elleboog	n.
rä'ä	doe niet (negatief imperatief, voor commando's)	part.
ral	betekenis	n.
ralpeng	verklaren, interpreteren	vtr.
rawke	alarmroep (alarm)	intj.
rel	beeld	n.
reltseo	beeldende kunst	n.
reltseotu	kunstenaar (visueel)	n.
renu	patroon	n.
rey	leven	vin.
rikx	verplaatsen	vin.
rim	geel	adj.
rina'	zaad	n.
riti	steekvleermuis	n.
rol	zingen	v.
ronsem	verstand, bewustzijn	n.
rum	bal	n.
rumut	balboom	n.
run	vinden, uitvinden	vtr.
rutxe	alstublieft (beleefd vragen)	intj.
sa'nok	moeder	n.
sa'nu	mama (affectionate form of)	n.
san	gezegde, citaat	adv.
sänume	les, instructie	n.
säspxin	ziekte	n.
sempu	papa (affectionate form of)	n.
sempul	vader	n.
set	nu	adv.
sevin	mooi	adj.
seyri	lip	n.
seze	blauwe bloem	n.
si	(postpositioneel ongebonden hulpwerkwoord) doen, maken 	
sì	en (connects two things, can be attached as --sÃ¬: for clauses use)	conj.
sìk	einde citaat	adv.
sìlpey	hopen	vin.
sìlronsem	slim, verstandig (ding)	adj.
sìltsan	goed (in z'n soort), goed gedaan	adj.
ska'a	vernietigen	vtr.
skxawng	idioot	n.
slä	maar	conj.
slu	worden (zn. predicaat met ne in dubbelzinnige constructies)	vin.
sngä'i	beginnen, starten	vim.
sngä'ikrr	begin, starttijd (tijd)	n.
sngel	afval, vuilnis, troep	n.
sngeltseng	vuilnisbelt, afvalhoop	n.
snumìna	suf, niet slim	adj.
som	heet	adj.
somtìlor	lollieplant, hete schoonheid	n.
spaw	geloven	vtr.
spxam	paddenstoel, schimmel	n.
spe'e	vangen	vtr.
spe'etu	gevangene	n.
spxin	ziek	adj.
srak	indicatie voor ja/nee vraag	part.
srake	indicatie voor ja/nee vraag	part.
srane	ja	part., intj.
srew	dansen	vin.
srung	hulp, assistentie	n.
stawm	horen	vtr.
steftxaw	onderzoeken	vtr.
stum	bijna	adv.
sutx	opsporen, volgen	vtr.
swaw	moment	n.
swey	beste	adj.
swirä	wezen, creatuur	n.
swizaw	pijl	n.
swok	heilig	adj.
swotu	heilige plaats	n.
syaw	roepen	vin.
syulang	bloem	n.
ta	van (locatief), van (tijdsbepaling i.c.m. andere tijdwoorden)	adp.
ta'em	van boven	adv.
tafral	daarom, om die reden	adv.
täftxu	weven	vtr.
täftxuyu	wever	n.
takuk	raken, slaan, treffen	vtr.
talioang	stormbeest	n.
talun	omdat	conj.
taluna	omdat	conj.
tam	voldoen, dat is voldoende, oké	vin., intj.
tam tam	kalm kalm, rustig maar	intj.
tangek	boomstam	n.
tanhì	ster, lichtgevende sproet	n.
taron	jagen	vtr.
taronyu	jager	n.
tautral	hemelsboom	n.
taw	lucht, hemel	n.
taweyk	omdat, vanwege de reden	conj.
taweyka	omdat, vanwege de reden	conj.
tawsìp	luchtschip	n.
tawng	duiken, bukken	vin.
tawtsngal	panopyra, hemelbeker	n.
Tawtute	Luchtpersoon, mens	prop.n.
te	wordt gebruikt in volledige namen	part.
tel	ontvangen	vtr.
telem	koord	n.
teng	zoals, gelijk aan	adj.
tengfya	hetzelfde als (gelijke situatie)	conj.
tengkrr	terwijl, gelijk aan	conj.
teri	over, betreffende	adp.
terkup	doodgaan	vin.
teswotìng	gunnen	vtr.
teya	vol	adj.
teylu	keverlarven	n.
tewti	wow, uitroep van verrassing en plezier	intj.
til	gewricht, scharnier	n.
tirea	geest, ziel	n.
tireafya'o	zielenpad	n.
tireaioang	geestdier, totem	n.
tireapängkxo	in nauw contact staan (b.v. met natuur)	v.
tì'eyng	antwoorden	n.
tìfmetok	proef, test	n.
tìftang	stoppen, de glottale stop	n.
tìfyawìntxu	begeleiding	n.
tìhawnu	bescherming	n.
tìkangkem	werk	n.
tìkawng	(het) kwaad	n.
tìkenong	voorbeeld	n.
tìkin	noodzaak	n.
tìlor	schoonheid	n.
tìng	geven	vtr.
tìng mikyun	luisteren	vin.
tìng nari	kijken	vin.
tìngay	waarheid	n.
tìpawm	vraag	n.
tìran	lopen	vin.
tìyawn	liefde	n.
tìrey	leven	n.
tìrol	lied (vocaal)	n.
tìspxin	ziek zijn, een ziekte hebben	n.
tìtxur	kracht, sterkte	n.
to	vergelijkende markering dan (gedraagt zich als adp.)	part.
tok	zijn (plaats)	vtr.
toktor	dokter	n.
tokx	lichaam	n.
tompa	regen	n.
toruk	reuzenleonopteryx, Laatste Schaduw	n.
toruk makto	toruk berijder	n.
torukspxam	reuzenzwam, reuzenleonopteryxpaddestoel	n.
trr	dag	n.
trram	gisteren	adv.
tukru	speer	n.
tul	rennen	vin.
tung	toestaan	vtr.
tupe	wie	inter.
tut	geeft aan dat iets doorgaat	part.
tute	persoon	n.
tuté	vrouw (persoon)	n.
tutan	man (persoon)	n.
tsa'u	dat (ding)	dem.
tsaheylu	band (neurale verbinding)	n.
tsakem	dat, die (actie)	dem.
tsakrr	toen, op die tijd	adv.
tsam	oorlog	n.
tsampongu	oorlogsgroep	n.
tsamsiyu	krijger	n.
tsap'alute	verontschuldiging, excuus	n.
tsatseng	daar, die plaats	dem., n.
tsatu	die persoon	dem.
tsawke	zon	n.
tsawl	groot, lang	adj.
tsawlapxangrr	unideltaboom, let. hoge grote wortel	n.
tse'a	zien (fysiek)	vtr.
tseng	plaats	n.
tsenge	plaats	n.
tsengpe	waar	inter.
tseo	kunst	n.
tskalep	kruisboog	n.
tsko	boog (wapen)	n.
tsko swizaw	pijl en boog	n.
tskxe	rots, steen	n.
tskxekeng	training, oefening	n.
tslam	begrijpen	vtr.
tsleng	vals, onwaar	adj.
tslolam	begrepen, ik snap het	intj.
tsmuk	broer/zus (unisex aanduiding)	n.
tsmuktu	broer/zus (unisex aanduiding)	n.
tsmukan	broer	n.
tsmuke	zus	n.
tsnì	dat (functiewoord)	sbd.
tsngal	beker	n.
tspang	doden	vtr.
tsranten	van belang zijn	vin.
tstew	dapper	adj.
tstxo	naam	n.
tsun	kunnen	vim.
tswayon	vliegen	vin.
tsyal	vleugel	n.
tsyo	meel	n.
tsyorina'wll	cycade, meelzadenplant	n.
txan	veel	adj.
txantsan	geweldig, uitstekend	adj.
txantslusam	wijs	adj.
txe'lan	hart	n.
txele	zaak	n.
txen	wakker	adj.
txep	vuur	n.
txewk	knuppel (wapen)	n.
txey	stoppen	v.
txìm	kont, achterste	n.
txìng	achterlaten	vtr.
txll'u	hooka kalebas	n.
txo	als, wanneer	conj.
txoa	vergiffenis	n.
txokefyaw	als niet, anders	conj.
txon	nacht	n.
txopu	angst	n.
txula	bouwen	vtr.
txum	vergif	n.
txumpaywll	schorpioendistel, giftige water plant	n.
txumtsä'wll	Baja kietelaar, vergifspuwende plant	n.
txur	sterk (fysiek)	adj.
ulte	en (verbindt zinsdelen)	conj.
ultxa	ontmoeting, vergadering	n.
unil	droom	n.
uniltìrantokx	Avatar, droomwandellichaam	n.
uniltìranyu	droomwandelaar, Avatarbestuurder	n.
utral	boom	n.
uvan	spel	n.
uvan si	spelen	vin.
vay	omhoog naar	adp.
virä	verspreiden	v.
vrrtep	demoon	n.
vul	tak (van een boom)	n.
way	lied (oud, ceremonieel)	n.
waytelem	akkoord (muziek)	n.
win	snel	adj.
wìntxu	laten zien	vtr.
'ewll	plant	n.
wrrpa	buiten	n., adv.
wutso	maaltijd	n.
ya	lucht	n.
yawne	geliefd	adj.
ye'rìn	binnenkort	adv.
yerik	hexapoot	n.
yey	recht	adj.
yìm	binden	vtr.
yol	lang (tijd)	adj.
yom	eten	vtr.
yomhì'ang	klein dier/insecteneter, dakteron	n.
yomioang	kelkplant, vleesetende plant	n.
yomtìng	voeren	vin.
yur	wassen	vtr.
za'ärìp	trekken	vtr.
za'u	komen	vin.
zamunge	brengen	vtr.
zawng	gil, schreeuw	vin.
zekwä	vinger	n.
zene	moeten	vim.
zìsìt	jaar	n.
zong	redden, verdedigen	vtr.
zongtseng	veilige plek, schuilplaats	n.
zoplo	belediging	n.
zusawkrr	toekomst	n.
Jakesully	idioot, zesde Toruk Makto	n.
'ärìp	(iets) verplaatsen	vtr.
'awstengyem	twee dingen samenvoegen (ii)	vtr.
'efu	voelen	vtr.
'em	koken	vtr.
'eyng	antwoorden	v.
'i'a	beëindigen	vin.
'ia	opgaan in (spiritueel)	vin.
fkxake	jeuken	v.
fmal	volhouden	vtr.
frìp	bijten	vtr.
ftem	(iets) passeren	vtr.
fwew	zoeken	vtr.
hangham	lachen	vin.
vaykrr	totdat	conj.
sngap	steken	vtr.
hawl	voorbereiden	vtr.
kä'ärìp	duwen	vtr.
kavuk si	verraden	vin.
kllkä	afdalen, omlaag gaan	vin.
latsi	(iemand) bijhouden	v.
lek	gehoorzamen, luisteren naar	vtr.
len	gebeuren	vin.
lew si	bedekken	vin.
muntxa si	paren (met iemand)	vin.
näk	drinken	vtr.
nong	volgen	vtr.
oeyktìng	uitleggen (ii)	vtr.
pate	aankomen (op een plaats), arriveren	v.
piak si	openen	vin.
pom	kussen, zoenen	vtr.
pxor	ontploffen	vin.
salew	doorgaan	v.
sar	gebruiken	vtr.
sim	dichtbij zijn	svin.
sleyku	produceren, maken	vtr.
sop	reizen	vin.
spä	springen	v.
speng	terughalen	vtr.
spule	voortstuwen	vtr.
srese'a	voorspellen	vtr.
steyki	(iemand) kwaad maken	vtr.
sti	ergeren (onovergangelijk), kwaad zijn	vin.
sto	weigeren (iets te doen)	vtrm.
sung	toevoegen	vtr.
syep	vangen (in een val leiden)	vtr.
tatep	de draad kwijtraken	vtr.
tätxaw	terugkeren	vin.
tem	schieten	vin.
tì'awm si	kamperen	vin.
tì'awm	kamp	n.
tìkangkem si	werken	vin.
tìng tseng	terugtrekken	vin.
tìsraw seyki	pijn doen (iets of iemand)	vtr.
tìsraw	pijn	n.
tìsraw si	pijn hebben, pijnlijk zijn	vin.
toltem	schieten	vtr.
tsä'	spuiten	v.
tsaheyl si	verbinden met, een neurale verbinding maken met	vin.
tsap'alute si	verontschuldigen	vin.
tsawl slu	groeien	vin.
tsngawvìk	huilen	vin.
tsre'i	gooien	vtr.
tstu si	sluiten	vin.
tsunslu	mogelijk zijn	vin.
tsurokx	rusten	vin.
tungzup	laten vallen	vtr.
wem	vechten	vin.
win säpi	opschieten	vin.
win si	iets haasten, iets snel laten gaan	vin.
yän	vastmaken, vastbinden	vtr.
yem	neerzetten, plaatsen	vtr.
zenke	niet moeten (ii)	vim.
zup	vallen	vin.
nekll	omlaag (richting)	adv.
srung si	helpen	vin.
txopu si	bang zijn	vin.
fkip	boven tussen	adp.
io	boven, over	adp.
kxamlä	door (via het midden van)	adp.
lok	dicht bij	adp.
maw	na (tijd)	adp.
mìkam	tussen	adp.
nemfa	erin, naar binnen	adp.
pxaw	rondom	adp.
pxel	(zo)als	adp.
sìn	op	adp.
takip	van tussen	adp.
uo	achter	adp.
luke	zonder	adp.
tafkip	van boven	adp.
ro	op (locatief)	adp.
sre	voor (tijd)	adp.
wä	tegen (als in: vechten tegen)	adp.
fäpa	top, bovenkant	n.
alìm	ver weg, op een afstand	adv.
aylaru	naar de anderen	pn.
kxu	onheil, schade	n.
eltu lefngap	computer	n.
kì'ong	langzaam	adj.
säfpìl	idee	n.
kefyak	is het niet?, toch?	part.
prrwll	mos	n.
pängkxoyu lekoren	advocaat	n.
pamrel	geschrift	n.
pamrel si	schrijven	vin.
furia	dat	pn., sbd.
fratseng	overal	adv.
fratrr	dagelijks, elke dag	adv.
frato	overtreffende trap dan alles	part.
trray	morgen	adv.
kea	geen (voor zn.)	adj.
ngian	echter	adv.
skepek	formeel	adj.
hufwa	alhoewel	conj.
tup	in plaats van, liever dan	conj.
'uo	iets	pn.
tuteo	iemand	pn.
tsengo	ergens	pn.
holpxaype	hoeveel	inter.
hìm	klein (hoeveelheid)	adj.
hìmtxampe	hoeveel	inter.
hìmtxan	aantal	n.
pìmtxan	hoeveel	inter.
lì'upe	wat, welk (woord, uiting)	inter.
pelì'u	wat, welk (woord, uiting)	inter.
ultxarun	ontmoeten	vtr.
ultxa si	iemand doelbewust ontmoeten (gebruikhu met)	vin.
rangal	wensen	vin.
nìrangal	wens (t.o.v. feit, met (im)perfectief subjunctief)	adv.
txepvi	vonk	n.
nitram	blij (voor mensen)	adj.
fewi	(op)jagen	vtr.
stä'nì	vangen	vtr.
sran	ja (omgangstaal)	part., intj.
weyn	tekenen, illustreren	vtr.
fìtrr	vandaag	adv.
rusey	levend, in leven, iets levends	adj., n.
vitra	ziel	n.
nìzawnong	veilig	adv.
ftawnemkrr	verleden	n.
txal	rug (van het lichaam)	n.
tsìng	vier	num.
mrr	vijf	num.
pukap	zes	num.
kinä	zeven	num.
vol	acht	num.
zam	vierenzestig	num.
tìoeyktìng	uitleg	n.
lesar	nuttig	adj.
tse	nou (conversatie starter)	part.
skxom	kans, mogelijkheid	n.
fkxen	groente (eten)	n.
syä'ä	bitter	adj.
yemfpay si	onderdompelen	vin.
yemfpay	onderdompelen (in vloeistof)	n.
keng	gelijk aan, zoveel als	adv.
'awlo	eens	adv.
melo	tweemaal	adv.
heyn	zitten	vin.
nìpxim	rechtop	adv.
pxim	rechtop	adj.
tuvon	leunen	v.
nìfya'o	op een manier	adv.
letrrtrr	gewoon	adj.
nì'eoio	ceremonieel	adv.
'eoio	ceremonieel	adj.
rìk	blad	n.
lerìk	bladrijk	adj.
pa'o	kant	n.
kllpa	bodem	n.
mìfa	binnen	n., adv.
nefä	omhoog (richting)	adv.
zapxì	voorkant (deel of sectie)	n.
käpxì	achterkant (deel of sectie)	n.
käsatseng	daar buiten	adv.
ftxey	weder, of	conj.
ngaytxoa	sorry, mijn excuses (uiting van schuld en spijt)	intj.
flew	keel	n.
kxa	mond	n.
nikre	haar	n.
pewn	nek	n.
re'o	hoofd	n.
sre'	tand	n.
tsuksìm	kin	n.
key	gezicht	n.
puk	boek	n.
ngäng	maag	n.
ta'leng	huid	n.
tsyokx	hand	n.
reypay	bloed	n.
tsopì	long	n.
venu	voet	n.
venzek	teen	n.
ramunong	bron	n.
payfya	stroom	n.
pxawpa	grens, afbakening, omtrek	n.
txampay	zee, oceaan	n.
'ora	meer	n.
ekxan	barricade, obstakel	n.
tsim	bron, oorsprong	n.
tsray	dorp	n.
txayo	veld, open terrein	n.
ukxo	droog	adj.
wew	koud	adj.
fìtxon	vannacht	adv., n.
txonam	vorige nacht	adv.
txonay	morgennacht	adv.
sekrr	heden	n.
vur	verhaal	n.
tìpängkxo	conversatie, discussie	n.
tìsrese'a	profetie	n.
nawmtu	groot persoon	n.
txantstew	held	n.
syuve	voedsel (collectief zn., kan niet in meervoud worden gebruikt)	n.
tsngan	vlees	n.
tstal	mes	n.
tete	bot (als bij mes)	adj.
lew	deksel	n.
'opin	kleur	n.
leNa'vi	te doen hebben met de Na'vi, het Volk	adj.
nìNa'vi	als de Na'vi	adv.
hapxìtu	lid	n.
'Rrta	Aarde	prop.n.
fwäkìwll	sprinkhaan orchidee	n.
hì'ang	insect	n.
payoang	vis	n.
yayo	vogel	n.
zize'	hellevuurwesp	n.
kemlì'u	werkwoord	n.
tstxolì'u	zelfstandig naamwoord	n.
ftär	links (niet rechts)	adj.
skien	rechts (niet links)	adj.
'änsyem	compleet	adj.
wotx	totaliteit, geheel	n.
mowan	plezierig, aangenaam (fysiek, sexueel)	adj.
vä'	onplezierig voor de zintuigen, luid	adj.
tatlam	blijkbaar	adv.
keteng	verschillend	adj.
numtseng	school	n.
skxakep	waarschijnlijk	adj., adv.
tìprrte'	plezier	n.
kaw'it	helemaal niet, geen beetje (gebruikt met ke; zie ke kaw'it helemaal niet in uitdrukkingen)	adv.
nìlkeftang	voortdurend, zonder stoppen	adv.
tì'i'avay	tot het eind	adv.
'awm	kamp	n.
tìska'a	vernietiging	n.
tìsop	reis	n.
wempongu	squadron, militaire clan, oorlogsgroep	n.
asim	nabij	adv.
klltseng	positie	n.
kxutu	vijand	n.
mekre	voorraad	n.
tìhawl	voorbereidingen, plan	n.
tìkan	doel, goal	n.
tìpähem	aankomst	n.
numeyu	student, leerling	n.
soaia	familie (onregelmatige genitieve vorm soaiä)	n.
tìmuntxa	paren, huwelijk	n.
yawnetu	geliefde	n.
yawntu	geliefde	n.
kakrel	blind	adj.
kanu	slim, intelligent (van een persoon)	adj.
koak	oud, hoge leeftijd (voor levende dingen)	adj.
lekye'ung	gek, waanzinnig	adj.
me'em	harmonieus	adj.
txanew	hebberig	adj.
txantur	krachtig	adj.
tì'awpo	individualiteit (negatieve lading), egoïsme	n.
tì'eylan	vriendschap	n.
fkay	hatelijk	adj.
keltsun	onmogelijk	adj.
kxuke	veilig	adj.
lehawng	overdadig	adj.
hawng	overvloed	n.
lekin	nodig	adj.
stxong	vreemd, onbekend	adj.
syen	laatst	adj.
kavuk	verraad	n.
fpìlfya	gedachtenpatroon, manier van denken	n.
syay	lot (noodlot)	n.
tìfnu	stilte	n.
tìngop	creatie (abstract idee)	n.
tìpe'un	beslissing	n.
kxitx	dood	n.
trr'awve	zondag	n.
trrmuve	maandag	n.
trrpxeyve	dinsdag	n.
trrtsìve	woensdag	n.
trrmrrve	donderdag	n.
trrpuve	vrijdag	n.
trrkive	zaterdag	n.
'ango	zacht (geluid)	adj.
kxayl	hoog	adj.
rey'eng	de Balans van het Leven	n.
tìme'em	harmonie (algemeen gevoel)	n.
fnel	soort, type	n.
fnepe	welk soort	inter.
pefnel	welk soort	inter.
zerok	herinneren	vtr.
tswa'	vergeten	vtr.
tì'efu	gevoel	n.
maweypey	geduld hebben (ii)	svin.
tìmweypey	geduld	n.
lemweypey	geduld	adj.
nìmweypey	geduldig	adv.
tsakrrvay	tot dan, ondertussen	adv.
