"Frontside"	"Flipside"	"Category"
trr	jour (au sens temporel)	n.
trram	hier	adv.
tukru	lance	n.
tul	courir	vin.
tung	permettre | autoriser | accorder	vtr.
tupe	qui?	inter.
tut	Marqueur de continuité	part.
tute	femme	n.
tuté	femme	n.
tutan	mâle (personne) | homme | mec	n.
tsa'u	ça | cela	n.
tsaheylu	lien	n.
tsakem	cette action	n.
tsakrr	ce temps | ce moment	adv.
tsam	guerre	n.
tsampongu	guerriers | combattants (le groupe)	n.
tsamsiyu	guerrier | combattant	n.
tsap'alute	excuse	n.
tsatseng	Ici | là | cette place	n.
tsatu	cette personne	n.
tsawke	soleil	n.
tsawl	grand | énorme | gros (pour une envergure taille)	adj.
tsawlapxangrr	[Magellum deltoids] | [Forme abrégée]: tsawlapx	n.
tse'a	voir (au sens physique)	vtr.
tseng	place, endroit	n.
tsenge	place	n.
tsengpe	où?	inter.
tseo	art	n.
tskalep	arbalète	n.
tsko	arc (l'arme)	n.
tsko swizaw	arc et flèches	n.
tskxe	roche | pierre	n.
tskxekeng	exercice | entraînement	n.
tslam	comprendre	vtr.
tsleng	faux	adj.
tslolam	j'ai compris	intj.
tsmuk	enfant de mêmes parents | semblable	n.
tsmuktu	enfants de mêmes parents	n.
tsmukan	frère	n.
tsmuke	soeur	n.
tsnì	que (pour une chose)	sbd.
tsngal	tasse | coupe	n.
tspang	tuer	vtr.
tsranten	importer (avoir de l'importance)	vin.
tstew	brave | courageux	adj.
tstxo	nom	n.
tsun	pouvoir (être capable de )	vim.
tswayon	voler (dans le sens 'voler dans le ciel')	vin.
tsyal	aile	n.
tsyo	farine	n.
tsyorina'wll	Cycad | [Pseudocycas altissima]	n.
txan	plein | beaucoup	adj.
txantsan	excellent | génial | super	adj.
txantslusam	sage	adj.
txe'lan	coeur	n.
txele	matière (sujet)	n.
txen	éveillé	adj.
txep	feu	n.
txewk	bâton | massue (arme)	n.
txey	stopper | arrêter	v.
txìm	l'arrière | l'extrémité | fesses	n.
txìng	quitter | abandonner | laisser	vtr.
txll'u	[Flaska ascendens]	n.
txo	si (dans le sens de la supposition)	conj.
txoa	pardon	n.
txokefyaw	sinon | autrement	conj.
txon	nuit	n.
txopu	peur	n.
txula	construire | fabriquer	vtr.
txum	poison	n.
txumpaywll	[Scorpioflora maxima]	n.
txumtsä'wll	[Flaska reclinata]	n.
txur	fort	adj.
ulte	et (pour connecter deux phrases)	conj.
ultxa	rencontre	n.
unil	rêve	n.
uniltìrantokx	avatar	n.
uniltìranyu	marcheur de rêves	n.
utral	arbre	n.
uvan	jeu	n.
uvan si	jouer	vin.
vay	jusqu'à	adp.
virä	diffuser | proliférer | extendre	v.
vrrtep	démon	n.
vul	branche (pour un arbre)	n.
way	chant ([ancien, cérémonial])	n.
waytelem	accord (musicalement parlant)	n.
win	rapide	adj.
wìntxu	montrer	vtr.
'ewll	plante	n.
wrrpa	extérieur	adv., n.
wutso	dîner | repas	n.
ya	air (de l'air)	n.
yawne	bien-aimé(e) | ([parfois] cher(s)/chère(s))	adj.
ye'rìn	bientôt	adv.
yerik	hexapède	n.
yey	droit | rectiligne	adj.
yìm	lier | attacher	vtr.
yol	court (temps) | bref	adj.
yom	manger	vtr.
yomhì'ang	dakteron | 'insectivore' | [Pseudopenthes coralis]	n.
yomioang	chalice plant  | [Pseudocenia rosea]	n.
yomtìng	alimenter | nourrir	vin.
yur	laver	vtr.
za'ärìp	tirer ([contraire de] pousser)	vtr.
za'u	venir	vin.
zamunge	apporter	vtr.
zawng	hurler	vin.
zekwä	doigt	n.
zene	devoir (obligation)	vim.
zìsìt	année	n.
zong	sauver | sauvegarder	vtr.
zongtseng	abri | refuge	n.
zoplo	offense | insulte	n.
zoplo si	offenser qqn | insulter qqn | blesser qqn	vin.
zusawkrr	futur | dans le futur	n.
Jakesully	Toruk Makto, idiot	n.
'ärìp	bouger  | déplacer (quelque chose)	vtr.
'awstengyem	lier (deux choses ou plus ensemble)	vtr.
'efu	(se) sentir | percevoir | ressentir	vtr.
'em	cuisiner	vtr.
'eyng	répondre	vin.
'i'a	finir | conclure	vin.
'ia	se perdre (spirituellement)	vin.
fkxake	démanger	v.
fmal	soutenir	vtr.
frìp	mordre	vtr.
ftem	passer ([près de quelque chose])	vtr.
fwew	chercher | rechercher	vtr.
hangham	rire	vin.
vaykrr	jusqu'à ([temps])	conj.
sngap	piquer	vtr.
hawl	préparer	vtr.
kä'ärìp	pousser	vtr.
kavuk si	trahir	vin.
kllkä	descendre	vin.
latsi	continuer/maintenir avec quelqu'un	v.
lek	obéir | tenir compte	vtr.
len	se passer | avoir lieu | se produire	vin.
lew si	couvrir	vin.
muntxa si	joindre | unir | s'accoupler	vin.
näk	boire	vtr.
nong	suivre | avoir lieu après	vtr.
oeyktìng	expliquer pourquoi	vtr.
pate	arriver (dans le sens 'arriver quelque part')	v.
piak si	ouvrir	vin.
pom	embrasser	vtr.
pxor	exploser	vin.
salew	aller | procéder | ([également utilisé pour dire l'âge d'une personne])	v.
sar	utiliser	vtr.
sim	être près de	vin.
sleyku	produire	vtr.
sop	voyager	vin.
spä	sauter	v.
speng	restaurer | reconstituer	vtr.
spule	propulser	vtr.
srese'a	prédire	vtr.
steyki	énerver | agacer	vtr.
sti	être en colère	vin.
sto	refuser (de faire quelque chose)	vtrm.
sung	ajouter | additionner | assembler	vtr.
syep	piéger	vtr.
tatep	perdre	vtr.
tätxaw	retourner	vin.
tem	tirer ([avec une arme])	vin.
tì'awm si	camper	vin.
tì'awm	camping	n.
tìkangkem si	travailler	vin.
tìng tseng	se retirer	vin.
tìsraw seyki	blesser quelqu'un | faire mal à quelqu'un	vtr.
tìsraw	douleur	n.
tìsraw si	être douloureux | faire mal	vin.
toltem	décocher | tirer	vtr.
tsä'	jaillir	v.
tsaheyl si	lier (établir une connexion neurale)	vin.
tsap'alute si	s'excuser	vin.
tsawl slu	grandir | croître | devenir grand	vin.
tsngawvìk	pleurer	vin.
tsre'i	lancer	vtr.
tstu si	fermer	vin.
tsunslu	être possible	vin.
tsurokx	reposer	vin.
tungzup	déposer | lâcher	vtr.
wem	combattre	vin.
win säpi	se dépêcher	vin.
win si	faire rapidement	vin.
yän	attacher	vtr.
yem	mettre | placer	vtr.
zenke	ne pas devoir (obligation)	vim.
zup	tomber	vin.
nekll	bas (direction)	adv.
srung si	aider	vin.
txopu si	être appeuré	vin.
fkip	chez | parmi	adp.
io	au-dessus (de) | au dessus (de)	adp.
kxamlä	par | à travers	adp.
lok	près de | proche de	adp.
maw	après (au sens temporel)	adp.
mìkam	entre	adp.
nemfa	dans | à l'intérieur	adp.
pxaw	autour de	adp.
pxel	comme | ainsi que	adp.
sìn	sur	adp.
takip	d'eux	adp.
uo	derrière (position)	adp.
luke	sans	adp.
tafkip	de l'un d'entre eux	adp.
ro+	au | à (dans le sens 'Au kelutral' 'À Hell's Gate')	adp.
sre+	avant (au sens temporel)	adp.
wä+	contre (dans le sens 'se battre contre quelque chose')	adp.
fäpa	sommet | haut | début	n.
alìm	lointain | à une distance éloignée	adv.
aylaru	aux autres	pn.
kxu	mal | dommage	n.
eltu lefngap	ordinateur	n.
kì'ong	lent	adj.
säfpìl	idée	n.
kefyak	n'est-ce pas?	part.
prrwll	mousse	n.
pängkxoyu lekoren	avocat | juriste | Homme de Loi	n.
pamrel	écriture | document écrit	n.
pamrel si	écrire | (permet le double datif)	vin.
furia	que (marqueur de subordination)	sbd.
fratseng	partout	adv.
fratrr	quotidiennement | (à) tous les jours	adv.
frato	marqueur superlatif (dans le sens 'plus que tout')	part.
trray	demain	adv.
kea	aucun ([devant un nom])	adj.
ngian	cependant	adv.
skepek	formel	adj.
hufwa	bien que...	conj.
tup	au lieu de | plutôt que	conj.
'uo	quelque chose	pn.
tuteo	quelqu'un	pn.
tsengo	quelque part (dans le sens indéfini du truc)	pn.
holpxaype	combien	inter.
hìm	petit (pour une quantité)	adj.
hìmtxampe	combien	inter.
hìmtxan	quantité	n.
pìmtxan	combien	inter.
lì'upe	quoi ? | quel (mot) ? | quelle (parole) ?	inter.
pelì'u	quel (dans le sens 'quel mot?' 'quelle expression?')	inter.
ultxarun	rencontrer (par hasard)	vtr.
ultxa si	rencontrer (intentionnellement)	vin.
rangal	souhaiter (que [devient] tsnì [pour introduire la subordonnée])	vin.
nìrangal	en souhaitant que (contraire au fait, | en utilisant le subjonctif ou le 'perfective')	adv.
txepvi	étincelle	n.
nitram	joyeux (pour des gens)	adj.
fewi	poursuivre	vtr.
stä'nì	attraper	vtr.
sran	oui (langage familier) | ouais | ouaip	part., intj.
weyn	dessiner | illustrer	vtr.
fìtrr	aujourd'hui | (en) ce jour	adv.
rusey	vivant	adj., n.
vitra	âme	n.
nìzawnong	sans danger	adv.
ftawnemkrr	passé (le passé)	n.
txal	dos (la partie anatomique d'un corps)	n.
tsìng	4 (quatre)	num.
mrr	cinq	num.
pukap	six	num.
kinä	sept	num.
vol	huit	num.
zam	64 (soixante quatre)	num.
tìoeyktìng	explication	n.
lesar	utile	adj.
tse	Ben... | Tu sais... | Écoutez... | Enfin...	part.
skxom	chance | opportunité	n.
fkxen	végétal ([nourriture]) | 'légume'	n.
syä'ä	amer	adj.
yemfpay si	immerger	vin.
yemfpay	immersion	n.
keng	même | autant que	adv.
'awlo	une fois	adv.
melo	deux fois	adv.
heyn	s'asseoir	vin.
nìpxim	correctement	adv.
pxim	intègre | droit	adj.
tuvon	appuyer	v.
nìfya'o	d'une manière	adv.
letrrtrr	ordinaire | quelconque	adj.
nì'eoio	cérémonieusement	adv.
'eoio	cérémonieux	adj.
rìk	feuille	n.
lerìk	feuillu	adj.
pa'o	côté	n.
kllpa	arrière (l'arrière)	n.
mìfa	dans | dedans	adv., n.
nefä	haut (direction)	adv.
zapxì	avant (pour un lieu objet)	n.
käpxì	arrière (l'arrière)	n.
käsatseng	là-bas	adv.
ftxey	choisir	conj.
ngaytxoa	je suis désolé | je m'excuse | toutes mes excuses	intj.
flew	gorge	n.
kxa	bouche	n.
nikre	cheveu	n.
pewn	cou | nuque	n.
re'o	tête	n.
sre'	dent	n.
tsuksìm	menton	n.
key	visage	n.
puk	livre	n.
ngäng	estomac	n.
ta'leng	peau	n.
tsyokx	main	n.
reypay	sang	n.
tsopì	poumon	n.
venu	pied	n.
venzek	orteil	n.
ramunong	puits	n.
payfya	ruisseau	n.
pxawpa	bords | périmètre	n.
txampay	océan | mer	n.
'ora	lac	n.
ekxan	barricade | barrière | clôture	n.
tsim	source	n.
tsray	village	n.
txayo	champ | plaine | terrain dégagé	n.
ukxo	sec	adj.
wew	froid	adj.
fìtxon	ce soir	adv., n.
txonam	hier soir | la nuit dernière	adv.
txonay	demain soir | la nuit prochaine	adv.
sekrr	présent	n.
vur	histoire	n.
tìpängkxo	conversation | discussion	n.
tìsrese'a	prophétie	n.
nawmtu	Grande Personne	n.
txantstew	héros	n.
syuve	nourriture ([nom collectif et indénombrable])	n.
tsngan	viande	n.
tstal	couteau	n.
tete	émoussé (ex: une lame)	adj.
lew	couvercle | couverture	n.
'opin	couleur	n.
leNa'vi	concernant les Na'vi | concernant le Peuple	adj.
nìNa'vi	comme un Na'vi | de la manière des Na'vi	adv.
hapxìtu	membre	n.
'Rrta	Planète Terre	prop.n.
fwäkìwll	mante orchidée | [Pandorchidus insectoralis]	n.
hì'ang	insecte	n.
payoang	poisson	n.
yayo	oiseau	n.
zize'	guêpe hellfire	n.
kemlì'u	v.	n.
tstxolì'u	nom	n.
ftär	gauche (la gauche)	adj.
skien	droite (la droite)	adj.
'änsyem	achevé | terminé	adj.
wotx	totalité	n.
mowan	plaisant | agréable ([physiquement, sexuellement])	adj.
vä'	infect | désagréable pour les sens	adj.
tatlam	apparemment	adv.
keteng	différent	adj.
numtseng	école	n.
skxakep	probable | probablement	adj., adv.
