id	navi	ipa	infixes	partOfSpeech	source	stressed	syllables	infixDots	de	en	et	fr	hu	nl	pl	ru	sv
52	'engeng	ˈʔɛŋ.ɛŋ	NULL	adj.	ASG	1	'eng-eng	NULL	eben, flach	level	tase	plat | nivelé | lisse | horizontal	szint, emelet	vlak	równy	уровень, этаж	jämn
56	'eveng	ˈʔɛ.vɛŋ	NULL	n.	ASG	1	'e-veng	NULL	Kind	child	laps	enfant	gyermek	kind	dziecko	ребёнок	barn
60	'evi	ˈʔɛ.vi	NULL	n.	ASG	1	'e-vi	NULL	Kind, Kindchen, Kindlein (affectionate form of)	kid (affectionate form of)	lapseke (affectionate form of)	enfant (affecteux)	gyerkő(c) (affectionate form of)	kindje (affectionate form of)	dzieciątko (affectionate form of)	дитя (affectionate form of)	unge (affectionate form of)
64	'ewan	ˈʔɛ.wan	NULL	adj.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/ (20 Jan 2010)	1	'e-wan	NULL	jung	young	noor	jeune	fiatal	jong	młody	молодой	ung
68	'eylan	ˈʔɛj.lan	NULL	n.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/ (20 Jan 2010)	1	'ey-lan	NULL	Freund (geschlechtslos)	friend	sõber	ami	barát	vriend	przyjaciel	друг	vän
76	'ì'awn	ʔ·ɪ.ˈʔ·awn	'<0><1>ì'<2>awn	vin.	ASG	2	'ì-'awn	'.ì'.awn	bleiben, verbleiben, verweilen	remain, stay	jääma, püsima	rester	marad	blijven	zostać, pozostać	оставаться, сохранять состояние	stanna, bli kvar
80	'ìheyu	ʔɪ.ˈhɛ.ju	NULL	n.	ASG	2	'ì-he-yu	NULL	Spirale, Wendel	spiral	spiraal	spirale	spirál	spiraal	spirala	спираль	sprial
84	'Ìnglìsì	ˈʔɪŋ.lɪ.sɪ	NULL	n.	ASG	1	'Ìng-lì-sì	NULL	Englisch (Sprache)	English language	inglise keel	Anglais (langue)	angol nyelv	Engels (taal)	język angielski	английский язык	Engelska språket
88	'it	ʔit̚	NULL	n.	ASG	1	'it	NULL	Bißchen, Stückchen, kleine Menge	bit, a small amount	väike kogus	un peu | une petite quantité	kevés (kis mennyiség)	beetje, kleine hoeveelheid	kawałek, cząstka	кусочек, частица, небольшое количество	bit, en liten mängd
92	'itan	ˈʔi.tan	NULL	n.	ASG	1	'i-tan	NULL	Sohn	son	poeg	fils	fiúgyermek	zoon	syn	сын	son
96	'ite	ˈʔi.tɛ	NULL	n.	ASG	1	'i-te	NULL	Tochter	daughter	tütar	fille (enfant du parent)	lánygyermek	dochter	córka	дочь	dotter
100	'ok	ʔok̚	NULL	n.	ASG	1	'ok	NULL	Andenken, Gedenken, Erinnerung	remembrance	mälestamine	souvenir	emlék, emlékezés	herinnering	wspomnienie	память, воспоминания	åtanke, minne
104	'ong	ʔ·oŋ	'<0><1><2>ong	v.	ASG	1	'ong	'..ong	erblühen, sich entfalten	unfold, blossom	õitsema	fleurir | s'épanouir	kinyílik, kivirágzik	bloeien	rozwijać, kwitnąć	раскрываться, распускаться, цвести, процветать	slå ut, blomstra
108	'u	ʔu	NULL	n.	Taronyu's dictionary 9.58 < Frommer	1	'u	NULL	Ding (Sache, Tatsache, Abstraktion)	thing (object, fact, abstraction)	asi (ese, fakt, mõte)	chose | fait	dolog (valami)	ding (object, feit)	rzecz (przedmiot, fakt, pojęcie)	вещь	sak, objekt
112	'upe	ˈʔu.pɛ	NULL	inter.	ASG	1	'u-pe	NULL	Was, Welches (Ding)	what (thing)	mis (asi)	quoi? | quel? | quelle? | quelle chose?	mi? mit? micsoda? micsodát?	welk (ding)	co (o rzecz)	что за, какой, который	vad (för sak)
116	'upxare	ʔu.ˈp'a.ɾɛ	NULL	n.	ASG	2	'u-pxa-re	NULL	Nachricht, Mitteilung	message	sõnum, teade	message	üzenet	boodschap, bericht	wiadomość	сообщение, послание, обращение	meddelande
120	a	a	NULL	part.	ASG	1	a	NULL	das/der/die, welche/r/s (Relativpronomen)	clause  level attributive marker	see, kes/mis; osalause m	[sbd.] | que | qui	aki, amely(ik) (határozói mellékmondat kötőszava)	bepaling attributieve markeerder	który, ten	который (в аттрибутивной конструкции связывает определяемое с определяемым)	som, vilken
128	alaksi	a.ˈlak.si	NULL	adj.	ASG	2	a-lak-si	NULL	fertig, bereit	ready	valmis	prêt	kész, felkészült	klaar	gotowy	готовый	redo
140	lìm	l·ɪm	l<0><1><2>ìm	vin.	Taronyu's Dictionary 9.53 < Frommer	1	lìm	l..ìm	weit weg sein, entfernt sein	be far	kaugel olema	être loin | être éloigné	messze van	ver weg zijn	być daleko	отдаляться, быть далеко	långt, vara långt
152	apxa	a.ˈp'a	NULL	adj.	ASG	2	a-pxa	NULL	groß, erheblich, umfangreich	large	suur	large	nagy	groot	duży	большой, крупный	stor
160	atan	a.ˈtan	NULL	n.	ASG; https://forum.learnnavi.org/language-updates/atan-lucet-in-tenebris/ (06 Feb 2010)	2	a-tan	NULL	Licht	light	valgus	lumière | source de lumière	fény	licht	światło	свет	ljus
172	atokirina'	a.to.ki.ˈɾi.naʔ	NULL	n.	ASG	4	a-to-ki-ri-na'	NULL	Samen des Großen Baumes	seeds of the great tree	Püha Puu seemned	Graines de l'Arbre Sacré	A Szent Fa magja	zaad van de Grote Boom	nasiona Drzewa Dusz	семя священного дерева	frön av det heliga trädet
176	atxkxe	at'.ˈk'ɛ	NULL	n.	ASG	2	atx-kxe	NULL	Land, Boden	land	maa	pays | terres	föld, terület	land	ziemia, grunt, stały ląd	земля, местность	land
180	au	ˈa.u	NULL	n.	Taronyu Dictionary	1	a-u	NULL	Trommel (aus Haut/Fell)	drum (made of skin)	trumm (valmistatud nahast)	[exclamation de consternation]	dob (bőrből készült)	trommel (gemaakt van huiden)	bęben (zrobiony ze skóry)	барабан из кожи	trumma (gjord av skinn)
184	aungia	a.ˈu.ŋi.a	NULL	n.	ASG; http://naviteri.org/2017/12/zisit-amip-lefpom-ma-eylan-happy-new-year-friends/ (31 Dec 2017)	2	a-u-ngi-a	NULL	Omen, Zeichen, Vorzeichen	sign, omen	märk, enne	présage | signe	(elő)jel, ómen	voorteken, omen	znak, wróżba	знак, знамение	tecken, omen
188	awaiei	a.wa.i.ˈɛ.i	NULL	n.	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)	4	a-wa-i-e-i	NULL	Paradiesbanshee	banshee of paradise	Paradiisi mardus (banshee of paradise)	banshee du paradis | [Bansheba terrestre]	édeni sikoltófű, földi ikran (pandorai növényfaj)	harpij van het paradijs	Rajska wiedźma	райский банши	vålnad av paradiset
192	awnga	aw.ˈŋa	NULL	pn.	Taronyu's Dictionary 10.015 => Frommer	2	aw-nga	NULL	wir	we	meie	nous ([inclusif, incluant toi]) | [forme abrégée de]: ayoeng	mi	wij	my	мы	vi
204	ayfo	aj.ˈfo] or [ˈaj.fo	NULL	pn.	ASG	2	ay-fo	NULL	sie (Plural)	they	nemad	ils | elles	ők sokan	zij	oni, one	они	de
208	aynga	aj.ˈŋa	NULL	pn.	ASG	2	ay-nga	NULL	ihr (alle)	you all, you (pl.)	teie	vous tous | vous	ti sokan	jullie allen, jullie	wy wszyscy, wy (l.mn.)	вы (инклюзив)	ni alla, ni
212	ayoe	aj.ˈo.ɛ	NULL	pn.	ASG	2	ay-o-e	NULL	wir (exklusiv)	we, us (exclusive)	meie (välistav)	nous (exclusif)	mi (kizáró)	wij (exclusief)	my, nas (wyłączające)	мы (эксклюзив)	vi, oss (inte du)
216	ayoeng	aj.ˈwɛŋ	NULL	pn.	ASG	2	ay-oeng	NULL	wir (inklusiv)	we, us (inclusive)	meie (kaasav) (ayoeng nimetavas, (meie ja sina))	nous (tous) (inclusif, incluant toi)	mi (beleértő)	wij, ons (inclusief)	my, nas (włączające)	мы (инклюзив)	vi, oss (du med)
224	äie	æ.ˈi.ɛ	NULL	n.	ASG; http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)	2	ä-i-e	NULL	Vision, Sehen (spirituell)	vision (spiritual)	nägemus (vaimne)	vision (spirituelle)	vízió, látomás	visie (spiritueel)	wizja (duchowa)	способность Видеть (духовный смысл)	syn, vision (andlig, spirituell)
240	äo	ˈæ.o	NULL	adp.	Taraonyu's Dictionary 9.58 < Frommer	1	ä-o	NULL	unter, darunter	under, below	all, allpool	sous | en-dessous de	alatt(a), alul	onderX	poniżej	под 	under
244	ätxäle	æ.ˈt'æ.lɛ	NULL	n.	ASG	2	ä-txä-le	NULL	Bitte, Anfrage	request	palve, nõue	demande | requête	kérés	verzoek	prośba, żądanie	просьба, мягкое требование	begäran, förfrågan
248	ätxäle si	æ.ˈt'æ.lɛ ˈs·i	ätxäle s<0><1><2>i	vin.	Taronyu's dictionary 9.869 < Movie Behind the Scenes (Screenshot)	3	ä-txä-le si	ätxäle s..i	anfragen, verlangen, höflich ersuchen (mit tsnì Satz für das Objekt)	request (with tsnì clause for object)	nõudma, paluma (koos tsnì osalausega sihitise jaoks)	demander (que [devient] tsnì [pour introduire la proposition relative])	kérés (tsnì majd a tárgyi mellékmondat)	verzoeken	prosić (zdanie podrzędne przyłączone spójnikiemtsnì)	просить, мягко требовать	begära (med tsnì som klausul för objektet)
256	ean	ˈɛ.an	NULL	adj.	ASG; http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	e-an	NULL	blau, grün	blue, green	sinine, roheline	bleu | vert	kék, zöld	blauw, groen	niebieski, zielony	синезеленый	blå, grön
264	eltu	ˈɛl.tu	NULL	n.	ASG	1	el-tu	NULL	Gehirn	brain	aju	cerveau	agy	brein	mózg	мозг	hjärna
268	eltu si	ˈɛl.tu s·i	eltu s<0><1><2>i	vin.	ASG	1	el-tu si	eltu s..i	anhören, Aufmerksamkeit schenken, sich kümmern um	pay attention, quit goofing off	tähele panema, (kellegi) segamist lõpetama	écouter ([prêter attention à])	figyel	luisteren	zwracać uwagę	слушать, обратить внимание, перестать дурить	sluta fåna sig, höra upp, skärpa sig
272	eltungawng	ˈɛl.tu.ŋawŋ	NULL	n.	ASG	1	el-tu-ngawng	NULL	Gehirnwurm	brainworm	Uneuss (brainworm)	brainworm	agyféreg (pandorai állatfaj)	breinworm	robak mózgu	мозговой червь	hjärnmask
280	emza'u	ɛm.ˈz·a.ʔ·u	emz<0><1>a'<2>u	vtr.	ASG	2	em-za-'u	emz.a'.u	bestehen (einen Test), bewältigen, überwinden	pass (a test), overcome	läbima (testi), üle saama	passer | réussir (un examen)	kiáll, sikerrel vesz (próbát)	halen (bv. een test)	zdać (test, egzamin), pokonać (przeszkodę)	сдать (экзамен, тест), пройти испытание	klara (ett test), överkomma
284	eo	ˈɛ.o	NULL	adp.	ASG	1	e-o	NULL	vor (Ort)	before, in front of (place)	ees, millegi ees	devant | avant	előtt(e),elől	voor (plaats)	przed (o miejscu)	впереди, спереди, перед	inför, framför (en plats)
296	eyawr	ɛ.ˈjawɾ	NULL	adj.	Frommer (31 Jan 2010) http://forum.learnnavi.org/language-updates/another-email-from-frommer/msg68133/#msg68133	2	e-yawr	NULL	korrekt, richtig, zutreffend, genau	correct, right	õige, veatu	correct	helyes, jó (válasz)	juist, correct	poprawny, właściwy	верный, правильный	rätt, korrekt
300	eyaye	ɛ.ˈja.jɛ	NULL	n.	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)	2	e-ya-ye	NULL	Kriegshaube	warbonnet	Surmasulg (warbonnet)	warbonnet | [Bellicum pennatum]	eyaye (pandorai növényfaj)	verentooi	bellicum pennatum, pióropusznik	«Боевые перья»	warbonnet
304	eyk	·ɛjk̚	<0><1><2>eyk	vtr.	ASG	1	eyk	..eyk	führen, anführen, leiten	lead	juhtima, valitsema	mener	vezet 	leiden	przewodzić, prowadzić	вести, быть проводником, руководить	leda
308	eyktan	ˈɛjk.tan	NULL	n.	ASG	1	eyk-tan	NULL	Anführer	leader	valitseja	leader (meneur)	vezető, főnök	leider	przywódca	вождь, предводитель	ledare
324	fa	fa	NULL	adp.	ASG	1	fa	NULL	mit, mittels, durch	with, by means of	koos (millegagi), (millegi) abil	avec | au moyen de...	val/vel/által (eszközhatározó)	met behulp van, door middel van	przy pomocy	чемлибо, посредством чеголибо	med, med hjälp av
328	fahew	fa.ˈhɛw	NULL	n.	ASG	2	fa-hew	NULL	Geruch, Gestank	smell	lõhn, hais	senteur	szag	geur	zapach	запах	lukt
348	fìfya	fɪ.ˈfja	NULL	adv.	ASG	2	fì-fya	NULL	so (auf diese Art und Weise)	this way, like this	nii, niimoodi	de cette manière | de cette façon	így, ilyen módon	op deze manier, zoals dit	w ten sposób	подобно этому, таким образом	såhär, det här sättet
352	fìkem	fɪ.ˈkɛm	NULL	pn.	ASG	2	fì-kem	NULL	dies, dieses (diese Aktion)	this (action)	see (tegevus)	ça (pour une action)	ez (a tett/cselekvés)	dit, deze (actie)	ten, ta, to (o czynności)	это (действие или поступок)	den här (handlingen)
356	fìpo	ˈfɪ.po	NULL	pn.	ASG; http://forum.learnnavi.org/website-info/the-dictionary-part-ii/msg580212/#msg580212 (29 Mar 2013)	1	fì-po	NULL	diese Person oder Sache	this one person or thing	see (isik või asi)	celui-là (personne ou chose)	ő, ez a személy	dit, deze (persoon of ding)	ta (osoba lub rzecz)	этот (указание на одушевленный или неодушевленный предмет	den här personen (eller saken)
360	fìtxan	fɪ.ˈt'an	NULL	adv.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/	2	fì-txan	NULL	so (sehr), besonders, in solchem Ausmaße	so, to such an extent	nii palju	si | tellement	ennyire, ilyen mértékben	zo (veel)	tak, tak badzo	настолько (степень выраженности)	så, i sådan utsträckning
364	fìtseng	fɪ.ˈt͡sɛŋ	NULL	adv., n.	ASG	2	fì-tseng	NULL	hier, dieser Ort	here, this place	siin, selles kohas, see koht	ici | (à) cet endroit | (à) ce lieu | on peut également dire: fìtsenge	itt, ez(en) a hely(en)	hier, deze plaats	tutaj, w tym miejscu	тут, здесь, в этом месте	här, det här stället
365	fìtsenge	fɪ.ˈt͡sɛ.ŋɛ	NULL	adv., n.	alternate: fìtseng	2	fì-tse-nge	NULL	hier, dieser Ort	here, this place	siin, selles kohas, see koht	ici | (à) cet endroit | (à) ce lieu | [on peut également dire]: fìtseng	itt, ez(en) a hely(en)	hier, deze plaats	tutaj, w tym miejscu	тут, здесь, в этом месте	här, det här stället
368	fì'u	fɪ.ˈʔu	NULL	pn.	ASG	2	fì-'u	NULL	dies, dieses (Ding)	this (thing)	see (asi)	ça | ceci (pour un objet)	ez (a dolog)	dit (ding)	ta (rzecz)	этот (с неодуш. предметом)	den här (saken)
372	fkarut	ˈfk·a.ɾ·ut̚	fk<0><1>ar<2>ut	v.	ASG	1	fka-rut	fk.ar.ut	schälen, häuten	peel	koorima	éplucher	hámoz	pellen	obierać	сдирать, соскабливать, чистить	skala
376	fkew	fkɛw	NULL	adj.	ASG	1	fkew	NULL	gewaltig, mächtig	mighty	vägev, võimas	puissant | très grand ([peut être interprété comme 'formidable' ou 'considérable'])	hatalmas, tekintélyes	machtig	potężny	сильный, могущественный, могучий	mäktig
380	fko	fko	NULL	pn.	ASG	1	fko	NULL	eine/r, man (nichtspezifizierter Handelnder)	one, they (singular usage) (unspecified agent)	üks, nemad, see, umbisikuline tegija	un (dans le sens 'un truc' indéfini)	valaki, ő(k) (határozatlan alany, egyesszámban értendő)	een, men (ongespecificeerd onderwerp)	NULL	обобщенноличное местоимение	NULL
384	flä	fl·æ	fl<0><1><2>ä	vin.	Taronyu's Dictionary 9.718	1	flä	fl..ä	glücken, gelingen, Erfolg haben	succeed	õnnestuma, korda minema	réussir	sikerrel jár, sikerül	slagen	udać się, powieść się	достигать цели, преуспевать, иметь успех	lyckas
388	fmawn	fmawn	NULL	n.	ASG	1	fmawn	NULL	Neuigkeit, etwas zu berichten	news, something to report	uudis, miski millest teavitada	nouvelle (information) | qqch à rapporter	hír, újság	nieuws, iets om te melden	informacja, nowina, coś do ogłoszenia	новость, предмет сообщения	nyheter, något att rapportera
392	fmetok	ˈfm·ɛ.t·ok̚	fm<0><1>et<2>ok	vtr.	ASG; https://forum.learnnavi.org/language-updates/about-fmetok-and-pofo/ (25 Feb 2017)	1	fme-tok	fm.et.ok	testen, prüfen, überprüfen	test	katsetama	tester	tesztel, próbára tesz	testen	sprawdzać, badać	экзаменовать, подвергать испытанию	testa
396	fmi	fm·i	fm<0><1><2>i	vtrm.	ASG	1	fmi	fm..i	versuchen, probieren	try, attempt	püüdma, üritama	essayer | tenter de	(meg)próbál, megkísérel	proberen	próbować	пробовать, пытаться	försöka
400	fngap	fŋap̚	NULL	n.	Taronyu's Dictionary 9.58 < Frommer	1	fngap	NULL	Metall	metal	metall	métal	fém	metaal	metal	металл	metall
404	fngapsutxwll	ˈfŋap.sut'.wḷ	NULL	n.	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)	1	fngap-sutx-wll	NULL	metallsuchende Pflanze, Anemonide	metalfollowing plant	Metalli järgiv taim (metalfollowing plant)	plante | [Pennanemone ciliare]	fémkövető növény (pandorai növényfaj)	metallofiele plant	pennanemonoid ciliare, anemonid	Pennanemone ciliare («растение, следующее за металлом»)	metallföljande planta
408	fnu	fn·u	fn<0><1><2>u	vin.	ASG	1	fnu	fn..u	beruhigen, ruhig sein, leise sein	quiet, be quiet	vaikima, vait olema	calmer | apaiser	lehalkít, elcsendesül	wees stil, stil zijn	być cicho	молчать, замолкать	tyst, vara tyst
412	fo	fo	NULL	pn.	ASG	1	fo	NULL	sie (plural)	they	nemad	ils | elles	ők sokan	zij	oni, one	они (сокращенная форма)	de
416	fpak	fp·ak̚	fp<0><1><2>ak	vin.	ASG; http://naviteri.org/2015/11/vomuna-liu-amip-ten-new-words/ (30 November 2015)	1	fpak	fp..ak	zögern, sich zurückhalten, Tätigkeit unterbrechen/einstellen	hold off, suspend action	tagasi hoidma, peatama tegevust	stopper | arrêter une action qui est en train de se produire	abbahagy, felfüggeszt (a cselekvés folytatódni fog)	actie uitstellen, wachten	wstrzymywać, opóźniać	приостанавливать, откладывать (какоелибо дело)	avvakta, avbryta åtgärder
420	fpe'	fp·ɛʔ	fp<0><1><2>e'	vtr.	ASG	1	fpe'	fp..e'	senden, schicken	send	saatma	donner | envoyer	(el)küld	zenden, sturen	wysłać	отправлять, посылать	skicka
424	fpeio	fpɛ.ˈi.o	NULL	n.	ASG	2	fpe-i-o	NULL	Herausforderung (zeremoniell)	challenge (ceremonial)	väljakutse, ülesanne (tseremoniaalne)	challenge | défi (cérémoniel)	kihívás (ünnepélyes)	uitdaging (ceremonieel)	wyzwanie (ceremonialne)	вызов (церемониальный)	utmaning (högtidlig)
428	fpi+	fpi	NULL	adp.	ASG	1	fpi	NULL	wegen, zuliebe, um ... willen	for the sake of, for the benefit of	(millegi) pärast, tõttu  (Ma tapan jumala pärast. Eesti keeles eraldi väljend tegelikult puudub.)	pour l'amour de au bénéfice de	(azért), hogy; valaminek az érdekében	in het belang van, voor het nut van	dla, na korzyść (czegoś)	ради, изза, для, с целью	för sakens skull, till förmån för
432	fpìl	fp·ɪl	fp<0><1><2>ìl	vtr.	Taronyu's dictionary -> Paul Frommer	1	fpìl	fp..ìl	denken	think	mõtlema, arvama	penser | réfléchir	gondol(kodik)	denken	myśleć	думать	tänka
436	fpom	fpom	NULL	n.	ASG	1	fpom	NULL	Wohlsein, Friede, Glück	wellbeing, peace, happiness	heaolu, õnnelikkus, rahu	paix | bien-être | bonheur	béke, jólét	vrede, geluk	dobrobyt, spokój, radość	мир, благополучие	välmående, fred, lycka
440	fpxafaw	ˈfp'a.faw	NULL	n.	ASG	1	fpxa-faw	NULL	Medusa (Tier)	medusa	Lendmeduus (medusa)	medusa	(pandorai repülő medúzaszerű lény) (pandorai állatfaj)	medusa	meduza	медуза	manet
444	fpxäkìm	ˈfp'·æ.k·ɪm	fpx<0><1>äk<2>ìm	vin.	ASG; http://naviteri.org/2012/01/more-additions-to-the-lexicon/ (22 Jan 2012)	1	fpxä-kìm	fpx.äk.ìm	eintreten, betreten	enter	sisenema	entrer	belép	binnenkomen	wchodzić	входить, проникать, попадать	stiga in,
452	fra'u	ˈfɾa.ʔu	NULL	pn.	ASG	1	fra-'u	NULL	alles (jedes Ding)	everything	iga asi/ese	tout | toute chose	minden	alles	wsystko	всё	allt, alla saker
456	frakrr	ˈfɾa.kṛ	NULL	adv.	http://forum.learnnavi.org/language-updates/karyuru-frakrr-irayo-si-ko!/ (06 Apr 2010)	1	fra-krr	NULL	immer, jeder Zeit	always, all the time	alati, koguaeg	toujours | tout le temps	mindig	altijd	zawsze, cały czas	всегда	alltid, hela tiden
460	frapo	ˈfɾa.po	NULL	pn.	ASG	1	fra-po	NULL	jeder, jede, alle	everyone	igaüks, kõik	tous | tout le monde	mindenki	iedereen	każdy	все	alla
464	frrfen	ˈf·ṛ.f·ɛn	f<0><1>rrf<2>en	vtr.	NULL	1	frr-fen	f.rrf.en	besuchen	visit	külastama	visiter	(meg)látogat	bezoeken	odwiedzać	навещать, посещать	besöka
468	frrtu	ˈfṛ.tu	NULL	n.	Frommers personal emails	1	frr-tu	NULL	Gast, Besucher	guest, visitor	külaline, külastaja	visiteur | invité	vendég	gast, bezoeker	gość, odwiedzający	гость	gäst, besökare
472	ftang	ft·aŋ	ft<0><1><2>ang	vim.	ASG	1	ftang	ft..ang	stoppen, anhalten, aufhalten	stop	peatuma	stopper | arrêter (de faire quelque chose/une action)	befejez, abbahagy	stoppen	zaprzestać	прекращать, останавливаться	sluta
476	fte	ftɛ	NULL	conj.	ASG	1	fte	NULL	sodass, um…zu	so that, in order to	(nii), et; (selleks), et	de sorte que | afin que	a célból/azért, hogy	zodat	żeby, po to aby	чтобы, для того чтобы	så att, för att kunna
480	fteke	ˈftɛ.kɛ	NULL	conj.	ASG	1	fte-ke	NULL	sodass nicht, dass nicht, damit nicht	so that not, lest	(nii) et mitte, et ei	afin d'éviter que | de crainte que	hogy nehogy, különben	zodat niet	aby nie	чтобы не, как бы не	så att inte, för att inte
484	ftia	ft·i.·ˈa	ft<0><1>i<2>a	vtr.	ASG	2	fti-a	ft.i.a	studieren, erforschen, untersuchen	study	õppima	étudier	megfigyel, szemügyre vesz, tanulmányoz	studeren	studiować, uczyć się	изучать, учить	studera
488	ftxì	ft'ɪ	NULL	n.	NULL	1	ftxì	NULL	Zunge	tongue	keel (kehaosa)	langue (l'organe)	nyelv (testrész)	tong	język (część ciała)	язык (часть тела)	tunga
492	ftxozä	ft'o.ˈzæ	NULL	n.	Taronyu's dictionary -> Paul Frommer	2	ftxo-zä	NULL	Feier, Fest, fröhlicher Anlass, freudiges Ereignis	celebration, happy occasion	tähistus, tore sündmus, puhkus	célébration | évènement joyeux	ünnep(ség)	feestdag, blijde gebeurtenis	świętowanie, święto	праздник	högtid, lyckligt tillfälle
496	ftu	ftu	NULL	adp.	ASG	1	ftu	NULL	von, ab, aus (Richtung)	from (direction)	seestütlev kääne (suund)	de (direction)	felől, irányából	vanuit (richting)	z (kierunku)	от, из, с (направление в пространстве)	från (riktning)
500	ftue	ˈftu.ɛ	NULL	adj.	ASG	1	ftu-e	NULL	leicht, einfach	easy, simple	lihtne, kerge	facile	könnyű, egyszerű	makkelijk, simpel	łatwy, prosty	легкий, простой, нетрудный	enkel, simpel
504	ftxavang	ˈft'a.vaŋ	NULL	adj.	Taronyu's Dictionary 9.661 < Frommer	1	ftxa-vang	NULL	leidenschaftlich	passionate	kirglik, püüdlik	passionné(e)	szenvedélyes	hartstochtelijk	gorący, żarliwy	пылкий, страстный	passionerad
508	ftxey	ft'·ɛj	ftx<0><1><2>ey	vtr.	ASG	1	ftxey	ftx..ey	wählen, aussuchen, auswählen	choose	valima, valikut tegema	choisir	választ	kiezen	wybierać	выбирать	välja
512	fu	fu	NULL	conj.	ASG	1	fu	NULL	oder	or	või	ou (dans le sens  | ça ou ça)	vagy (kötőszó)	of	lub	или	eller
516	futa	ˈfu.ta	NULL	sbd.	Taronyu's dictionary -> Paul Frommer	1	fu-ta	NULL	dass (NebensatzMarker)	that	seda, mis (kõrvallause märkija)	généralement traduit par que | répétition du sujet ou infinitif	azt, hogy (alárendelő mellékmondat kötőszava)	dat	którego	что, чтобы	det
520	fwa	fwa	NULL	sbd.	Taronyu's Dictionary 10.015 => Frommer	1	fwa	NULL	dass (NebensatzMarker)	that (subordinate clause marker)	see, mis (kõrvallause märkija)	ce qui...	az, hogy (alárendelő mellékmondat kötőszava)	dat (gesubordineerd zinsdeel markeerder)	który	тот (который или что) (маркер относительного выражения)	att,  (klausul bisatsmarkör)
528	fya'o	ˈfja.ʔo	NULL	n.	ASG	1	fya-'o	NULL	Pfad, Weg, Verhalten, Art und Weise	path, way, manner	tee, rada, komme, viis	voie | chemin	ösvény, út, mód	pad, wijze, manier	spsób, zwyczaj, scieżka	путь, дорога	väg, stig, sätt
532	fyape	ˈfja.pɛ	NULL	inter.	ASG	1	fya-pe	NULL	wie?	how	kuidas	comment	hogy(an)?	hoe	jak	как	hur
