word	unique letters	total letters	score
rina'	5	5	1.000000
riti	3	4	0.750000
rol	3	3	1.000000
ronsem	6	6	1.000000
rum	3	3	1.000000
rumut	4	5	0.800000
run	3	3	1.000000
rutxe	5	5	1.000000
sa'nok	6	6	1.000000
sa'nu	5	5	1.000000
san	3	3	1.000000
sänume	6	6	1.000000
säspxin	6	7	0.857143
sempu	5	5	1.000000
sempul	6	6	1.000000
set	3	3	1.000000
sevin	5	5	1.000000
seyri	5	5	1.000000
seze	3	4	0.750000
si	2	2	1.000000
sì	2	2	1.000000
sìk	3	3	1.000000
sìlpey	6	6	1.000000
sìlronsem	8	9	0.888889
sìltsan	6	7	0.857143
ska'a	4	5	0.800000
skxawng	7	7	1.000000
slä	3	3	1.000000
slu	3	3	1.000000
sngä'i	6	6	1.000000
sngä'ikrr	8	9	0.888889
sngel	5	5	1.000000
sngeltseng	6	10	0.600000
snumìna	6	7	0.857143
som	3	3	1.000000
somtìlor	7	8	0.875000
spaw	4	4	1.000000
spxam	5	5	1.000000
spe'e	4	5	0.800000
spe'etu	6	7	0.857143
spxin	5	5	1.000000
srak	4	4	1.000000
srake	5	5	1.000000
srane	5	5	1.000000
srew	4	4	1.000000
srung	5	5	1.000000
stawm	5	5	1.000000
steftxaw	7	8	0.875000
stum	4	4	1.000000
sutx	4	4	1.000000
swaw	3	4	0.750000
swey	4	4	1.000000
swirä	5	5	1.000000
swizaw	5	6	0.833333
swok	4	4	1.000000
swotu	5	5	1.000000
syaw	4	4	1.000000
syulang	7	7	1.000000
ta	2	2	1.000000
ta'em	5	5	1.000000
tafral	5	6	0.833333
täftxu	5	6	0.833333
täftxuyu	6	8	0.750000
takuk	4	5	0.800000
talioang	7	8	0.875000
talun	5	5	1.000000
taluna	5	6	0.833333
tam	3	3	1.000000
tam tam	3	6	0.500000
tangek	6	6	1.000000
tanhì	5	5	1.000000
taron	5	5	1.000000
taronyu	7	7	1.000000
tautral	5	7	0.714286
taw	3	3	1.000000
taweyk	6	6	1.000000
taweyka	6	7	0.857143
tawsìp	6	6	1.000000
tawng	5	5	1.000000
tawtsngal	7	9	0.777778
Tawtute	6	7	0.857143
te	2	2	1.000000
tel	3	3	1.000000
telem	4	5	0.800000
teng	4	4	1.000000
tengfya	7	7	1.000000
tengkrr	6	7	0.857143
teri	4	4	1.000000
terkup	6	6	1.000000
teswotìng	8	9	0.888889
teya	4	4	1.000000
teylu	5	5	1.000000
tewti	4	5	0.800000
til	3	3	1.000000
tirea	5	5	1.000000
tireafya'o	9	10	0.900000
tireaioang	8	10	0.800000
tireapängkxo	12	12	1.000000
tì'eyng	7	7	1.000000
tìfmetok	7	8	0.875000
tìftang	6	7	0.857143
tìfyawìntxu	9	11	0.818182
tìhawnu	7	7	1.000000
tìkangkem	8	9	0.888889
tìkawng	7	7	1.000000
tìkenong	7	8	0.875000
tìkin	5	5	1.000000
tìlor	5	5	1.000000
tìng	4	4	1.000000
tìng mikyun	9	10	0.900000
tìng nari	7	8	0.875000
tìngay	6	6	1.000000
tìpawm	6	6	1.000000
tìran	5	5	1.000000
tìyawn	6	6	1.000000
tìrey	5	5	1.000000
tìrol	5	5	1.000000
tìspxin	7	7	1.000000
tìtxur	5	6	0.833333
to	2	2	1.000000
tok	3	3	1.000000
toktor	4	6	0.666667
tokx	4	4	1.000000
tompa	5	5	1.000000
toruk	5	5	1.000000
toruk makto	7	10	0.700000
torukspxam	10	10	1.000000
trr	2	3	0.666667
trram	4	5	0.800000
tukru	4	5	0.800000
tul	3	3	1.000000
tung	4	4	1.000000
tupe	4	4	1.000000
tut	2	3	0.666667
tute	3	4	0.750000
tuté	3	4	0.750000
tutan	4	5	0.800000
tsa'u	5	5	1.000000
tsaheylu	8	8	1.000000
tsakem	6	6	1.000000
tsakrr	5	6	0.833333
tsam	4	4	1.000000
tsampongu	9	9	1.000000
tsamsiyu	7	8	0.875000
tsap'alute	8	10	0.800000
tsatseng	6	8	0.750000
tsatu	4	5	0.800000
tsawke	6	6	1.000000
tsawl	5	5	1.000000
tsawlapxangrr	10	13	0.769231
tse'a	5	5	1.000000
tseng	5	5	1.000000
tsenge	5	6	0.833333
tsengpe	6	7	0.857143
tseo	4	4	1.000000
tskalep	7	7	1.000000
tsko	4	4	1.000000
tsko swizaw	8	10	0.800000
tskxe	5	5	1.000000
tskxekeng	7	9	0.777778
tslam	5	5	1.000000
tsleng	6	6	1.000000
tslolam	6	7	0.857143
tsmuk	5	5	1.000000
tsmuktu	5	7	0.714286
tsmukan	7	7	1.000000
tsmuke	6	6	1.000000
tsnì	4	4	1.000000
tsngal	6	6	1.000000
tspang	6	6	1.000000
tsranten	6	8	0.750000
tstew	4	5	0.800000
tstxo	4	5	0.800000
tsun	4	4	1.000000
tswayon	7	7	1.000000
tsyal	5	5	1.000000
tsyo	4	4	1.000000
tsyorina'wll	11	12	0.916667
txan	4	4	1.000000
txantsan	5	8	0.625000
txantslusam	8	11	0.727273
txe'lan	7	7	1.000000
txele	4	5	0.800000
txen	4	4	1.000000
txep	4	4	1.000000
txewk	5	5	1.000000
txey	4	4	1.000000
txìm	4	4	1.000000
txìng	5	5	1.000000
txll'u	5	6	0.833333
txo	3	3	1.000000
txoa	4	4	1.000000
txokefyaw	9	9	1.000000
txon	4	4	1.000000
txopu	5	5	1.000000
txula	5	5	1.000000
txum	4	4	1.000000
txumpaywll	9	10	0.900000
txumtsä'wll	9	11	0.818182
txur	4	4	1.000000
ulte	4	4	1.000000
ultxa	5	5	1.000000
unil	4	4	1.000000
uniltìrantokx	11	13	0.846154
uniltìranyu	9	11	0.818182
utral	5	5	1.000000
uvan	4	4	1.000000
uvan si	6	6	1.000000
vay	3	3	1.000000
virä	4	4	1.000000
vrrtep	5	6	0.833333
vul	3	3	1.000000
way	3	3	1.000000
waytelem	7	8	0.875000
win	3	3	1.000000
wìntxu	6	6	1.000000
'ewll	4	5	0.800000
wrrpa	4	5	0.800000
wutso	5	5	1.000000
ya	2	2	1.000000
yawne	5	5	1.000000
ye'rìn	6	6	1.000000
yerik	5	5	1.000000
yey	2	3	0.666667
yìm	3	3	1.000000
yol	3	3	1.000000
yom	3	3	1.000000
yomhì'ang	9	9	1.000000
yomioang	7	8	0.875000
yomtìng	7	7	1.000000
yur	3	3	1.000000
za'ärìp	7	7	1.000000
za'u	4	4	1.000000
zamunge	7	7	1.000000
zawng	5	5	1.000000
zekwä	5	5	1.000000
zene	3	4	0.750000
zìsìt	4	5	0.800000
zong	4	4	1.000000
zongtseng	7	9	0.777778
zoplo	4	5	0.800000
zoplo si	6	7	0.857143
zusawkrr	7	8	0.875000
Jakesully	8	9	0.888889
'ärìp	5	5	1.000000
'awstengyem	10	11	0.909091
'efu	4	4	1.000000
'em	3	3	1.000000
'eyng	5	5	1.000000
'i'a	3	4	0.750000
'ia	3	3	1.000000
fkxake	5	6	0.833333
fmal	4	4	1.000000
frìp	4	4	1.000000
ftem	4	4	1.000000
fwew	3	4	0.750000
hangham	5	7	0.714286
vaykrr	5	6	0.833333
sngap	5	5	1.000000
hawl	4	4	1.000000
kä'ärìp	6	7	0.857143
kavuk si	6	7	0.857143
kllkä	3	5	0.600000
latsi	5	5	1.000000
lek	3	3	1.000000
len	3	3	1.000000
lew si	5	5	1.000000
muntxa si	8	8	1.000000
näk	3	3	1.000000
nong	3	4	0.750000
oeyktìng	8	8	1.000000
pate	4	4	1.000000
piak si	5	6	0.833333
pom	3	3	1.000000
pxor	4	4	1.000000
salew	5	5	1.000000
sar	3	3	1.000000
sim	3	3	1.000000
sleyku	6	6	1.000000
sop	3	3	1.000000
spä	3	3	1.000000
speng	5	5	1.000000
spule	5	5	1.000000
srese'a	5	7	0.714286
steyki	6	6	1.000000
sti	3	3	1.000000
sto	3	3	1.000000
sung	4	4	1.000000
syep	4	4	1.000000
tatep	4	5	0.800000
tätxaw	5	6	0.833333
tem	3	3	1.000000
tì'awm si	8	8	1.000000
tì'awm	6	6	1.000000
tìkangkem si	10	11	0.909091
tìng tseng	6	9	0.666667
tìsraw seyki	10	11	0.909091
tìsraw	6	6	1.000000
tìsraw si	7	8	0.875000
toltem	5	6	0.833333
tsä'	4	4	1.000000
tsaheyl si	8	9	0.888889
tsap'alute si	9	12	0.750000
tsawl slu	6	8	0.750000
tsngawvìk	9	9	1.000000
tsre'i	6	6	1.000000
tstu si	4	6	0.666667
tsunslu	5	7	0.714286
tsurokx	7	7	1.000000
tungzup	6	7	0.857143
wem	3	3	1.000000
win säpi	6	7	0.857143
win si	4	5	0.800000
yän	3	3	1.000000
yem	3	3	1.000000
zenke	4	5	0.800000
zup	3	3	1.000000
nekll	4	5	0.800000
srung si	6	7	0.857143
txopu si	7	7	1.000000
fkip	4	4	1.000000
io	2	2	1.000000
kxamlä	6	6	1.000000
lok	3	3	1.000000
maw	3	3	1.000000
mìkam	4	5	0.800000
nemfa	5	5	1.000000
pxaw	4	4	1.000000
pxel	4	4	1.000000
sìn	3	3	1.000000
takip	5	5	1.000000
uo	2	2	1.000000
luke	4	4	1.000000
tafkip	6	6	1.000000
ro+	3	3	1.000000
sre+	4	4	1.000000
wä+	3	3	1.000000
fäpa	4	4	1.000000
alìm	4	4	1.000000
aylaru	5	6	0.833333
kxu	3	3	1.000000
eltu lefngap	9	11	0.818182
kì'ong	6	6	1.000000
säfpìl	6	6	1.000000
kefyak	5	6	0.833333
prrwll	4	6	0.666667
pängkxoyu lekoren	12	16	0.750000
pamrel	6	6	1.000000
pamrel si	8	8	1.000000
furia	5	5	1.000000
fratseng	8	8	1.000000
fratrr	4	6	0.666667
frato	5	5	1.000000
trray	4	5	0.800000
kea	3	3	1.000000
ngian	4	5	0.800000
skepek	4	6	0.666667
hufwa	5	5	1.000000
tup	3	3	1.000000
'uo	3	3	1.000000
tuteo	4	5	0.800000
tsengo	6	6	1.000000
holpxaype	8	9	0.888889
hìm	3	3	1.000000
hìmtxampe	8	9	0.888889
hìmtxan	7	7	1.000000
pìmtxan	7	7	1.000000
lì'upe	6	6	1.000000
pelì'u	6	6	1.000000
ultxarun	7	8	0.875000
ultxa si	7	7	1.000000
rangal	5	6	0.833333
nìrangal	6	8	0.750000
txepvi	6	6	1.000000
nitram	6	6	1.000000
fewi	4	4	1.000000
stä'nì	6	6	1.000000
sran	4	4	1.000000
weyn	4	4	1.000000
fìtrr	4	5	0.800000
rusey	5	5	1.000000
vitra	5	5	1.000000
nìzawnong	7	9	0.777778
ftawnemkrr	9	10	0.900000
txal	4	4	1.000000
tsìng	5	5	1.000000
mrr	2	3	0.666667
pukap	4	5	0.800000
kinä	4	4	1.000000
vol	3	3	1.000000
zam	3	3	1.000000
tìoeyktìng	8	10	0.800000
lesar	5	5	1.000000
tse	3	3	1.000000
skxom	5	5	1.000000
fkxen	5	5	1.000000
syä'ä	4	5	0.800000
yemfpay si	8	9	0.888889
yemfpay	6	7	0.857143
keng	4	4	1.000000
'awlo	5	5	1.000000
melo	4	4	1.000000
heyn	4	4	1.000000
nìpxim	6	6	1.000000
pxim	4	4	1.000000
tuvon	5	5	1.000000
nìfya'o	7	7	1.000000
letrrtrr	4	8	0.500000
nì'eoio	6	7	0.857143
'eoio	4	5	0.800000
rìk	3	3	1.000000
lerìk	5	5	1.000000
pa'o	4	4	1.000000
kllpa	4	5	0.800000
mìfa	4	4	1.000000
nefä	4	4	1.000000
zapxì	5	5	1.000000
käpxì	5	5	1.000000
käsatseng	8	9	0.888889
ftxey	5	5	1.000000
ngaytxoa	7	8	0.875000
flew	4	4	1.000000
kxa	3	3	1.000000
nikre	5	5	1.000000
pewn	4	4	1.000000
re'o	4	4	1.000000
sre'	4	4	1.000000
tsuksìm	6	7	0.857143
key	3	3	1.000000
puk	3	3	1.000000
ngäng	3	5	0.600000
ta'leng	7	7	1.000000
tsyokx	6	6	1.000000
reypay	5	6	0.833333
tsopì	5	5	1.000000
venu	4	4	1.000000
venzek	5	6	0.833333
ramunong	7	8	0.875000
payfya	4	6	0.666667
pxawpa	4	6	0.666667
txampay	6	7	0.857143
'ora	4	4	1.000000
ekxan	5	5	1.000000
tsim	4	4	1.000000
tsray	5	5	1.000000
txayo	5	5	1.000000
ukxo	4	4	1.000000
wew	2	3	0.666667
fìtxon	6	6	1.000000
txonam	6	6	1.000000
txonay	6	6	1.000000
sekrr	4	5	0.800000
vur	3	3	1.000000
tìpängkxo	9	9	1.000000
tìsrese'a	7	9	0.777778
nawmtu	6	6	1.000000
txantstew	7	9	0.777778
syuve	5	5	1.000000
tsngan	5	6	0.833333
tstal	4	5	0.800000
tete	2	4	0.500000
lew	3	3	1.000000
'opin	5	5	1.000000
leNa'vi	7	7	1.000000
nìNa'vi	7	7	1.000000
hapxìtu	7	7	1.000000
'Rrta	5	5	1.000000
fwäkìwll	6	8	0.750000
hì'ang	6	6	1.000000
payoang	6	7	0.857143
yayo	3	4	0.750000
zize'	4	5	0.800000
kemlì'u	7	7	1.000000
tstxolì'u	8	9	0.888889
ftär	4	4	1.000000
skien	5	5	1.000000
'änsyem	7	7	1.000000
wotx	4	4	1.000000
mowan	5	5	1.000000
vä'	3	3	1.000000
tatlam	4	6	0.666667
keteng	5	6	0.833333
numtseng	7	8	0.875000
skxakep	6	7	0.857143
tìprrte'	6	8	0.750000
kaw'it	6	6	1.000000
nìlkeftang	9	10	0.900000
tì'i'avay	7	9	0.777778
'awm	4	4	1.000000
tìska'a	6	7	0.857143
tìsop	5	5	1.000000
wempongu	8	8	1.000000
asim	4	4	1.000000
klltseng	7	8	0.875000
kxutu	4	5	0.800000
mekre	4	5	0.800000
tìhawl	6	6	1.000000
tìkan	5	5	1.000000
tìpähem	7	7	1.000000
numeyu	5	6	0.833333
soaia	4	5	0.800000
tìmuntxa	7	8	0.875000
yawnetu	7	7	1.000000
yawntu	6	6	1.000000
kakrel	5	6	0.833333
kanu	4	4	1.000000
koak	3	4	0.750000
lekye'ung	8	9	0.888889
me'em	3	5	0.600000
txanew	6	6	1.000000
txantur	6	7	0.857143
tì'awpo	7	7	1.000000
tì'eylan	8	8	1.000000
fkay	4	4	1.000000
keltsun	7	7	1.000000
kxuke	4	5	0.800000
lehawng	7	7	1.000000
hawng	5	5	1.000000
lekin	5	5	1.000000
stxong	6	6	1.000000
syen	4	4	1.000000
kavuk	4	5	0.800000
fpìlfya	6	7	0.857143
syay	3	4	0.750000
tìfnu	5	5	1.000000
tìngop	6	6	1.000000
tìpe'un	7	7	1.000000
kxitx	4	5	0.800000
trr'awve	7	8	0.875000
trrmuve	6	7	0.857143
trrpxeyve	7	9	0.777778
trrtsìve	6	8	0.750000
trrmrrve	5	8	0.625000
trrpuve	6	7	0.857143
trrkive	6	7	0.857143
'ango	5	5	1.000000
kxayl	5	5	1.000000
rey'eng	6	7	0.857143
tìme'em	5	7	0.714286
fnel	4	4	1.000000
fnepe	4	5	0.800000
pefnel	5	6	0.833333
zerok	5	5	1.000000
tswa'	5	5	1.000000
tì'efu	6	6	1.000000
maweypey	6	8	0.750000
tìmweypey	7	9	0.777778
lemweypey	6	9	0.666667
nìmweypey	7	9	0.777778
tsakrrvay	7	9	0.777778
ohakx	5	5	1.000000
tìohakx	7	7	1.000000
tsyosyu	5	7	0.714286
vey	3	3	1.000000
trrpeve	5	7	0.714286
pxiswawam	7	9	0.777778
pxiset	6	6	1.000000
pxiswaway	7	9	0.777778
pxiye'rìn	9	9	1.000000
pxisre+	7	7	1.000000
pximaw	6	6	1.000000
sok	3	3	1.000000
'awlie	6	6	1.000000
tìkxey	6	6	1.000000
tìkxey si	8	8	1.000000
tìyawr	6	6	1.000000
tìketeng	6	8	0.750000
fpomtokx	7	8	0.875000
lefpomtokx	9	10	0.900000
kelfpomtokx	9	11	0.818182
keftxo	6	6	1.000000
nìkeftxo	8	8	1.000000
sraw	4	4	1.000000
txampxì	6	7	0.857143
vurvi	4	5	0.800000
sänumvi	7	7	1.000000
letam	5	5	1.000000
letsranten	7	10	0.700000
nìswey	6	6	1.000000
nìpxi	5	5	1.000000
wok	3	3	1.000000
spuwin	6	6	1.000000
nì'eyng	6	7	0.857143
nìkanu	5	6	0.833333
nìlaw	5	5	1.000000
tìsti	4	5	0.800000
tìtxanew	7	8	0.875000
tìftxey	6	7	0.857143
tìkanu	6	6	1.000000
tìlam	5	5	1.000000
tìtslam	6	7	0.857143
tìtxula	6	7	0.857143
hewne	4	5	0.800000
tìm	3	3	1.000000
laro	4	4	1.000000
tsewtx	5	6	0.833333
lefngap	7	7	1.000000
txa'	4	4	1.000000
fwel	4	4	1.000000
etrìp	5	5	1.000000
piak	4	4	1.000000
tstu	3	4	0.750000
kxll si	5	6	0.833333
tsaw	4	4	1.000000
tsalsungay	8	10	0.800000
oìsss	3	5	0.600000
saa	2	3	0.666667
sau	3	3	1.000000
tsahey	6	6	1.000000
wiya	4	4	1.000000
ìley	4	4	1.000000
vawm	4	4	1.000000
tìvawm	6	6	1.000000
polpxay	6	7	0.857143
ke'aw	5	5	1.000000
nìsti	5	5	1.000000
teyr	4	4	1.000000
layon	5	5	1.000000
pänu	4	4	1.000000
kew	3	3	1.000000
'eyt	4	4	1.000000
nayn	3	4	0.750000
trr'ong	6	7	0.857143
trr'ongmaw	9	10	0.900000
rewon	5	5	1.000000
srekamtrr	7	9	0.777778
kxamtrr	6	7	0.857143
kxamtrrmaw	7	10	0.700000
ha'ngir	7	7	1.000000
kaym	4	4	1.000000
sreton'ong	8	10	0.800000
txon'ong	6	8	0.750000
txon'ongmaw	9	11	0.818182
srekamtxon	10	10	1.000000
kxamtxon	7	8	0.875000
kxamtxomaw	7	10	0.700000
sresrr'ong	7	10	0.700000
wou	3	3	1.000000
tsyìräfì	7	8	0.875000
tsawa	4	5	0.800000
tsata	3	5	0.600000
tsaria	5	6	0.833333
alo	3	3	1.000000
fralo	5	5	1.000000
nìmwey	6	6	1.000000
ku'up	4	5	0.800000
syo	3	3	1.000000
hay	3	3	1.000000
ham	3	3	1.000000
matsa	4	5	0.800000
hametsì	7	7	1.000000
tìkangkemvi	10	11	0.909091
nì'i'a	5	6	0.833333
nìsyen	5	6	0.833333
pìlok	5	5	1.000000
tsulfätu	6	8	0.750000
tsulfä	6	6	1.000000
tsulfä si	7	8	0.875000
numtsengvi	9	10	0.900000
rofa	4	4	1.000000
pum	3	3	1.000000
Yuesey	5	6	0.833333
teya si	6	6	1.000000
alunta	5	6	0.833333
nìprrte'	7	8	0.875000
sngä'iyu	8	8	1.000000
srekrr	4	6	0.666667
ayu	3	3	1.000000
tsafya	5	6	0.833333
muve	4	4	1.000000
pxeyve	5	6	0.833333
tsìve	5	5	1.000000
mrrve	4	5	0.800000
puve	4	4	1.000000
kive	4	4	1.000000
volve	4	5	0.800000
tsyänel	7	7	1.000000
trrtxon	5	7	0.714286
au	2	2	1.000000
