id	navi	ipa	infixes	partOfSpeech	localized	source
496	ftu	ftu	NULL	adp.	from (direction)	ASG
500	ftue	ˈftu.ɛ	NULL	adj.	easy, simple	ASG
504	ftxavang	ˈft'a.vaŋ	NULL	adj.	passionate	Taronyu's Dictionary 9.661 < Frommer
508	ftxey	ft'·ɛj	ftx<0><1><2>ey	vtr.	choose	ASG
512	fu	fu	NULL	conj.	or	ASG
516	futa	ˈfu.ta	NULL	sbd.	that	Taronyu's dictionary -> Paul Frommer
520	fwa	fwa	NULL	sbd.	that (subordinate clause marker)	Taronyu's Dictionary 10.015 => Frommer
528	fya'o	ˈfja.ʔo	NULL	n.	path, way, manner	ASG
532	fyape	ˈfja.pɛ	NULL	inter.	how	ASG
536	fyawìntxu	fja.w·ɪn.ˈt'·u	fyaw<0><1>ìntx<2>u	vin.	guide (with dative of thing guided)	ASG
540	ha	ha	NULL	adv.	so, in that case	Taronyu's dictionary 10.015 => Frommer
544	hahaw	ˈh·a.h·aw	h<0><1>ah<2>aw	vin.	sleep	Taronyu's dictionary -> Paul Frommer
548	hapxì	ha.ˈp'ɪ	NULL	n.	part	Taronyu's dictionary 10.015 => Frommer
552	hasey	ha.ˈsɛj	NULL	adj.	done, finished	Taronyu's dictionary 10.015 => Frommer
556	hawnu	ˈh·aw.n·u	h<0><1>awn<2>u	vtr.	protect, shelter	Taronyu's dictionary 10.015 => Frommer
560	hì'i	ˈhɪ.ʔi	NULL	adj.	small, little (in size)	Taronyu's dictionary 10.015 => Frommer
564	hiyìk	ˈhi.jɪk̚	NULL	adj.	funny, strange	Taronyu's dictionary 10.015 => Frommer
568	hol	hol	NULL	adj.	few	http://forum.learnnavi.org/language-updates/talun-taweyk-tafral-lun-oeyk-holpxay-hol/ (01 Feb 2010)
572	holpxay	hol.ˈp'aj	NULL	n.	number	Frommer (1. Feb 2010) http://forum.learnnavi.org/language-updates/talun-taweyk-tafral-lun-oeyk-holpxay-hol/
576	hrrap	ˈhṛ.ap̚	NULL	n.	danger	Taronyu's dictionary 10.015 => Frommer
580	hu	hu	NULL	adp.	with (accompaniment)	Taronyu's dictionary 10.015 => Frommer
584	hufwe	hu.ˈfwɛ	NULL	n.	wind	Taronyu's dictionary 10.015 => Frommer
588	hum	h·um	h<0><1><2>um	vin.	leave, depart	Frommer (21.10.2011) http://forum.learnnavi.org/language-updates/txing-and-hum/
592	i'en	ˈiʔ.ɛn	NULL	n.	stringed instrument	Taronyu's dictionary 10.015 => James Cameron
604	ikran	ˈik.ɾan	NULL	n.	banshee	Taronyu's dictionary -> James Cameron
608	ikranay	ik.ɾa.ˈnaj	NULL	n.	forest banshee	Activist Survival Guide; http://naviteri.org/2013/02/vospxi-ayol-posti-apup-short-post-for-a-short-month/ (28 Feb 2013)
612	ioang	i.ˈo.aŋ	NULL	n.	animal, beast	Taronyu's dictionary 10.015 => Frommer
616	irayo	i.ˈɾa.jo	NULL	n., intj.	thank you, thanks	Taronyu's dictionary -> James Cameron
648	ìlä+	ˈɪ.læ] or [ɪ.ˈlæ	NULL	adp.	by, via, following, according to	Taronyu's dictionary 9.661 < Frommer
676	ka	ka	NULL	adp.	across, covering thoroughly	Frommer
680	kä	k·æ	k<0><1><2>ä	vin.	go	Taronyu's dictionary 9.75 < Frommer
684	kali'weya	ka.liʔ.ˈwɛ.ja	NULL	n.	species of poisonous arachnid	Taronyu's dictionary -> Survival Guide
688	kalin	ka.ˈlin	NULL	adj.	sweet to the taste	Taronyu's Dictionary 9.75 < Frommer
692	kaltxì	kal.ˈt'ɪ	NULL	intj.	hello	Avatar Movie
696	kämakto	kæ.ˈm·ak.t·o	käm<0><1>akt<2>o	v.	ride out	Taronyu's Dictionary 9.75 < Frommer
700	kame	ˈk·a.m·ɛ	k<0><1>am<2>e	vtr.	see, see into, understand, know (spiritual sense)	Avatar Movie
704	kan	k·an	k<0><1><2>an	vtrm.	aim, to intend; aim, to direct a weapon or other object at a target	Taronyu's Dictionary 9.5 < Frommer
708	kangay	ka.ˈŋaj	NULL	adj.	valid	Taronyu's Dictionary 9.75 < Frommer
712	kar	k·aɾ	k<0><1><2>ar	vtr.	teach	Taronyu's Dictionary 9.75 < Frommer
716	karyu	ˈkaɾ.ju	NULL	n.	teacher	Taronyu's Dictionary 9.75 < Frommer
720	kato	ˈka.to	NULL	n.	rhythm	Taronyu's Dictionary 9.75 < Frommer
728	kawkrr	ˈkaw.kṛ	NULL	adv.	never	Taronyu's Dictionary 9.75 < Frommer
732	kawng	kawŋ	NULL	adj.	bad, evil	Frommer
736	kawtu	ˈkaw.tu	NULL	pn.	noone	Taronyu's dictionary 9.75 < Frommer
740	ke	kɛ	NULL	part.	not	Taronyu's Dictionary 9.75 < Frommer
748	ke'u	ˈkɛ.ʔu	NULL	pn.	nothing	Taronyu's dictionary 9.75 < Frommer
752	kehe	ˈkɛ.hɛ	NULL	part., intj.	no	Taronyu's dictionary 9.75 < Frommer
756	kelku	ˈkɛl.ku	NULL	n.	home, house	Taronyu's Dictionary 9.75 < Frommer
760	kelku si	ˈkɛl.ku ˈs·i	kelku s<0><1><2>i	vin.	live, dwell	Taronyu's dictionary 9.75 < Frommer
768	kem	kɛm	NULL	n.	thing (action), deed	Taronyu's dictionary 9.75 < Frommer
772	kempe	ˈkɛm.pɛ	NULL	inter.	what (action)	Taronyu's Dictionary 9.75 < Frommer
776	kenong	ˈk·ɛ.n·oŋ] or [ˈkɛ.n·oŋ	k<0><1>en<2>ong	vin.	model, represent, exemplify (ii)	Taronyu's Dictionary 9.75 < Frommer
780	kerusey	ˈkɛ.ɾu.sɛj	NULL	adj.	dead	Taronyu's Dictionary 9.75 < Frommer
784	ketuwong	ˈkɛ.tu.woŋ	NULL	n.	alien	Taronyu's Dictionary 9.75 < Frommer
788	kewong	ˈkɛ.woŋ	NULL	adj.	alien	Taronyu's dictionary 9.75 < Frommer
792	keye'ung	kɛ.ˈjɛ.ʔuŋ	NULL	n.	insanity	Taronyu's dictionary 9.75 < Frommer
800	kifkey	ki.ˈfkɛj	NULL	n.	world (physical, solid)	Taronyu's Dictionary 9.75 < Frommer
804	kilvan	kil.ˈvan	NULL	n.	river	Taronyu's Dictionary 9.75 < Frommer
808	kìm	k·ɪm	k<0><1><2>ìm	vtr.	spin, to spin (something)	Taronyu's dictionary 9.75 http://forum.learnnavi.org/language-updates/ftarpa-and-skienpa-added-to-dict/msg570362/#msg570362 (12 Jan 2013)
812	kin	k·in	k<0><1><2>in	vtr.	need	Taronyu's Dictionary 9.75 < Frommer
820	kinam	ki.ˈnam	NULL	n.	leg	Taronyu's dictionary 9.75 < Frommer
824	kinamtil	ki.ˈnam.til	NULL	n.	knee	Taronyu's Dictionary 9.75 < Frommer
828	kìng	kɪŋ	NULL	n.	thread	Taronyu's Dictionary 9.75 < Frommer
832	kip	kip̚	NULL	adp.	among	Taronyu's dictionary 9.75 < Frommer
836	kìte'e	kɪ.tɛ.ˈʔɛ	NULL	n.	service	Taronyu's dictionary 9.661 < Frommer
848	kllfro'	kḷ.ˈfɾ·oʔ	kllfr<0><1><2>o'	vin.	be responsible	Taronyu's dictionary 9.661 < Frommer
852	kllkulat	kḷ.ˈk·u.l·at̚	kllk<0><1>ul<2>at	vtr.	dig up	Taronyu's dictionary 9.689 < Frommer
856	kllkxem	kḷ.ˈk'·ɛm	kllkx<0><1><2>em	vin.	stand	Taronyu's dictionary 9.689 < Frommer
860	kllpxìltu	kḷ.ˈp'ɪl.tu	NULL	n.	territory	Taronyu's Dictionary 9.689 < Frommer
864	kllte	ˈkḷ.tɛ	NULL	n.	ground	Taronyu's dictionary9.689 < Frommer
868	ko	ko	NULL	part.	solicit agreement	http://wiki.learnnavi.org/index.php?title=Canon#Extracts_from_various_emails (09 Jan 2010)
872	kop	kop̚	NULL	adv.	too, also, additionally	http://naviteri.org/2015/04/some-new-words-for-may-day/ (30 Apr 2015)
876	koren	ko.ˈɾɛn	NULL	n.	rule, guideline	Taronyu's Dictionary 9.75 < Paul Frommer
880	krr	kṛ	NULL	n.	time	Taronyu's Dictionary 9.75 < Frommer
888	krrnekx	kṛ.ˈn·ɛk'	krrn<0><1><2>ekx	vin.	take/consume time (ii)	Taronyu's dictionary 9.75 < Frommer
892	krrpe	ˈkṛ.pɛ	NULL	inter.	when	Taronyu's dictionary 9.75 < Frommer
896	kunsìp	ˈkun.sɪp̚	NULL	n.	gunship	Taronyu's Dictionary 9.75 < Frommer
900	kurakx	k·u.ˈɾ·ak'	k<0><1>ur<2>akx	vtr.	drive out	Taronyu's dictionary 9.53 < Frommer (15.08. 2011) http://forum.learnnavi.org/language-updates/confirmation-on-kurakx-eytukan-line-and-toitslan/
904	kxam	k'am	NULL	n.	middle, midpoint	Frommer
908	kxamtseng	ˈk'am.t͡sɛŋ	NULL	n.	center, place in the middle	Taronyu's Dictionary 9.75 < Frommer
912	kxangangang	ˈk'aŋ.aŋ.aŋ	NULL	intj.	boom (onomatopoeic)	Taronyu's Dictionary 9.75 < Frommer
916	kxanì	ˈk'a.nɪ	NULL	adj.	forbidden	Taronyu's dictionary 9.75 < Frommer
920	kxawm	k'awm	NULL	adv.	perhaps, maybe	Taronyu's Dictionary 9.75 < Frommer
924	kxener	ˈk'ɛ.nɛɾ	NULL	n.	smoke	Frommer http://forum.learnnavi.org/language-updates/should-have-posted-this-a-while-ago/msg135702/#msg135702
928	kxetse	ˈk'ɛ.t͡sɛ	NULL	n.	tail	Taronyu's dictionary 9.75 < Frommer
932	kxeyey	ˈk'ɛ.jɛj	NULL	n.	error, mistake	Taronyu's Dictionary 9.75 < Frommer
936	kxll	k'ḷ	NULL	n.	charge, running attack	Taronyu's dictionary 9.661 < Frommer
952	lahe	ˈla.hɛ	NULL	adj.	other, else	Taronyu's dictionary 9.661 < Frommer
956	lam	l·am	l<0><1><2>am	vin.	seem, appear	Taronyu's Dictionary 10 => Frommer
960	lapo	ˈla.po	NULL	pn.	other one person or thing	http://forum.learnnavi.org/website-info/the-dictionary-part-ii/msg580212/#msg580212 (29 Mar 2013)
964	latem	ˈl·a.t·ɛm	l<0><1>at<2>em	vin.	change	Taronyu's dictionary < Frommer
968	law	law	NULL	adj.	clear, certain	Taronyu's Dictionary 10 => Frommer
976	lefpom	lɛ.ˈfpom	NULL	adj.	happy, peaceful, joyous, pleasant	Taronyu's Dictionary 10 => Frommer
980	lertu	ˈlɛɾ.tu	NULL	n.	colleague	Taronyu's Dictionary 10 => Frommer
984	letrr	lɛ.ˈtṛ	NULL	adj.	daily	Taronyu's Dictionary 9.665 < Frommer
988	letsunslu	lɛ.ˈt͡sun.slu	NULL	adj.	possible	Taronyu's Dictionary 9.665 < Frommer
996	lì'u	ˈlɪ.ʔu	NULL	n.	word	Taronyu's Dictionary 10 => Frommer
1000	lì'fya	ˈlɪʔ.fja	NULL	n.	language	Taronyu's dictionary
1008	lok	l·ok̚	l<0><1><2>ok	vtr.	approach	Taronyu's dictionary 9.53 < Frommer
1020	lonu	l·o.ˈn·u	l<0><1>on<2>u	vtr.	release, let go	Taronyu's dictionary 9.53 < Frommer
1024	lor	loɾ	NULL	adj.	beautiful, pleasant to the senses	Paul Frommer Language Log http://en.wiktionary.org/wiki/Appendix:Na'vi
1028	loreyu	lo.ˈɾɛ.ju	NULL	n.	helicoradian, beautiful spiral	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)
1036	lrrtok	ˈlṛ.tok̚	NULL	n.	smile	Taronyu's Dictionary 10 => Frommer
1040	lrrtok si	ˈlṛ.tok̚ ˈs·i	lrrtok s<0><1><2>i	vin.	smile	Taronyu's Dictionary 9.665 < Frommer
1044	lu	l·u	l<0><1><2>u	vin.	be, am, is, are	ASG
1048	lun	lun	NULL	n.	reason	Frommer
1052	lumpe	ˈlum.pɛ	NULL	inter.	why	Taronyu's Dictionary 10 => Frommer
1056	ma	ma	NULL	part.	O (vocative marker)	Taronyu's Dictionary -> Script
1060	makto	ˈm·ak.t·o	m<0><1>akt<2>o	vtr.	ride	Avatar Movie
1068	mawey	ma.ˈwɛj	NULL	adj.	calm	Avatar Movie
1076	mefo	ˈmɛ.fo	NULL	pn.	they, those two	Frommer http://wiki.learnnavi.org/index.php?title=Canon#Trials_.26_transitivity
1080	menari	mɛ.ˈna.ɾi	NULL	n.	eyes (two)	NULL
1084	meoauniaea	ˌmɛ.o.a.u.ni.a.ˈɛ.a	NULL	n.	harmony, living at one with nature	Frommer (22. April 2010) http://forum.learnnavi.org/language-updates/trr-rrtaya/
1088	meuia	mɛ.ˈu.i.a	NULL	n.	honor	Taronyu's Dictionary 9.656 < Frommer
1092	meyp	mɛjp̚	NULL	adj.	weak	Taronyu's Dictionary 10.015 => Frommer
1096	mi	mi	NULL	adv.	yet, still, as before	Frommer http://wiki.learnnavi.org/index.php?title=Canon#Midsummer_Night.27s_Dream_Vocabulary
1100	mip	mip̚	NULL	adj.	new	Taronyu's Dictionary 9.53 < Frommer
1104	mikyun	ˈmik.jun	NULL	n.	ear	Taronyu's dictionary -> Survival Guide Taronyu's dictionary -> James Cameron
1108	mì+	mɪ	NULL	adp.	in, on	Frommer http://wiki.learnnavi.org/index.php?title=Canon#Midsummer_Night.27s_Dream_Vocabulary
1112	mìn	m·ɪn	m<0><1><2>ìn	vin.	turn, rotate on an axis	Taronyu's Dictionary 9.53 http://forum.learnnavi.org/language-updates/ftarpa-and-skienpa-added-to-dict/msg570362/#msg570362
1116	mìso	mɪ.ˈso	NULL	adv.	away (position)	Taronyu's Dictionary 9.53 < Frommer http://wiki.learnnavi.org/index.php?title=Canon#Trials_.26_transitivity
1120	mllte	m·ḷ.ˈt·ɛ	m<0><1>llt<2>e	vin.	agree	Taronyu's Dictionary 10.015 => Frommer
1132	moe	ˈmo.ɛ	NULL	pn.	we two, us two (exclusive)	Frommer http://wiki.learnnavi.org/index.php?title=Canon#Trials_.26_transitivity
1136	mokri	ˈmok.ɾi	NULL	n.	voice	Taronyu's Dictionary 9.75 < Frommer
1144	muiä	mu.ˈi.æ	NULL	adj.	proper, fair, right, justified	Taronyu's dictionary -> Survival Guide (Frommer Lexicon)
1148	mun'i	m·un.ˈʔ·i	m<0><1>un'<2>i	v.	cut	Taronyu's Dictionary 10.015 => Frommer
1152	mune	ˈmu.nɛ	NULL	num.	two	NULL
1156	munge	ˈm·u.ŋ·ɛ	m<0><1>ung<2>e	vtr.	take, bring	Taronyu's Dictionary 10.015 => Frommer
1160	mungwrr	muŋ.ˈwṛ	NULL	adp.	except	Frommer (31. Jan 2010) http://wiki.learnnavi.org/index.php?title=Canon#Midsummer_Night.27s_Dream_Vocabulary
1164	muntxa	mun.ˈt'a	NULL	adj.	mated, married	Taronyu's Dictionary 10.015 => Frommer
1168	na	na	NULL	adp.	like, as	Taronyu's Dictionary => Frommer
1172	na'rìng	ˈnaʔ.ɾɪŋ	NULL	n.	forest	Taronyu's Dictionary => Frommer
1176	Na'vi	ˈnaʔ.vi	NULL	prop.n.	the People, indigenous Pandoran sentient race	Avatar Movie
1180	nang	naŋ	NULL	part.	surprise, exclamation, encouragement (mirative)	Taronyu's Dictionary -> Survival Guide
1184	nantang	ˈnan.taŋ	NULL	n.	viperwolf Caniferratus costatus, striped armored wolf	Taronyu's Dictionary -> Survival Guide
1188	nari	ˈna.ɾi	NULL	n.	eye	Avatar Movie
1192	nari si	ˈna.ɾi s·i	nari s<0><1><2>i	vin.	watch out, be careful	Taronyu's Dictionary => Frommer
1196	nawm	nawm	NULL	adj.	great, noble	Taronyu's Dictionary => Frommer
1200	ne	nɛ	NULL	adp.	to, towards (direction)	Taronyu's Dictionary => Frommer
1208	ne'ìm	nɛ.ˈʔɪm	NULL	adv.	back (direction)	Taronyu's Dictionary => Frommer
1212	nekx	n·ɛk'	n<0><1><2>ekx	vtr.	burn, consume	Taronyu's Dictionary => Frommer
1220	neto	nɛ.ˈto	NULL	adv.	away (direction)	Taronyu's Dictionary 9.53 < Frommer http://wiki.learnnavi.org/index.php?title=Canon#Trials_.26_transitivity
1224	new	n·ɛw	n<0><1><2>ew	vtrm.	want	Taronyu's Dictionary -> Paul Frommer
1232	niä	n·i.·ˈæ	n<0><1>i<2>ä	vtr.	grab	Taronyu's Dictionary => Frommer
1244	nì'aw	nɪ.ˈʔaw	NULL	adv.	only	Taronyu's Dictionary => Frommer
1248	nìawnomum	nɪ.aw.ˈno.mum	NULL	adv.	as you know, as is known (casual speech [naw.no.mum])	Taronyu's Dictionary 9.65 < Frommer
1252	nì'awtu	nɪ.ˈʔaw.tu	NULL	adv.	alone (as one person)	Taronyu's Dictionary => Frommer
1256	nì'awve	nɪ.ˈʔaw.vɛ	NULL	adv.	first	Taronyu's Dictionary => Frommer
1260	nì'it	nɪ.ˈʔit̚	NULL	adv.	a bit, a small amount (abstract)	Taronyu's Dictionary => Frommer
1264	nì'ul	nɪ.ˈʔul	NULL	adv.	more	Frommer (29. Feb 2012) http://naviteri.org/2012/02/trr-asawnung-lefpom-happy-leap-day/
1268	nìayoeng	nɪ.aj.ˈwɛŋ	NULL	adv.	like us, as we do (casual speech [naj.wEN])	http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)
1272	nìftue	nɪ.ˈftu.ɛ	NULL	adv.	easily	Taronyu's Dictionary => Frommer
1276	nìftxavang	nɪ.ˈft'a.vaŋ	NULL	adv.	passionately, with all heart	Taronyu's Dictionary => Frommer
1280	nìhawng	nɪ.ˈhawŋ	NULL	adv.	too, excessively	Taronyu's Dictionary => Frommer
1284	nìltsan	nɪl.ˈt͡san	NULL	adv.	well	Taronyu's dictionary -> Survival Guide
1288	nìmun	nɪ.ˈmun	NULL	adv.	again	Taronyu's Dictionary -> Survival Guide
1292	nìn	n·ɪn	n<0><1><2>ìn	vtr.	look at	Taronyu's Dictionary -> Survival Guide
1296	nìngay	nɪ.ˈŋaj	NULL	adv.	truly	Taronyu's Dictionary -> Survival Guide
1300	nìtam	nɪ.ˈtam	NULL	adv.	enough	http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)
1304	nìteng	nɪ.ˈtɛŋ	NULL	adv.	too, also, as well, likewise	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/
1308	nìtut	nɪ.ˈtut̚	NULL	adv.	continually	Taronyu's Dictionary -> Survival Guide
1312	nìtxan	nɪ.ˈt'an	NULL	adv.	much (abstract), very	Taronyu's Dictionary -> Survival Guide
1316	nìwin	nɪ.ˈwin	NULL	adv.	fast,  quickly	Taronyu's Dictionary -> Survival Guide
