"Frontside"	"Flipside"	"Category"
fìtxan	nii palju	adv.
fìtseng	siin, selles kohas, see koht	adv., n.
fìtsenge	siin, selles kohas, see koht	adv., n.
fì'u	see (asi)	pn.
fkarut	koorima	v.
fkew	vägev, võimas	adj.
fko	üks, nemad, see, umbisikuline tegija	pn.
flä	õnnestuma, korda minema	vin.
fmawn	uudis, miski millest teavitada	n.
fmetok	katsetama	vtr.
fmi	püüdma, üritama	vtrm.
fngap	metall	n.
fngapsutxwll	Metalli järgiv taim (metalfollowing plant)	n.
fnu	vaikima, vait olema	vin.
fo	nemad	pn.
fpak	tagasi hoidma, peatama tegevust	v.
fpe'	saatma	vtr.
fpeio	väljakutse, ülesanne (tseremoniaalne)	n.
fpi	(millegi) pärast, tõttu  (Ma tapan jumala pärast. Eesti keeles eraldi väljend tegelikult puudub.)	adp.
fpìl	mõtlema, arvama	vtr.
fpom	heaolu, õnnelikkus, rahu	n.
fpxafaw	Lendmeduus (medusa)	n.
fpxäkìm	sisenema	vin.
fra'u	iga asi/ese	pn.
frakrr	alati, koguaeg	adv.
frapo	igaüks, kõik	pn.
frrfen	külastama	vtr.
frrtu	külaline, külastaja	n.
ftang	peatuma	vim.
fte	(nii), et; (selleks), et	conj.
fteke	(nii) et mitte, et ei	conj.
ftia	õppima	vtr.
ftxì	keel (kehaosa)	n.
ftxozä	tähistus, tore sündmus, puhkus	n.
ftu	seestütlev kääne (suund)	adp.
ftue	lihtne, kerge	adj.
ftxavang	kirglik, püüdlik	adj.
ftxey	valima, valikut tegema	vtr.
fu	või	conj.
futa	seda, mis (kõrvallause märkija)	pn., sbd.
fwa	see, mis (kõrvallause märkija)	pn., sbd.
fya'o	tee, rada, komme, viis	n.
fyape	kuidas	inter.
fyawìntxu	juhatama, teed näitama	vin.
ha	sel juhul, siis	adv.
hahaw	magama	vin.
hapxì	osa, tükk	n.
hasey	tehtud, lõpetatud, valmis	adj.
hawnu	kaitsma, varjama	vtr.
hì'i	väike	adj.
hiyìk	naljakas, imelik, veider	adj.
hol	natuke	adj.
holpxay	number	n.
hrrap	oht	n.
hu	koos (kellegagi)	adp.
hufwe	tuul	n.
hum	lahkuma, ära minema	vin.
i'en	keelpill	n.
ikran	Mardus, Ikran (banshee)	n.
ikranay	Metsmardus (forest banshee)	n.
ioang	loom, elukas	n.
irayo	aitäh, tänud	n., intj.
ìlä	(millegi, kellegi) kaudu, läbi	adp.
ka	üleni	adp.
kä	minema	vin.
kali'weya	mürgise ämbliku liik	n.
kalin	hea maitsega	adj.
kaltxì	tere	intj.
kämakto	välja lendama/ratsutama/sõitma	v.
kame	nägema, sisse nägema, aru saama, teadma (vaimne)	vtr.
kan	sihtima, suunama; suunitlema, kavatsema	vtrm., vtr.
kangay	kehtiv, tõene	adj.
kar	õpetama	vtr.
karyu	õpetaja	n.
kato	rütm	n.
kawkrr	mitte kunagi	adv.
kawng	paha, kuri	adj.
kawtu	mitte keegi	pn.
ke	mitte	adv.
ke'u	mitte midagi	pn.
kehe	ei	part., intj.
kelku	kodu, maja	n.
kelku si	elama, paiknema	vin.
kem	tegevus, tegu	n.
kempe	mis (tegevus)	inter.
kenong	kujutama, esindama, näiteks olema (e)	vin.
kerusey	surnud	adj.
ketuwong	võõras isik	n.
kewong	võõras	adj.
keye'ung	hullumeelsus	n.
kifkey	maailm (füüsiline, tahke)	n.
kilvan	jõgi	n.
kìm	keerlema, keerutama (midagi); Pol rumit kolìm  ta keerutas palli	vtr.
kin	vajama	vtr.
kinam	jalg	n.
kinamtil	põlv	n.
kìng	niit, lõng	n.
kip	(kellegi) hulgas	adp.
kìte'e	teenus, teenistus	n.
kllfro'	vastutav olema	svin.
kllkulat	kaevama	vtr.
kllkxem	seisma	vin.
kllpxìltu	territoorium, maaala	n.
kllte	maa, maapind	n.
ko	pealesurutud nõustumine (eks)	part.
kop	ka, samuti, lisaks	adv.
koren	reegel, juhtnöör	n.
krr	aeg	n.
krrnekx	aega võtma/nõudma (e)	vin.
krrpe	millal (mis ajal)	inter.
kunsìp	lahingulaev	n.
kurakx	välja sõitma	vtr.
kxam	keskpunkt, keskmine	n.
kxamtseng	kese, koht keskel	n.
kxangangang	pauhh, põmm (kõlamaaling)	intj.
kxanì	keelatud	adj.
kxawm	ehk, võibolla	adv.
kxener	suits	n.
kxetse	saba	n.
kxeyey	viga, eksitus	n.
kxll	kallaletung, rünnak	n.
lahe	teine, teistsugune	adj.
lam	tunduma, paistma	vin.
lapo	teine (isik või asi)	pn.
latem	muutma	vin.
law	kindel, selge	adj.
lefpom	õnnelik, tore, rahulik, hea (elutu kohta)	adj.
lertu	töökaaslane	n.
letrr	(iga)päevane	adj.
letsunslu	võimalik	adj.
lì'u	sõna	n.
lì'fya	keel (suhtlusvahend)	n.
lok	lähenema	vtr.
lonu	vabastama, lahti laskma	vtr.
lor	ilus, meeli rahustav (elutu kohta)	adj.
loreyu	Iluspiraal (helicoradian)	n.
lrrtok	naeratus	n.
lrrtok si	naeratama	vin.
lu	olema (öeldistäide)	vin., svin.
lun	põhjus	n.
lumpe	miks	inter.
ma	oo (üte, kellegi poole pöördumisel)	part.
makto	ratsutama, lendama (loomaga), sõitma	vtr.
mawey	rahulik	adj.
mefo	nemad, need kaks	pn.
menari	silmad (kaks)	n.
meoauniaea	harmoonia, loodusega ühes elamine	n.
meuia	au, austus	n.
meyp	nõrk	adj.
mi	ikka veel, praegugi, nagu enne	adv.
mip	uus	adj.
mikyun	kõrv	n.
mì	sees, peal	adp.
mìn	pöörlema (ümber telje)  Mìn ne ftärpa Keera vasakule	vin.
mìso	eemal (asukoht)	adv.
mllte	nõustuma, leppima	vin.
moe	meie kaks (välistav)	pn.
mokri	hääl	n.
muiä	õige, õiglane, õigustatud	adj.
mun'i	lõikama, raiuma	v.
mune	kaks	num.
munge	võtma, tooma	vtr.
mungwrr	välja arvatud	adp.
muntxa	(kellegagi)paari pandud, ühinenud	adj.
na	nagu	adp.
na'rìng	mets	n.
Na'vi	Rahvas, Pandora põlisasukad	prop.n.
nang	üllatus, vaimustus, ergutushüüd	part.
nantang	soomushunt (viperwolf)	n.
nari	silm	n.
nari si	ette vaatama, ettevaatlik olema	vin.
nawm	üllas, suur	adj.
ne	eessõna (edasi (suund))	adp.
ne'ìm	tagasi (suund)	adv.
nekx	põletama, tarbima	vtr.
neto	eemale (suund)	adv.
new	tahtma	vtrm.
niä	haarama, krahmama	vtr.
nì'aw	ainult	adv.
nìawnomum	teadagi, nagu sa tead (tavakõnes)	adv.
nì'awtu	üksi	adv.
nì'awve	esimesena	adv.
nì'it	natuke	adv.
nì'ul	rohkem, enam, veel	adv.
nìayoeng	nagu meie, nagu me teeme (tavakõnes [naj.wEN])	adv.
nìftue	lihtsalt, kergelt	adv.
nìftxavang	kirglikult, püüdlikult, kogu südamest	adv.
nìhawng	liiga, liialt	adv.
nìltsan	hästi	adv.
nìmun	uuesti, veel	adv.
nìn	vaatama (kuhugile)	vtr.
nìngay	tõesti, tõeliselt	adv.
nìtam	piisavalt	adv.
nìteng	ka, nii, samamoodi	adv.
nìtut	pidevalt, vahet pidamata	adv.
nìtxan	palju	adv.
nìwin	kiiresti	adv.
nìwotx	kõik (absoluutselt kõik)	adv.
nulkrr	pikemalt (ainult aeg)	adv.
nulnew	eelistama (e)	vtrm.
nume	õppima, teada saama	vin.
nga	sina	pn.
ngawng	uss	n.
ngay	tõene	adj.
ngenga	sina (austav vorm)	pn.
ngim	pikk (füüsikaline suurus)	adj.
ngop	looma, tekitama	vtr.
ngrr	juur	n.
nguway	soomushundi hõige, ulgumine	n.
oe	mina	pn.
oeng	meie kaks (välistav), sina ja mina	pn.
oeyk	põhjus, alus	n.
ohe	mina (austav vorm)	pn.
olo'	hõim	n.
olo'eyktan	hõimu valitseja	n.
omum	teadma	vtr.
ontu	nina	n.
pähem	saabuma	vin.
pak	laitmiseks	part.
pa'li	Suurhobu (direhorse)	n.
palulukan	surmapanter (thanator)	n.
pam	heli	n.
pamtseo	muusika	n.
pamtseowll	Kassikõrv (cat ear)	n.
pängkxo	suhtlema, vestlema, suhtlust pidama	vin.
pänutìng	lubama (midagi kellelegi) (e)	vtr.
pätsì	märk, rinnamärk	n.
pawm	küsima	v.
pay	vesi, vedelik	n.
paywll	Veetaim (dapophet)	n.
pe	küsimuse märkija	affix
pe'un	otsustama	vtr.
pefya	kuidas	inter.
pehem	mis (tegevus)	inter.
pehrr	millal	inter.
pelun	miks	inter.
peng	ütlema	vtr.
penghrrap	Narmaslamp (binary sunshine)	n.
peseng	kus	inter.
pesu	kes	inter.
peu	mis (asi)	inter.
pey	ootama	vin.
pizayu	esivanem	n.
plltxe	rääkima	v.
po	tema	pn.
poan	tema (meessoost) (mitmus puudub: kasutada (ay)fo)	pn.
poe	tema (naissoost) (mitmus puudub: kasutada (ay)fo)	pn.
pongu	grupp, hulk (inimeste kohta)	n.
prrnen	beebi, väike laps	n.
prrnesyul	pung	n.
prrte'	nauditav, meeldiv (tegevuse kohta)	adj.
pxan	vääriline	adj.
pxasìk	Käigu kuradile!	intj.
pxasul	värske (toit)	adj.
pxay	palju	adj.
pxey	kolm	num.
pxi	terav	adj.
pxìm	tihti, tihedalt	adv.
pxiut	Teravpuu (razor palm)	n.
pxorna'	Pauktorn (episoth)	n.
pxun	käsi, käsivars	n.
pxuntil	küünarnukk	n.
rä'ä	ära (eitav käsklus)	part.
ral	tähendus	n.
ralpeng	tõlgendama, tõlgitsema (e)	vtr.
rawke	hädakisa, abihüüd	intj.
rel	pilt	n.
reltseo	kujutav kunst	n.
reltseotu	kunstnik	n.
renu	muster	n.
rey	elama	vin.
rikx	liikuma, kohta vahetma	vin.
rim	kollane	adj.
rina'	seeme	n.
riti	Nõelkull (stingbat)	n.
rol	laulma (r«eyk»ol muusikat tegema, laulma panema (lüüriline))	v.
ronsem	mõistus	n.
rum	pall	n.
rumut	Pallpuu (ball tree)	n.
run	leidma, avastama	vtr.
rutxe	palun	intj.
sa'nok	ema	n.
sa'nu	emme (affectionate form of)	n.
san	otsekõne algus	adv.
sänume	õpetus, juhis	n.
säspxin	haigus	n.
sempu	issi (affectionate form of)	n.
sempul	isa	n.
set	nüüd, kohe	adv.
sevin	ilus (naiste kohta)	adj.
seyri	huul	n.
seze	sinine lilll (blue flower)	n.
si	tegema (midagi) (saab olla vaid koos teise sõnaga)	
sì	ja (connects two things, can be attached as --sÃ¬: for clauses use)	conj.
sìk	otsekõne lõpp	adv.
sìlpey	lootma (koos sõnaga tsnì, märkimaks mida loodetakse, kui ta pole just eraldi osalauses) (e)	vin.
sìlronsem	arukas, tark (asi)	adj.
sìltsan	hea	adj.
ska'a	hävitama	vtr.
skxawng	loll, idioot	n.
slä	aga	conj.
slu	saama (kellekski, millekski) (kahemõttelistel juhtudel kasutatakse saavaks käändeks abisõna ne	vin.
sngä'i	algama	vim.
sngä'ikrr	algus	n.
sngel	prügi, saast	n.
sngeltseng	prügila	n.
snumìna	tuhm, tuim (inimese kohta)	adj.
som	kuum, palav	adj.
somtìlor	Triipmuna (popsicle)	n.
spaw	uskuma, tõeks pidama	vtr.
spxam	seen	n.
spe'e	vangistama, tabama	vtr.
spe'etu	vangistatu, kinnipeetu	n.
spxin	haige	adj.
srak	märgib kas...? küsimusi	part.
srake	märgib kas...? küsimusi	part.
srane	jah	part., intj.
srew	tantsima	vin.
srung	abi, toetus	n.
stawm	kuulma	vtr.
steftxaw	uurima, vaatama	vtr.
stum	peaaegu	adv.
sutx	järgnema	vtr.
swaw	hetk, moment	n.
swey	parim	adj.
swirä	elukas, olevus	n.
swizaw	nool	n.
swok	püha	adj.
swotu	püha koht	n.
syaw	kutsuma	vin.
syulang	lill	n.
ta	seestütlev kääne, alates (aeg)	adp.
ta'em	ülevalt, ülalt	adv.
tafral	seetõttu, selle pärast	adv.
täftxu	kuduma	vtr.
täftxuyu	kangur	n.
takuk	lööma, äsama, peale tungima	vtr.
talioang	Sarvpiison	n.
talun	sellepärast (põhjus)	conj.
taluna	sellepärast (põhjus)	conj.
tam	piisama, olgu, okei	vin., intj.
tam tam	rahu, pole hullu	intj.
tangek	puutüvi	n.
tanhì	täht, helendav tähn  ka Na'videl olevad helendavad tedretäed	n.
taron	jahtima	vtr.
taronyu	kütt	n.
tautral	Õõtspalm (sky tree)	n.
taw	taevas	n.
taweyk	sellepärast (põhjendus)	conj.
taweyka	sellepärast (põhjendus)	conj.
tawsìp	taevalaev	n.
tawng	sukelduma	vin.
tawtsngal	Taevaketas (panopyra)	n.
Tawtute	Taevaisik, inimene	prop.n.
te	kasutatakse täisnimedes	part.
tel	kätte saama, vastu võtma	vtr.
telem	nöör, pael	n.
teng	samasugune, võrdne	adj.
tengfya	nii, nagu; sama moodi (situatsiooni saransus)	conj.
tengkrr	samal ajal	conj.
teri	(millegi, kellegi) suhtes	adp.
terkup	surema	vin.
teswotìng	rahuldama (soovi), (lahkelt) andma (e)	vtr.
teya	täis	adj.
teylu	Teilu (beetle larva)	n.
tewti	Ohsaa! väljendab üllatust või rahulolu	intj.
til	hing, ühenduskoht	n.
tirea	vaim, hing	n.
tireafya'o	vaimu/hinge tee	n.
tireaioang	hingeloom	n.
tireapängkxo	lähedaselt suhtlema	v.
tì'eyng	vastus	n.
tìfmetok	kontroll, katse	n.
tìftang	peatumine, kõrisulghäälik	n.
tìfyawìntxu	juhendus, juhatamine	n.
tìhawnu	kaitse	n.
tìkangkem	töö	n.
tìkawng	kurjus, õelus	n.
tìkenong	näide	n.
tìkin	vajadus	n.
tìlor	ilu, kaunidus	n.
tìng	andma	vtr.
tìng mikyun	kuulama	vin.
tìng nari	vaata	vin.
tìngay	tõde	n.
tìpawm	küsimus	n.
tìran	käima, jalutama	vin.
tìyawn	armastus	n.
tìrey	elu	n.
tìrol	laul (vokaalne)	n.
tìspxin	haigus, haigeolek	n.
tìtxur	tugevus, jõud	n.
to	võrdlemise märkija kui 	part.
tok	olema, kohta hõivama	vtr.
toktor	arst	n.
tokx	keha	n.
tompa	vihm	n.
toruk	Suur lendlõvi, Viimane vari (great leonopteryx)	n.
toruk makto	Torukiga lendaja	n.
torukspxam	Hiidseen (octoshroom)	n.
trr	päev	n.
trram	eile	adv.
tukru	oda	n.
tul	jooksma	vin.
tung	lubama, võimaldama	vtr.
tupe	kes	inter.
tut	vestluse jätkamise märkija	part.
tute	isik	n.
tuté	naine (isik)	n.
tutan	mees	n.
tsa'u	see (asi)	dem.
tsaheylu	side	n.
tsakem	see (tegevus)	dem.
tsakrr	siis, sel ajal	adv.
tsam	sõda	n.
tsampongu	sõjakamp	n.
tsamsiyu	sõdalane	n.
tsap'alute	vabandus	n.
tsatseng	seal, selles kohas, see koht	dem., n.
tsatu	see (isik)	dem.
tsawke	päike	n.
tsawl	suur, pikk (inimeste kohta)	adj.
tsawlapxangrr	Tüvipuu (unidelta tree) 	n.
tse'a	nägema (otseselt)	vtr.
tseng	koht	n.
tsenge	koht	n.
tsengpe	kus	inter.
tseo	kunst	n.
tskalep	amb	n.
tsko	vibu	n.
tsko swizaw	vibu ja nool	n.
tskxe	kivi	n.
tskxekeng	treening, harjutus	n.
tslam	aru saama, mõistma	vtr.
tsleng	vale	adj.
tslolam	sain aru! arusaadav	intj.
tsmuk	veresugulane, vend või õde	n.
tsmuktu	veresugulane, vend või õde	n.
tsmukan	vend	n.
tsmuke	õde	n.
tsnì	et,see	sbd.
tsngal	tass, kruus	n.
tspang	tapma	vtr.
tsranten	tähtis olema, lugema	vin.
tstew	vapper (inimeste kohta)	adj.
tstxo	nimi	n.
tsun	võima, suutma	vim.
tswayon	lendama	vin.
tsyal	tiib	n.
tsyo	jahu	n.
tsyorina'wll	Seemnepuu (cycad)	n.
txan	palju, suur hulk (koguse kohta)	adj.
txantsan	oivaline, suurepärane	adj.
txantslusam	tark	adj.
txe'lan	süda	n.
txele	teema	n.
txen	ärkvel, virge	adj.
txep	tuli	n.
txewk	kaigas	n.
txey	peatama, kinni pidama	v.
txìm	tagumik, tagumine ots	n.
txìng	jätma, hülgama	vtr.
txll'u	Torukõrvits (hookagourd)	n.
txo	kui, juhul kui, kas	conj.
txoa	andestus	n.
txokefyaw	teisiti, teistviisi	conj.
txon	öö	n.
txopu	hirm	n.
txula	ehitama, rajama	vtr.
txum	mürk	n.
txumpaywll	Mürknõel (scorpion thistle)	n.
txumtsä'wll	Mürgisarv (Baja tickler)	n.
txur	tugev (füüsiliselt)	adj.
ulte	ja (erinevate lauseosade vahel)	conj.
ultxa	koosolek, kokkutulek	n.
unil	uni	n.
uniltìrantokx	Avatar, uneskäiv keha	n.
uniltìranyu	uneskäija	n.
utral	puu	n.
uvan	mäng	n.
uvan si	mängima (mängu)	vin.
vay	kuni	adp.
virä	levima, vohama	v.
vrrtep	deemon	n.
vul	(puu) haru	n.
way	laul (vana, tseremoniaalne)	n.
waytelem	akord	n.
win	kiire	adj.
wìntxu	näitama	vtr.
'ewll	taim	n.
wrrpa	õu, väljas, õues	n., adv.
wutso	õhtusöök, serveeritud söök	n.
ya	õhk	n.
yawne	armastatud	adj.
ye'rìn	kohe, varsti	adv.
yerik	Sinihirv (hexapede)	n.
yey	sirge	adj.
yìm	siduma	vtr.
yol	lühike (aeg)	adj.
yom	sööma	vtr.
yomhì'ang	Suur kanntaim (dakteron)	n.
yomioang	Surmakarikas (chalice plant)	n.
yomtìng	toitma (sihittis datiivsena) (e)	vin.
yur	pesema	vtr.
za'ärìp	tõmbama	vtr.
za'u	tulema	vin.
zamunge	tooma	vtr.
zawng	karjuma	vin.
zekwä	sõrm	n.
zene	pidama (tegema) Näide Oe zene kivä Ma pean minema	vim.
zìsìt	aasta	n.
zong	päästma, kaitsma	vtr.
zongtseng	varjupaik, pagu	n.
zoplo	solvang	n.
zusawkrr	tulevik	n.
Jakesully	lollakas, Toruk maktoyu	n.
'ärìp	liigutama (midagi)	vtr.
'awstengyem	liitma (kaks asja kokku) (e)	vtr.
'efu	tunnetama, tundma, tajuma	vtr.
'em	kokkama, küpsetama, süüa valmistama	vtr.
'eyng	vastama	v.
'i'a	lõpetama, lõppema	vin.
'ia	ennast kaotama (vaimselt)	vin.
fkxake	sügelema	v.
fmal	ülal hoidma, ülal pidama	vtr.
frìp	hammustama	vtr.
ftem	mööduma	vtr.
fwew	otsima, tuhnima	vtr.
hangham	naerma	vin.
vaykrr	kuni, seni kuni	conj.
sngap	nõelama, torkama	vtr.
hawl	(ette) valmistama	vtr.
kä'ärìp	lükkama	vtr.
kavuk si	reetma	vin.
kllkä	laskuma	vin.
latsi	sammu pidama (kellegagi)	v.
lek	kuuletuma, kuulda võtma	vtr.
len	juhtuma, aset leidma	vin.
lew si	varjama, katma	vin.
muntxa si	üheks saama, paarima (kellegagi), abielluma	vin.
näk	jooma	vtr.
nong	järgnema, järel käima	vtr.
oeyktìng	selgitama, seletama (e)	vtr.
pate	kohale saabuma	v.
piak si	avama	vin.
pom	suudlema, musitama	vtr.
pxor	plahvatama, lõhkema	vin.
salew	edasi minema	v.
sar	kasutama	vtr.
sim	lähedal olema	svin.
sleyku	looma, tekitama	vtr.
sop	reisima, rändama	vin.
spä	hüppama	v.
speng	taastama	vtr.
spule	edasi ajama, lükkama	vtr.
srese'a	ennustama	vtr.
steyki	(kedagi) vihastama	vtr.
sti	vihastuma (sihitu), vihane olema	vin.
sto	keelduma (midagi tegema)	vtrm.
sung	lisama	vtr.
syep	lõksu püüdma, lõksu seadma	vtr.
tatep	tähelepanu kaotama, mõtet kaotama	vtr.
tätxaw	naasma, tagasi tulema	vin.
tem	laskma	vin.
tì'awm si	telkima, matkama	vin.
tì'awm	telkimine	n.
tìkangkem si	töötama	vin.
tìng tseng	tagasi astuma, eest ära tulema	vin.
tìsraw seyki	(kellelgi, millelegi) haiget tegema	vtr.
tìsraw	valu	n.
tìsraw si	valutama, valu tegema	vin.
toltem	(vibu) laskma	vtr.
tsä'	pritsima	v.
tsaheyl si	sidet looma (kellegagi), ühenduma	vin.
tsap'alute si	vabandama	vin.
tsawl slu	kasvama	vin.
tsngawvìk	nutma	vin.
tsre'i	viskama	vtr.
tstu si	sulgema	vin.
tsunslu	võimalik olema	vin.
tsurokx	puhkama	vin.
tungzup	pillama, kukutama	vtr.
wem	võitlema, kaklema	vin.
win säpi	kiirustama	vin.
win si	midagi kiirelt tegema, kiirustama	vin.
yän	kinni siduma	vtr.
yem	panema, asetama	vtr.
zenke	mitte tohtima (e)	vim.
zup	kukkuma	vin.
nekll	alla (suund)	adv.
srung si	aitama, toetama	vin.
txopu si	kartma	vin.
fkip	üleval (millegi) hulgas	adp.
io	ülal, üle	adp.
kxamlä	Läbi (millegi)	adp.
lok	lähedal (millelegi)	adp.
maw	pärast (aeg)	adp.
mìkam	(millegi) vahel	adp.
nemfa	kuhugi sisse	adp.
pxaw	ümber, umbes	adp.
pxel	nii, nagu	adp.
sìn	peal, peale	adp.
takip	hulgast	adp.
uo	taga	adp.
luke	ilma	adp.
tafkip	ülalt (millegi) hulgast	adp.
ro	kohakääne	adp.
sre	enne (aeg)	adp.
wä	vastu (kellegi vastu võitlema)	adp.
fäpa	peal	n.
alìm	kaugel, kaugustes	adv.
aylaru	teistele (lühenenud aylaherust)	pn.
kxu	viga, paha, häda	n.
eltu lefngap	arvuti	n.
kì'ong	aeglane	adj.
säfpìl	idee	n.
kefyak	kas pole nii? eksju?	part.
prrwll	sammal	n.
pängkxoyu lekoren	advokaat	n.
pamrel	kirjutamine, kirjutis	n.
pamrel si	kirjutama	vin.
furia	see, mis	pn., sbd.
fratseng	igal pool	adv.
fratrr	päeviti, iga päev	adv.
frato	ülivõrre, kui kõik	part.
trray	homme	adv.
kea	ei (nimisõnade ees)	adj.
ngian	siiski	adv.
skepek	ametlik	adj.
hufwa	kuigi	conj.
tup	pigem, ennem	conj.
'uo	miski, mingi asi	pn.
tuteo	keegi	pn.
tsengo	kusagil, kuskil kohas	pn.
holpxaype	kui mitu	inter.
hìm	vähe (kogus)	adj.
hìmtxampe	kui palju	inter.
hìmtxan	hulk, kogus	n.
pìmtxan	kui palju, (kui suur kogus/hulk)	inter.
lì'upe	mis (sõna, väljend)	inter.
pelì'u	mis (sõna, väljend)	inter.
ultxarun	kohtama, kokku saama (tahtmatult) (e)	vtr.
ultxa si	kokku saama sihilikult ( hu)	vin.
rangal	soovima	vin.
nìrangal	soov (fakti vastand, koos perfektiivse või imperfektiivse tingiva kõneviisiga)	adv.
txepvi	säde	n.
nitram	rõõmus (inimeste kohta)	adj.
fewi	taga ajama	vtr.
stä'nì	kinni püüdma	vtr.
sran	jah, jaa (kõnekeelne)	part., intj.
weyn	joonistama	vtr.
fìtrr	täna	adv.
rusey	elus, eluline	adj., n.
vitra	hing	n.
nìzawnong	turvaliselt, kindlalt	adv.
ftawnemkrr	minevik	n.
txal	selg	n.
tsìng	neli	num.
mrr	viis	num.
pukap	kuus	num.
kinä	seitse	num.
vol	kaheksa	num.
zam	kuuskümmend neli	num.
tìoeyktìng	seletus	n.
lesar	kasulik (millekski)	adj.
tse	noh (vestluse alustamiseks)	part.
skxom	võimalus, juhus	n.
fkxen	köögivili (toit)	n.
syä'ä	kibe, mõru	adj.
yemfpay si	vedelikku kastma	vin.
yemfpay	sissekastmine (vedelikku)	n.
keng	isegi	adv.
'awlo	ükskord, kunagi	adv.
melo	kaks korda	adv.
heyn	istuma	vin.
nìpxim	sirgelt, korralikult	adv.
pxim	püstine	adj.
tuvon	nõjatuma, toetuma	v.
nìfya'o	(mingil) viisi lNäide: Po poltxe nìfya’o alaw.  Ta rääkis selgelt (ta rääkis selgel viisil)	adv.
letrrtrr	tavaline, harilik	adj.
nì'eoio	pidulikult	adv.
'eoio	pidulik	adj.
rìk	leht	n.
lerìk	lehine, leherikas	adj.
pa'o	pool, külg	n.
kllpa	põhjas, all	n.
mìfa	(millegi) sees	n., adv.
nefä	üles (suund)	adv.
zapxì	eesmine (osa)	n.
käpxì	tagumine osa	n.
käsatseng	seal väljas	adv.
ftxey	kas....või mitte	conj.
ngaytxoa	anna andeks!, vabandust! (süü tunnistamine ja kahetsemine)	intj.
flew	kõri, kurk	n.
kxa	suu	n.
nikre	juuksed	n.
pewn	kael	n.
re'o	pea	n.
sre'	hammas	n.
tsuksìm	lõug	n.
key	nägu	n.
puk	raamat	n.
ngäng	kõht	n.
ta'leng	nahk	n.
tsyokx	käsi	n.
reypay	veri	n.
tsopì	kops	n.
venu	jalg	n.
venzek	varvas	n.
ramunong	kaev	n.
payfya	oja	n.
pxawpa	piir, piirjoon	n.
txampay	meri, ookean	n.
'ora	järv	n.
ekxan	tõke, takistus	n.
tsim	allikas	n.
tsray	küla	n.
txayo	väli, maaala	n.
ukxo	kuiv	adj.
wew	külm	adj.
fìtxon	täna õhtul, tänane õhtu	adv., n.
txonam	eile õhtul, eelmisel õhtul	adv.
txonay	homme õhtul	adv.
sekrr	olevik, praegune hetk	n.
vur	jutt, lugu	n.
tìpängkxo	vestlus, arutlus	n.
tìsrese'a	ennustus	n.
nawmtu	hea/suur inimene	n.
txantstew	kangelane	n.
syuve	toit, söök (mitmus puudub)	n.
tsngan	liha	n.
tstal	nuga	n.
tete	nüri (näiteks noatera)	adj.
lew	kate	n.
'opin	värv	n.
leNa'vi	na'vine, seotud na'videga	adj.
nìNa'vi	nagu na'vid, na'viselt	adv.
hapxìtu	liige	n.
'Rrta	Maa	prop.n.
fwäkìwll	Palveritsika orhidee (mantis orchid)	n.
hì'ang	putukas	n.
payoang	kala	n.
yayo	lind	n.
zize'	Tuliherilane (hellfire wasp)	n.
kemlì'u	tegusõna	n.
tstxolì'u	nimisõna	n.
ftär	vasak (mitte parem)	adj.
skien	parem (mitte vasak)	adj.
'änsyem	täielik	adj.
