"Frontside"	"Flipside"	"Category"
fpxäkìm	enter	vin.
fra'u	everything	pn.
frakrr	always, all the time	adv.
frapo	everyone	pn.
frrfen	visit	vtr.
frrtu	guest, visitor	n.
ftang	stop	vim.
fte	so that, in order to	conj.
fteke	so that not, lest	conj.
ftia	study	vtr.
ftxì	tongue	n.
ftxozä	celebration, happy occasion	n.
ftu	from (direction)	adp.
ftue	easy, simple	adj.
ftxavang	passionate	adj.
ftxey	choose	vtr.
fu	or	conj.
futa	that	pn., sbd.
fwa	that (subordinate clause marker)	pn., sbd.
fya'o	path, way, manner	n.
fyape	how	inter.
fyawìntxu	guide (with dative of thing guided)	vin.
ha	so, in that case	adv.
hahaw	sleep	vin.
hapxì	part	n.
hasey	done, finished	adj.
hawnu	protect, shelter	vtr.
hì'i	small, little (in size)	adj.
hiyìk	funny, strange	adj.
hol	few	adj.
holpxay	number	n.
hrrap	danger	n.
hu	with (accompaniment)	adp.
hufwe	wind	n.
hum	leave, depart	vin.
i'en	stringed instrument	n.
ikran	banshee	n.
ikranay	forest banshee	n.
ioang	animal, beast	n.
irayo	thank you, thanks	n., intj.
ìlä	by, via, following, according to	adp.
ka	across, covering thoroughly	adp.
kä	go	vin.
kali'weya	species of poisonous arachnid	n.
kalin	sweet to the taste	adj.
kaltxì	hello	intj.
kämakto	ride out	v.
kame	see, see into, understand, know (spiritual sense)	vtr.
kan	aim, to intend; aim, to direct a weapon or other object at a target	vtrm., vtr.
kangay	valid	adj.
kar	teach	vtr.
karyu	teacher	n.
kato	rhythm	n.
kawkrr	never	adv.
kawng	bad, evil	adj.
kawtu	noone	pn.
ke	not	adv.
ke'u	nothing	pn.
kehe	no	part., intj.
kelku	home, house	n.
kelku si	live, dwell	vin.
kem	thing (action), deed	n.
kempe	what (action)	inter.
kenong	model, represent, exemplify (ii)	vin.
kerusey	dead	adj.
ketuwong	alien	n.
kewong	alien	adj.
keye'ung	insanity	n.
kifkey	world (physical, solid)	n.
kilvan	river	n.
kìm	spin, to spin (something)	vtr.
kin	need	vtr.
kinam	leg	n.
kinamtil	knee	n.
kìng	thread	n.
kip	among	adp.
kìte'e	service	n.
kllfro'	be responsible	svin.
kllkulat	dig up	vtr.
kllkxem	stand	vin.
kllpxìltu	territory	n.
kllte	ground	n.
ko	solicit agreement	part.
kop	too, also, additionally	adv.
koren	rule, guideline	n.
krr	time	n.
krrnekx	take/consume time (ii)	vin.
krrpe	when	inter.
kunsìp	gunship	n.
kurakx	drive out	vtr.
kxam	middle, midpoint	n.
kxamtseng	center, place in the middle	n.
kxangangang	boom (onomatopoeic)	intj.
kxanì	forbidden	adj.
kxawm	perhaps, maybe	adv.
kxener	smoke	n.
kxetse	tail	n.
kxeyey	error, mistake	n.
kxll	charge, running attack	n.
lahe	other, else	adj.
lam	seem, appear	vin.
lapo	other one person or thing	pn.
latem	change	vin.
law	clear, certain	adj.
lefpom	happy, peaceful, joyous, pleasant	adj.
lertu	colleague	n.
letrr	daily	adj.
letsunslu	possible	adj.
lì'u	word	n.
lì'fya	language	n.
lok	approach	vtr.
lonu	release, let go	vtr.
lor	beautiful, pleasant to the senses	adj.
loreyu	helicoradian, beautiful spiral	n.
lrrtok	smile	n.
lrrtok si	smile	vin.
lu	be, am, is, are	vin., svin.
lun	reason	n.
lumpe	why	inter.
ma	O (vocative marker)	part.
makto	ride	vtr.
mawey	calm	adj.
mefo	they, those two	pn.
menari	eyes (two)	n.
meoauniaea	harmony, living at one with nature	n.
meuia	honor	n.
meyp	weak	adj.
mi	yet, still, as before	adv.
mip	new	adj.
mikyun	ear	n.
mì	in, on	adp.
mìn	turn, rotate on an axis	vin.
mìso	away (position)	adv.
mllte	agree	vin.
moe	we two, us two (exclusive)	pn.
mokri	voice	n.
muiä	proper, fair, right, justified	adj.
mun'i	cut	v.
mune	two	num.
munge	take, bring	vtr.
mungwrr	except	adp.
muntxa	mated, married	adj.
na	like, as	adp.
na'rìng	forest	n.
Na'vi	the People, indigenous Pandoran sentient race	prop.n.
nang	surprise, exclamation, encouragement (mirative)	part.
nantang	viperwolf Caniferratus costatus, striped armored wolf	n.
nari	eye	n.
nari si	watch out, be careful	vin.
nawm	great, noble	adj.
ne	to, towards (direction)	adp.
ne'ìm	back (direction)	adv.
nekx	burn, consume	vtr.
neto	away (direction)	adv.
new	want	vtrm.
niä	grab	vtr.
nì'aw	only	adv.
nìawnomum	as you know, as is known (casual speech [naw.no.mum])	adv.
nì'awtu	alone (as one person)	adv.
nì'awve	first	adv.
nì'it	a bit, a small amount (abstract)	adv.
nì'ul	more	adv.
nìayoeng	like us, as we do (casual speech [naj.wEN])	adv.
nìftue	easily	adv.
nìftxavang	passionately, with all heart	adv.
nìhawng	too, excessively	adv.
nìltsan	well	adv.
nìmun	again	adv.
nìn	look at	vtr.
nìngay	truly	adv.
nìtam	enough	adv.
nìteng	too, also, as well, likewise	adv.
nìtut	continually	adv.
nìtxan	much (abstract), very	adv.
nìwin	fast,  quickly	adv.
nìwotx	all (of), in toto, completely	adv.
nulkrr	longer (time)	adv.
nulnew	prefer (ii)	vtrm.
nume	learn	vin.
nga	you	pn.
ngawng	worm	n.
ngay	true	adj.
ngenga	you (honorific (honourific) form)	pn.
ngim	long (physical length)	adj.
ngop	create	vtr.
ngrr	root	n.
nguway	howl, viperwolf cry	n.
oe	I, me	pn.
oeng	we two, us two (dual inclusive), you and I	pn.
oeyk	cause	n.
ohe	I (deferential or ceremonial form)	pn.
olo'	clan	n.
olo'eyktan	clan leader	n.
omum	know	vtr.
ontu	nose	n.
pähem	arrive	vin.
pak	disparagement	part.
pa'li	direhorse	n.
palulukan	thanator	n.
pam	sound	n.
pamtseo	music	n.
pamtseowll	cat ear, music plant	n.
pängkxo	chat, converse, have a conversation	vin.
pänutìng	promise (a thing to someone) (ii)	vtr.
pätsì	badge	n.
pawm	ask	v.
pay	water, liquid	n.
paywll	water plant, dapophet	n.
pe	inter. marker	affix
pe'un	decide	vtr.
pefya	how	inter.
pehem	what (action)	inter.
pehrr	when	inter.
pelun	why	inter.
peng	tell	vtr.
penghrrap	binary sunshine, fringed lamp	n.
peseng	where	inter.
pesu	who	inter.
peu	what (thing)	inter.
pey	wait, wait for	vin.
pizayu	ancestor	n.
plltxe	speak	v.
po	he, she	pn.
poan	he (no plural form: use (ay)fo)	pn.
poe	she (no plural form: use (ay)fo)	pn.
pongu	a group or party of people	n.
prrnen	infant, baby	n.
prrnesyul	bud	n.
prrte'	pleasurable (of an activity)	adj.
pxan	worthy	adj.
pxasìk	screw that!, no way! (vulgar)	intj.
pxasul	fresh, appealing as food	adj.
pxay	many	adj.
pxey	three	num.
pxi	sharp (as a point)	adj.
pxìm	often	adv.
pxiut	razor palm, sharp tree	n.
pxorna'	episoth, exploding seed	n.
pxun	arm	n.
pxuntil	elbow	n.
rä'ä	do not (for negative imperatives, commands only)	part.
ral	meaning	n.
ralpeng	interpret (ii)	vtr.
rawke	alarm cry, call to defense	intj.
rel	image, picture	n.
reltseo	visual art	n.
reltseotu	artist (visual) 	n.
renu	pattern	n.
rey	live	vin.
rikx	move, shift position	vin.
rim	yellow	adj.
rina'	seed	n.
riti	stingbat	n.
rol	sing	v.
ronsem	mind	n.
rum	ball	n.
rumut	ball tree	n.
run	find, discover	vtr.
rutxe	please	intj.
sa'nok	mother	n.
sa'nu	mum, mommy (affectionate form of)	n.
san	saying, quote	adv.
sänume	teaching, instruction	n.
säspxin	disease, sickness, illness	n.
sempu	daddy (affectionate form of)	n.
sempul	father	n.
set	now	adv.
sevin	pretty	adj.
seyri	lip	n.
seze	blue flower	n.
si	auxiliary verb, postpositional nonbound verb do, make	
sì	and (connects two things, can be attached as sì: for clauses use)	conj.
sìk	unquote	adv.
sìlpey	hope (with tsnì for thing hoped, unless in independent clause) (ii)	vin.
sìlronsem	clever, smart (thing)	adj.
sìltsan	good (of its kind), well done	adj.
ska'a	destroy	vtr.
skxawng	moron, idiot	n.
slä	but	conj.
slu	become (noun predicate with ne in ambiguous constructions)	vin.
sngä'i	begin, start	vim.
sngä'ikrr	beginning, starting time	n.
sngel	garbage, trash, rubbish	n.
sngeltseng	rubbish place, garbage dump	n.
snumìna	dim	adj.
som	hot	adj.
somtìlor	popsicle, hot beauty	n.
spaw	believe	vtr.
spxam	mushroom, fungus	n.
spe'e	capture	vtr.
spe'etu	captive	n.
spxin	sick	adj.
srak	inter. marker for yes or no questions	part.
srake	inter. marker for yes or no questions	part.
srane	yes	part., intj.
srew	dance	vin.
srung	help, assistance	n.
stawm	hear	vtr.
steftxaw	examine, check	vtr.
stum	almost	adv.
sutx	track, follow	vtr.
swaw	moment	n.
swey	best	adj.
swirä	creature	n.
swizaw	arrow	n.
swok	sacred	adj.
swotu	sacred place	n.
syaw	call	vin.
syulang	flower	n.
ta	from (locative), from (temporal sense with other time words)	adp.
ta'em	from above	adv.
tafral	therefore, because of that	adv.
täftxu	weave	vtr.
täftxuyu	weaver	n.
takuk	strike, beat, slap	vtr.
talioang	sturmbeest	n.
talun	because, from the reason	conj.
taluna	because, from the reason	conj.
tam	that will suffice, that will do, OK	vin., intj.
tam tam	calm, be content, there there	intj.
tangek	trunk (of a tree)	n.
tanhì	star, bioluminescent freckle	n.
taron	hunt	vtr.
taronyu	hunter	n.
tautral	sky tree	n.
taw	sky	n.
taweyk	because, based on the cause	conj.
taweyka	because, based on the cause	conj.
tawsìp	skyship	n.
tawng	duck, dive	vin.
tawtsngal	panopyra, sky cup	n.
Tawtute	Skyperson, human	prop.n.
te	used in full names	part.
tel	receive	vtr.
telem	cord	n.
teng	same, equal	adj.
tengfya	as, same way as (situational similarity)	conj.
tengkrr	while, same time as	conj.
teri	about, concerning	adp.
terkup	die	vin.
teswotìng	grant (ii)	vtr.
teya	full	adj.
teylu	beetle larva	n.
tewti	wow, expression of surprise and pleasure	intj.
til	joint, hinge	n.
tirea	spirit	n.
tireafya'o	spirit path	n.
tireaioang	spirit animal	n.
tireapängkxo	commune	v.
tì'eyng	answer, response	n.
tìfmetok	test	n.
tìftang	stopping, the glottal stop	n.
tìfyawìntxu	guidance	n.
tìhawnu	protection	n.
tìkangkem	work	n.
tìkawng	evil	n.
tìkenong	example	n.
tìkin	need	n.
tìlor	beauty	n.
tìng	give	vtr.
tìng mikyun	listen	vin.
tìng nari	look	vin.
tìngay	truth	n.
tìpawm	question	n.
tìran	walk	vin.
tìyawn	love	n.
tìrey	life	n.
tìrol	song (vocal)	n.
tìspxin	the state of being ill, sickness	n.
tìtxur	strength, power	n.
to	comparative marker than (behaves like an adp.)	part.
tok	be at, occupy a space	vtr.
toktor	doctor	n.
tokx	body	n.
tompa	rain	n.
toruk	great leonopteryx, last shadow	n.
toruk makto	toruk rider	n.
torukspxam	octoshroom, great leonopteryx fungus	n.
trr	day	n.
trram	yesterday	adv.
tukru	spear	n.
tul	run	vin.
tung	allow	vtr.
tupe	who	inter.
tut	continuation marker	part.
tute	person	n.
tuté	female (person)	n.
tutan	male (person)	n.
tsa'u	that (thing)	dem.
tsaheylu	bond (neural connection)	n.
tsakem	that (action)	dem.
tsakrr	then, at that time, that time	adv.
tsam	war	n.
tsampongu	war party	n.
tsamsiyu	warrior	n.
tsap'alute	apology	n.
tsatseng	there, that place	dem., n.
tsatu	that person	dem.
tsawke	sun	n.
tsawl	big (in size), tall	adj.
tsawlapxangrr	unidelta tree, lit. tall large root	n.
tse'a	see (physical sense)	vtr.
tseng	place	n.
tsenge	place	n.
tsengpe	where	inter.
tseo	art	n.
tskalep	crossbow	n.
tsko	bow (weapon)	n.
tsko swizaw	bow and arrow	n.
tskxe	rock, stone	n.
tskxekeng	training, exercise	n.
tslam	understand	vtr.
tsleng	false	adj.
tslolam	get it, I understand	intj.
tsmuk	sibling	n.
tsmuktu	sibling	n.
tsmukan	brother	n.
tsmuke	sister	n.
tsnì	that (function word)	sbd.
tsngal	cup	n.
tspang	kill	vtr.
tsranten	matter, be of importance	vin.
tstew	brave	adj.
tstxo	name	n.
tsun	can, be able	vim.
tswayon	fly	vin.
tsyal	wing	n.
tsyo	flour	n.
tsyorina'wll	cycad, flour seed plant	n.
txan	much	adj.
txantsan	excellent	adj.
txantslusam	wise	adj.
txe'lan	heart	n.
txele	matter (subject)	n.
txen	awake	adj.
txep	fire	n.
txewk	club (weapon)	n.
txey	halt	v.
txìm	butt, rear end, ass	n.
txìng	leave, abandon	vtr.
txll'u	hookagourd	n.
txo	if	conj.
txoa	forgiveness	n.
txokefyaw	if not, or else, otherwise	conj.
txon	night	n.
txopu	fear	n.
txula	build, construct	vtr.
txum	poison	n.
txumpaywll	scorpion thistle, poison water plant	n.
txumtsä'wll	Baja tickler, poisonsquirting plant	n.
txur	strong (physically)	adj.
ulte	and (clausal conjunction)	conj.
ultxa	meeting	n.
unil	dream	n.
uniltìrantokx	avatar, dreamwalker body	n.
uniltìranyu	dreamwalker	n.
utral	tree	n.
uvan	game	n.
uvan si	play (a game)	vin.
vay	up to	adp.
virä	spread, proliferate	v.
vrrtep	demon	n.
vul	branch (of a tree)	n.
way	song (ancient, ceremonial)	n.
waytelem	song cord	n.
win	fast	adj.
wìntxu	show	vtr.
'ewll	plant	n.
wrrpa	outside	n., adv.
wutso	dinner, served meal	n.
ya	air	n.
yawne	beloved	adj.
ye'rìn	soon	adv.
yerik	hexapede	n.
yey	straight	adj.
yìm	bind	vtr.
yol	short (of time)	adj.
yom	eat	vtr.
yomhì'ang	small animal/insect eater, dakteron	n.
yomioang	chalice plant	n.
yomtìng	feed (with dative object) (ii)	vin.
yur	wash	vtr.
za'ärìp	pull	vtr.
za'u	come	vin.
zamunge	bring	vtr.
zawng	scream	vin.
zekwä	finger	n.
zene	must	vim.
zìsìt	year	n.
zong	save, defend	vtr.
zongtseng	safe place, refuge	n.
zoplo	offence, insult	n.
zusawkrr	future	n.
Jakesully	moron, toruk maktoyu	n.
'ärìp	move	vtr.
'awstengyem	bind / bring two or more things together (ii)	vtr.
'efu	feel, sense, perceive	vtr.
'em	cook	vtr.
'eyng	answer, respond	v.
'i'a	end, conclude	vin.
'ia	lose oneself (spiritual sense)	vin.
fkxake	itch	v.
fmal	sustain	vtr.
frìp	bite	vtr.
ftem	pass by (something)	vtr.
fwew	look for, seek, search	vtr.
hangham	laugh	vin.
vaykrr	until	conj.
sngap	sting	vtr.
hawl	prepare	vtr.
kä'ärìp	push	vtr.
kavuk si	betray	vin.
kllkä	go down, descend	vin.
latsi	keep up with someone	v.
lek	heed, obey	vtr.
len	happen, occur	vin.
lew si	cover	vin.
muntxa si	mate (with someone), marry	vin.
näk	drink	vtr.
nong	follow, proceed after	vtr.
oeyktìng	explain (why) (ii)	vtr.
pate	get to a place, arrive	v.
piak si	open	vin.
pom	kiss	vtr.
pxor	explode	vin.
salew	proceed, go	v.
sar	use	vtr.
sim	be near	svin.
sleyku	produce	vtr.
sop	travel	vin.
spä	jump	v.
speng	restore	vtr.
spule	propel	vtr.
srese'a	prophetize, prophesize, prophesy, predict	vtr.
steyki	anger, make someone angry	vtr.
sti	anger (intransitive), be angry	vin.
sto	refuse (to do something)	vtrm.
sung	add	vtr.
syep	trap	vtr.
tatep	lose track, lose awareness of something	vtr.
tätxaw	return	vin.
tem	shoot	vin.
tì'awm si	camp	vin.
tì'awm	camping	n.
tìkangkem si	work	vin.
tìng tseng	back down, give ground	vin.
tìsraw seyki	hurt (someone or something)	vtr.
tìsraw	pain	n.
tìsraw si	hurt, be painful	vin.
toltem	shoot	vtr.
tsä'	squirt	v.
tsaheyl si	bond with, establish a neural connection	vin.
tsap'alute si	apologise (apologize)	vin.
tsawl slu	grow	vin.
tsngawvìk	cry, weep	vin.
tsre'i	throw	vtr.
tstu si	close	vin.
tsunslu	may, be possible	vin.
tsurokx	rest	vin.
tungzup	drop	vtr.
wem	fight	vin.
win säpi	hurry	vin.
win si	rush something, make something fast	vin.
yän	fasten, tie down	vtr.
yem	put, place	vtr.
zenke	must not (ii)	vim.
zup	fall	vin.
nekll	down (direction)	adv.
srung si	help	vin.
txopu si	be afraid	vin.
fkip	up among	adp.
io	over,  above	adp.
kxamlä	through (via the middle of)	adp.
lok	close to	adp.
maw	after (time)	adp.
mìkam	between	adp.
nemfa	into, inside	adp.
pxaw	around	adp.
pxel	like, as	adp.
sìn	on, onto	adp.
takip	from among	adp.
uo	behind	adp.
luke	without	adp.
tafkip	from up among	adp.
ro	at (locative)	adp.
sre	before (time)	adp.
wä	against (as in: fight against)	adp.
fäpa	top	n.
alìm	far away, at a distance	adv.
aylaru	to the others	pn.
kxu	harm	n.
eltu lefngap	computer	n.
kì'ong	slow	adj.
säfpìl	idea	n.
kefyak	isn't it?, right?	part.
prrwll	moss	n.
pängkxoyu lekoren	lawyer	n.
pamrel	writing	n.
pamrel si	write	vin.
furia	that	pn., sbd.
fratseng	everywhere	adv.
fratrr	daily, every day	adv.
frato	superlative marker than all	part.
trray	tomorrow	adv.
kea	no (before a noun)	adj.
ngian	however	adv.
skepek	formal	adj.
hufwa	although	conj.
tup	instead of, rather than	conj.
'uo	something	pn.
tuteo	somebody, someone	pn.
tsengo	somewhere	pn.
holpxaype	how many	inter.
hìm	small (in quantity)	adj.
hìmtxampe	how much	inter.
hìmtxan	amount	n.
pìmtxan	how much	inter.
lì'upe	what (word, utterance)	inter.
pelì'u	what (word, utterance)	inter.
ultxarun	encounter, meet by chance (ii)	vtr.
ultxa si	meet with someone intentionally (use hu with)	vin.
rangal	wish	vin.
nìrangal	wish (contrary to fact, with perfective or imperfective subjunctive)	adv.
txepvi	spark	n.
nitram	happy (of people)	adj.
fewi	chase	vtr.
stä'nì	catch	vtr.
sran	yes (colloquial)	part., intj.
weyn	draw, illustrate	vtr.
fìtrr	today	adv.
rusey	alive, living, living thing	adj., n.
vitra	soul	n.
nìzawnong	safely	adv.
ftawnemkrr	past	n.
txal	back (of the body)	n.
tsìng	four	num.
mrr	five	num.
pukap	six	num.
kinä	seven	num.
vol	eight	num.
zam	sixty four	num.
tìoeyktìng	explanation	n.
lesar	useful	adj.
tse	well (conversation starter)	part.
skxom	chance, opportunity	n.
fkxen	vegetable (food)	n.
syä'ä	bitter	adj.
yemfpay si	dip into liquid	vin.
yemfpay	dipping, immersion (into liquid)	n.
keng	even, so much as	adv.
'awlo	once	adv.
melo	twice	adv.
heyn	sit	vin.
nìpxim	erectly, rightly	adv.
pxim	erect, upright	adj.
tuvon	lean	v.
nìfya'o	in a manner	adv.
letrrtrr	ordinary	adj.
nì'eoio	ceremoniously	adv.
'eoio	ceremonious	adj.
rìk	leaf	n.
lerìk	leafy	adj.
pa'o	side	n.
kllpa	bottom	n.
mìfa	inside	n., adv.
nefä	up (direction)	adv.
zapxì	front (part or section)	n.
käpxì	rear (part or section)	n.
käsatseng	out there	adv.
ftxey	whether, or	conj.
ngaytxoa	sorry, my apologies (acknowledgment of guilt and regret)	intj.
flew	throat	n.
kxa	mouth	n.
nikre	hair	n.
pewn	neck	n.
re'o	head	n.
sre'	tooth	n.
tsuksìm	chin	n.
key	face	n.
puk	book	n.
ngäng	stomach	n.
ta'leng	skin	n.
tsyokx	hand	n.
reypay	blood	n.
tsopì	lung	n.
venu	foot	n.
venzek	toe	n.
ramunong	well	n.
payfya	stream	n.
pxawpa	perimeter, circumference, border	n.
txampay	sea, ocean	n.
'ora	lake	n.
ekxan	barricade, obstruction	n.
tsim	source	n.
tsray	village	n.
txayo	field, open terrain, plain	n.
ukxo	dry	adj.
wew	cold	adj.
fìtxon	tonight	adv., n.
txonam	last night	adv.
txonay	tomorrow night	adv.
sekrr	present	n.
vur	story	n.
tìpängkxo	conversation, discussion	n.
tìsrese'a	prophecy	n.
nawmtu	great person	n.
txantstew	hero	n.
syuve	food (collective noun, cannot be pluralised)	n.
tsngan	meat	n.
tstal	knife	n.
tete	dull (as a blade)	adj.
lew	cover, lid	n.
'opin	color	n.
leNa'vi	having to do with the Na'vi, the People	adj.
nìNa'vi	like the Na'vi, Na'vily	adv.
hapxìtu	member	n.
'Rrta	Earth	prop.n.
fwäkìwll	mantis orchid	n.
hì'ang	insect	n.
payoang	fish	n.
yayo	bird	n.
zize'	hellfire wasp	n.
kemlì'u	verb	n.
tstxolì'u	noun	n.
ftär	left (not right)	adj.
skien	right (not left)	adj.
'änsyem	complete	adj.
wotx	totality, whole	n.
mowan	pleasing, enjoyable (physically, sexually)	adj.
vä'	unpleasant to the senses, noisome	adj.
tatlam	apparently	adv.
keteng	different	adj.
numtseng	school	n.
skxakep	probable, probably	adj., adv.
tìprrte'	pleasure	n.
kaw'it	not at all, not a bit (used with ke; see ke kaw'it not...at all in phrases)	adv.
nìlkeftang	continuously, incessantly, without stopping	adv.
tì'i'avay	until the end	adv.
'awm	camp	n.
tìska'a	destruction	n.
tìsop	journey	n.
wempongu	squad, military clan, battle party	n.
asim	nearby, at close range	adv.
klltseng	position	n.
kxutu	enemy	n.
mekre	supplies	n.
tìhawl	preparations, plan	n.
tìkan	aim, goal, purpose, target	n.
tìpähem	arrival	n.
numeyu	student	n.
soaia	family (irregular genitive form soaiä)	n.
tìmuntxa	mating, marriage	n.
yawnetu	loved one	n.
yawntu	loved one	n.
kakrel	blind	adj.
kanu	smart, intelligent	adj.
koak	old, aged (for living things)	adj.
lekye'ung	insane, crazy	adj.
me'em	harmonious	adj.
txanew	greedy	adj.
txantur	powerful	adj.
tì'awpo	individuality (negative connotation), selfishness	n.
tì'eylan	friendship	n.
fkay	hateful	adj.
keltsun	impossible	adj.
kxuke	safe	adj.
lehawng	excessive	adj.
hawng	overabundance	n.
lekin	necessary	adj.
stxong	strange, unfamiliar, unknown	adj.
syen	last, final	adj.
kavuk	treachery	n.
fpìlfya	thought pattern, way of thinking	n.
syay	fate	n.
tìfnu	quiet, silence	n.
tìngop	abstract idea of a creation	n.
tìpe'un	decision	n.
kxitx	death	n.
trr'awve	Sunday	n.
trrmuve	Monday	n.
trrpxeyve	Tuesday	n.
trrtsìve	Wednesday	n.
trrmrrve	Thursday	n.
trrpuve	Friday	n.
trrkive	Saturday	n.
'ango	soft (of a sound)	adj.
kxayl	high	adj.
rey'eng	the Balance of Life	n.
tìme'em	harmony (general sense)	n.
fnel	kind, type	n.
fnepe	which kind	inter.
pefnel	which kind	inter.
zerok	remember	vtr.
tswa'	forget	vtr.
tì'efu	feeling	n.
maweypey	be patient (ii)	svin.
tìmweypey	patience	n.
lemweypey	patient	adj.
nìmweypey	patiently	adv.
tsakrrvay	until then, in the meantime	adv.
ohakx	hungry	adj.
tìohakx	hunger	n.
tsyosyu	food made from flour	n.
vey	food made from animal origin, flesh	n.
trrpeve	which day (derived from trr day and pe interrogative marker and ve ordinal number marker)	inter.
pxiswawam	just a moment ago	adv.
pxiset	right now	adv.
pxiswaway	in just a second from now	adv.
pxiye'rìn	immediately (not as soon as pxiswaway)	adv.
pxisre	right before	adp.
pximaw	right after	adp.
sok	recent	adj.
'awlie	once (in the past)	adv.
tìkxey	incorrectness, mistakeness	n.
tìkxey si	mess up, foul, do wrong	vin.
tìyawr	correctness	n.
tìketeng	difference	n.
fpomtokx	health (physical)	n.
lefpomtokx	healthy (physically) 	adj.
kelfpomtokx	unhealthy (physically)	adj.
keftxo	unhappy, upset, 'How sad!'	adj., intj.
nìkeftxo	unfortunately, sadly	adv.
sraw	painful	adj.
txampxì	majority, most, large part	n.
vurvi	summary, synopsis	n.
sänumvi	lesson	n.
letam	sufficient	adj.
letsranten	important	adj.
nìswey	optimally, best	adv.
nìpxi	especially, pointedly, unambiguously	adv.
wok	loud	adj.
spuwin	old, former	adj.
nì'eyng	back, in response, in answer	adv.
nìkanu	intelligently, in a smart way	adv.
nìlaw	clearly	adv.
tìsti	anger	n.
tìtxanew	greed	n.
tìftxey	choice	n.
tìkanu	intelligence	n.
tìlam	appearance	n.
tìtslam	understanding, intelligence	n.
tìtxula	construction, constructed thing	n.
hewne	soft (of an object)	adj.
tìm	low	adj.
laro	clean	adj.
tsewtx	dirty	adj.
lefngap	metallic	adj.
txa'	hard	adj.
fwel	broken	adj.
etrìp	favorable, auspicious	adj.
piak	open, clear (for cloudless skies)	adj.
tstu	closed, shut, overcast (for cloudy skies)	adj.
kxll si	charge	vin.
tsaw	that, it (as intransitive subject)	dem., pn.
tsalsungay	nevertheless, even so	adv.
oìsss	angry snarl, 'watch it!'	intj.
saa	threatening cry	intj.
sau	exclamation upon exertion, urgh	intj.
tsahey	expression of warning or frustration, 'crap!', 'ah, hell!'	intj.
wiya	expression of warning or frustration, 'damn!'	intj.
ìley	war cry	intj.
vawm	dark	adj.
tìvawm	darkness	n.
polpxay	how many	inter.
ke'aw	divided, torn apart, striferidden	adj.
nìsti	angrily	adv.
teyr	white	adj.
layon	black	adj.
pänu	promise	n.
kew	zero	num.
'eyt	the symbol 8 (not the value eight)	n.
nayn	the symbol 9 (not the value nine)	n.
trr'ong	dawn, sunrise	n.
trr'ongmaw	dawn after sunrise	n.
rewon	morning	n.
srekamtrr	the time before noon	n.
kxamtrr	midday, noon	n.
kxamtrrmaw	the time immediately after noon, early afternoon	n.
ha'ngir	afternoon	n.
kaym	evening (before twilight), late afternoon	n.
sreton'ong	dusk, evening before sunset	n.
txon'ong	nightfall, sunset, dusk, gloaming	n.
txon'ongmaw	twilight, the time before dark, after sunset	n.
srekamtxon	before midnight	n.
kxamtxon	midnight	n.
kxamtxomaw	after midnight	n.
sresrr'ong	before dawn	n.
