"Frontside"	"Flipside"	"Category"
swok	helig	adj.
swotu	helig plats	n.
syaw	kalla (någon)	vin.
syulang	blomma	n.
ta	ifrån (olika användningsområden)	adp.
ta'em	ifrån ovan	adv.
tafral	därför, på grund av det	adv.
täftxu	väva	vtr.
täftxuyu	vävare	n.
takuk	slå till, attackera	vtr.
talioang	sturmbeest (varelse som lever på Pandora)	n.
talun	därför, ifrån anledningen	conj.
taluna	därför, ifrån anledningen	conj.
tam	tillräckligt, okej, OK, det blir bra	vin., intj.
tam tam	lugn, så ja	intj.
tangek	stam (av ett träd)	n.
tanhì	stjärna, självlysande prick	n.
taron	jaga	vtr.
taronyu	jägare	n.
tautral	himmelsträd	n.
taw	himmel, sky	n.
taweyk	därför, baserad på orsaken	conj.
taweyka	därför, baserad på orsaken	conj.
tawsìp	himmelsskepp	n.
tawng	ducka, dyka	vin.
tawtsngal	himmelskopp	n.
Tawtute	Himmelsperson, människa	prop.n.
te	partikel som används i hela namn	part.
tel	ta emot, få, mottaga	vtr.
telem	träns	n.
teng	samma, lika	adj.
tengfya	som, samma sätt som (situationsanpassad likhet)	conj.
tengkrr	under tiden, samtidigt som	conj.
teri	angående, om	adp.
terkup	dö	vin.
teswotìng	tillåta, bevilja	vtr.
teya	full	adj.
teylu	skalbaggslarv	n.
tewti	wow!, uttryck av överraskning och nöje	intj.
til	fog, skrav	n.
tirea	ande	n.
tireafya'o	andeväg	n.
tireaioang	andedjur	n.
tireapängkxo	samtala i förtroende	v.
tì'eyng	svar, respons	n.
tìfmetok	test	n.
tìftang	stoppet, den glottala klusilen	n.
tìfyawìntxu	vägledning	n.
tìhawnu	skydd	n.
tìkangkem	arbete	n.
tìkawng	ondska	n.
tìkenong	exempel	n.
tìkin	behov	n.
tìlor	skönhet	n.
tìng	ge	vtr.
tìng mikyun	lyssna	vin.
tìng nari	titta	vin.
tìngay	sanning	n.
tìpawm	fråga	n.
tìran	gå	vin.
tìyawn	kärlek	n.
tìrey	liv	n.
tìrol	sång (vokal)	n.
tìspxin	sjukdom, tillståndet att vara sjuk	n.
tìtxur	styrka	n.
to	comparative marker than (behaves like an adp.)	part.
tok	vara, ockupera en plats	vtr.
toktor	doktor	n.
tokx	kropp	n.
tompa	regn	n.
toruk	sista skuggan, great leonopteryx	n.
toruk makto	ryttare av sista skuggan	n.
torukspxam	svamp	n.
trr	dag	n.
trram	igår	adv.
tukru	spjut	n.
tul	springa	vin.
tung	tillåta	vtr.
tupe	vem	inter.
tut	kontinuerlig markör	part.
tute	person	n.
tuté	kvinna (person)	n.
tutan	manlig person	n.
tsa'u	den där, det där (saken)	dem.
tsaheylu	band, förbindelse (nervanslutning)	n.
tsakem	den där (handlingen)	dem.
tsakrr	då, den tiden	adv.
tsam	krig	n.
tsampongu	krigsparti, grupp av krigare	n.
tsamsiyu	krigare	n.
tsap'alute	ursäkt	n.
tsatseng	där, det stället	dem., n.
tsatu	den där (personen)	dem.
tsawke	sol	n.
tsawl	stor (i storlek), lång	adj.
tsawlapxangrr	stor, lång rot	n.
tse'a	se (fysiskt)	vtr.
tseng	plats	n.
tsenge	plats	n.
tsengpe	var, vart	inter.
tseo	konst	n.
tskalep	armborst	n.
tsko	båge (vapen)	n.
tsko swizaw	pil och båge	n.
tskxe	sten	n.
tskxekeng	träning, övning	n.
tslam	förstå	vtr.
tsleng	falsk	adj.
tslolam	jag fattar, jag förstår	intj.
tsmuk	syskon	n.
tsmuktu	syskon	n.
tsmukan	broder, bror	n.
tsmuke	syster	n.
tsnì	att (funktionsord)	sbd.
tsngal	kopp, mugg	n.
tspang	döda	vtr.
tsranten	spela roll, vara av värde	vin.
tstew	modig	adj.
tstxo	namn	n.
tsun	kan, kunna	vim.
tswayon	flyga	vin.
tsyal	vinge	n.
tsyo	mjöl	n.
tsyorina'wll	mjölfröväxt	n.
txan	mycket, många (i kvantitet)	adj.
txantsan	utmärkt	adj.
txantslusam	vis	adj.
txe'lan	hjärta	n.
txele	ärende, sak	n.
txen	vaken	adj.
txep	eld	n.
txewk	klubba (vapen)	n.
txey	stoppa, stanna	v.
txìm	rumpa	n.
txìng	lämna, överge	vtr.
txll'u	kalebassväxt, hookagourd	n.
txo	om	conj.
txoa	förlåtelse	n.
txokefyaw	annars, om inte	conj.
txon	natt	n.
txopu	rädsla	n.
txula	bygga, konstruera	vtr.
txum	gift	n.
txumpaywll	giftig vattenväxt	n.
txumtsä'wll	giftsprutande växt	n.
txur	stark (fysiskt)	adj.
ulte	och (klausulkonjunktion)	conj.
ultxa	möte	n.
unil	dröm	n.
uniltìrantokx	avatar, drömvandrarkropp	n.
uniltìranyu	drömvandrare	n.
utral	träd	n.
uvan	spel, lek, uvan letokx sport	n.
uvan si	spela (ett spel)	vin.
vay	upp till	adp.
virä	sprida, föröka	v.
vrrtep	demon	n.
vul	gren (av ett träd)	n.
way	sång (uråldrig, ceremoniell)	n.
waytelem	sångackord	n.
win	snabb	adj.
wìntxu	visa	vtr.
'ewll	planta, växt	n.
wrrpa	utomhus, ute	n., adv.
wutso	middag, serverad måltid	n.
ya	luft	n.
yawne	älskad	adj.
ye'rìn	snart	adv.
yerik	hexapede	n.
yey	rak	adj.
yìm	binda, knyta fast	vtr.
yol	kort (om tid)	adj.
yom	äta	vtr.
yomhì'ang	insektsätare	n.
yomioang	chalice plant, köttätande växt	n.
yomtìng	mata (med dativsobjekt) (ii)	vin.
yur	tvätta	vtr.
za'ärìp	dra, rycka	vtr.
za'u	komma	vin.
zamunge	ta med	vtr.
zawng	skrika	vin.
zekwä	finger	n.
zene	måste	vim.
zìsìt	år	n.
zong	skydda, rädda	vtr.
zongtseng	tryggt ställe, fristad	n.
zoplo	förolämpning	n.
zusawkrr	framtid	n.
Jakesully	idiot, ryttare av toruk	n.
'ärìp	flytta	vtr.
'awstengyem	koppla ihop två saker (ii)	vtr.
'efu	känna, uppfatta, märka	vtr.
'em	laga (mat)	vtr.
'eyng	svara, ge respons	v.
'i'a	sluta, upphöra	vin.
'ia	förlora sig själv (spirituellt sätt)	vin.
fkxake	klia	v.
fmal	upprätthålla, klara av	vtr.
frìp	bita	vtr.
ftem	passera (något)	vtr.
fwew	leta efter, söka	vtr.
hangham	skratta	vin.
vaykrr	tills, ända tills, fram till	conj.
sngap	sticka (med tex. gadd)	vtr.
hawl	förbereda	vtr.
kä'ärìp	trycka	vtr.
kavuk si	förråda	vin.
kllkä	sjunka, dala, gå ner för landning	vin.
latsi	hänga med någon, inte halka efter	v.
lek	lyssna, lyda	vtr.
len	hända	vin.
lew si	täcka, täcka över	vin.
muntxa si	para sig (med någon), gifta sig	vin.
näk	dricka	vtr.
nong	följa, härma	vtr.
oeyktìng	förklara (varför) (ii)	vtr.
pate	komma till en plats, anlända	v.
piak si	öppna	vin.
pom	kyssa	vtr.
pxor	explodera	vin.
salew	avancera, röra framåt	v.
sar	använda	vtr.
sim	nära, vara nära	svin.
sleyku	producera	vtr.
sop	resa	vin.
spä	hoppa	v.
speng	återställa	vtr.
spule	framdriva	vtr.
srese'a	förutspå	vtr.
steyki	göra någon arg	vtr.
sti	arg (intransitivt), vara arg	vin.
sto	vägra (att göra något)	vtrm.
sung	lägga till	vtr.
syep	fånga	vtr.
tatep	tappa bort, förlora ur sikte	vtr.
tätxaw	återvända	vin.
tem	skjuta	vin.
tì'awm si	campa, slå läger	vin.
tì'awm	camping	n.
tìkangkem si	arbeta	vin.
tìng tseng	ge plats, ge med sig	vin.
tìsraw seyki	skada (någon eller något)	vtr.
tìsraw	smärta	n.
tìsraw si	skada, vara smärtsam	vin.
toltem	skjuta	vtr.
tsä'	spruta	v.
tsaheyl si	binda med, åstadkomma nervanslutning	vin.
tsap'alute si	be om ursäkt	vin.
tsawl slu	växa	vin.
tsngawvìk	gråta	vin.
tsre'i	kasta	vtr.
tstu si	stänga	vin.
tsunslu	kan, vara möjligt	vin.
tsurokx	vila	vin.
tungzup	tappa (släppa) (ii)	vtr.
wem	slåss	vin.
win säpi	skynda	vin.
win si	skynda på något, göra något snabbt	vin.
yän	sätta fast, binda	vtr.
yem	sätta dit, placera, sätta	vtr.
zenke	få inte	vim.
zup	falla	vin.
nekll	ner (riktning)	adv.
srung si	hjälpa	vin.
txopu si	vara rädd	vin.
fkip	upp bland	adp.
io	över	adp.
kxamlä	genom (via mitten)	adp.
lok	nära, tätt intill	adp.
maw	efter (tidsmässigt)	adp.
mìkam	mellan	adp.
nemfa	in till, inuti	adp.
pxaw	runt, runt om	adp.
pxel	som, likt	adp.
sìn	på, ovanpå	adp.
takip	ifrån bland, från mellan	adp.
uo	bakom	adp.
luke	utan	adp.
tafkip	från upp bland	adp.
ro	på, vid (plats)	adp.
sre	före (tidsmässigt)	adp.
wä	emot, mot (som i: slåss mot)	adp.
fäpa	topp	n.
alìm	långt bort, på avstånd	adv.
aylaru	till de andra	pn.
kxu	skada	n.
eltu lefngap	dator	n.
kì'ong	långsam	adj.
säfpìl	idé	n.
kefyak	eller hur?, korrekt?	part.
prrwll	mossa	n.
pängkxoyu lekoren	advokat	n.
pamrel	text	n.
pamrel si	skriva	vin.
furia	att (klausul bisatsmarkör)	pn., sbd.
fratseng	överallt	adv.
fratrr	dagligen, varje dag	adv.
frato	superlativsmarkör än alla (beter sig som en adp.)	part.
trray	imorgon	adv.
kea	inte (före ett substantiv)	adj.
ngian	hursomhelst	adv.
skepek	formell	adj.
hufwa	fastän, även	conj.
tup	istället för, snarare än	conj.
'uo	någonting	pn.
tuteo	någon	pn.
tsengo	någonstans	pn.
holpxaype	hur många	inter.
hìm	lite (i kvantitet)	adj.
hìmtxampe	hur mycket	inter.
hìmtxan	mängd	n.
pìmtxan	hur mycket	inter.
lì'upe	vad (för ord)	inter.
pelì'u	vad (för ord)	inter.
ultxarun	träffa, mötas av slump	vtr.
ultxa si	möta någon avsiktligt (använd hu med)	vin.
rangal	önska	vin.
nìrangal	önska (kontrast till fakta)	adv.
txepvi	gnista	n.
nitram	lycklig, glad (om folk)	adj.
fewi	jaga, förfölja	vtr.
stä'nì	fånga	vtr.
sran	ja (vardagligt)	part., intj.
weyn	måla, illustrera	vtr.
fìtrr	idag	adv.
rusey	levande, levande sak	adj., n.
vitra	själ	n.
nìzawnong	säkert	adv.
ftawnemkrr	förr, förr i tiden	n.
txal	rygg, baksida (av kroppen)	n.
tsìng	fyra	num.
mrr	fem	num.
pukap	sex	num.
kinä	sju	num.
vol	åtta	num.
zam	sextiofyra	num.
tìoeyktìng	förklaring	n.
lesar	användbar	adj.
tse	ja, tja, hursomhelst (ord som startar konversation)	part.
skxom	chans, möjlighet	n.
fkxen	grönsak (mat)	n.
syä'ä	bitter	adj.
yemfpay si	doppa i vätska	vin.
yemfpay	doppande, nedsänkning (i vätska)	n.
keng	till och med, så mycket som	adv.
'awlo	en gång	adv.
melo	två gånger	adv.
heyn	sitta	vin.
nìpxim	upprätt, rakt	adv.
pxim	rak upprätt	adj.
tuvon	luta	v.
nìfya'o	på ett sätt som..	adv.
letrrtrr	vanlig, ordinär, (rutinmässig)	adj.
nì'eoio	högtidligt	adv.
'eoio	högtidlig	adj.
rìk	blad, löv	n.
lerìk	lummig, lövrik	adj.
pa'o	sida	n.
kllpa	botten	n.
mìfa	inomhus, inne	n., adv.
nefä	upp (riktning)	adv.
zapxì	framsida (del eller sektion)	n.
käpxì	bak (del eller sektion)	n.
käsatseng	där ute	adv.
ftxey	eller, antingen	conj.
ngaytxoa	förlåt, mina ursäkter (erkännande av skuld och ånger)	intj.
flew	hals	n.
kxa	mun	n.
nikre	hår	n.
pewn	nacke	n.
re'o	huvud	n.
sre'	tand	n.
tsuksìm	haka	n.
key	ansikte	n.
puk	bok	n.
ngäng	mage	n.
ta'leng	skinn, hud	n.
tsyokx	hand	n.
reypay	blod	n.
tsopì	lunga	n.
venu	fot	n.
venzek	tå	n.
ramunong	brunn	n.
payfya	ström (i vatten)	n.
pxawpa	omkrets, gräns	n.
txampay	hav, ocean	n.
'ora	sjö	n.
ekxan	barrikad, hinder	n.
tsim	källa	n.
tsray	by	n.
txayo	fält, öppen terräng, slätt	n.
ukxo	torr	adj.
wew	kall	adj.
fìtxon	ikväll	adv., n.
txonam	igår kväll	adv.
txonay	imorgon kväll	adv.
sekrr	nutid	n.
vur	berättelse	n.
tìpängkxo	konversation, diskussion	n.
tìsrese'a	profetia	n.
nawmtu	stor person (som i mäktig, väldig)	n.
txantstew	hjälte	n.
syuve	mat (kollektivt substantiv, kan inte pluraliseras)	n.
tsngan	kött	n.
tstal	kniv	n.
tete	slö (om egg, knivblad)	adj.
lew	lock, omslag, skydd	n.
'opin	färg	n.
leNa'vi	angående Na'vifolket	adj.
nìNa'vi	som Na'vi, Na'viaktigt	adv.
hapxìtu	medlem	n.
'Rrta	Jorden	prop.n.
fwäkìwll	mantis orchid, orkidéönsyrsa	n.
hì'ang	insekt	n.
payoang	fisk	n.
yayo	fågel	n.
zize'	hellfire wasp, helveteseldgeting	n.
kemlì'u	verb	n.
tstxolì'u	substantiv	n.
ftär	vänster	adj.
skien	höger	adj.
'änsyem	komplett, färdigt	adj.
wotx	helhet, totalhet	n.
mowan	njutbar, behaglig, trevlig (fysiskt, sexuellt)	adj.
vä'	obehaglig för sinnena, vidrig	adj.
tatlam	tydligen, uppenbarligen	adv.
keteng	annorlunda	adj.
numtseng	skola	n.
skxakep	trolig, sannolik, troligt sannolikt	adj., adv.
tìprrte'	njutning	n.
kaw'it	inte alls, över huvud taget (see ke...kaw'it inte...alls)	adv.
nìlkeftang	oavbrutet, utan att sluta	adv.
tì'i'avay	till slutet	adv.
'awm	läger	n.
tìska'a	förstörelse	n.
tìsop	resa	n.
wempongu	trupp, militärklan	n.
asim	i närheten	adv.
klltseng	position	n.
kxutu	fiende	n.
mekre	förnödenheter	n.
tìhawl	förberedelser, plan	n.
tìkan	mål, sikte, mening	n.
tìpähem	ankomst	n.
numeyu	student, elev	n.
soaia	familj (oregelbunded genitivform soaiä)	n.
tìmuntxa	parning, giftermål	n.
yawnetu	en älskad, älskling	n.
yawntu	en älskad, älskling	n.
kakrel	blind	adj.
kanu	smart, intelligent (om en person)	adj.
koak	gammal, åldrad (om levande saker)	adj.
lekye'ung	galen, knäpp	adj.
me'em	harmonisk	adj.
txanew	girig	adj.
txantur	kraftfull	adj.
tì'awpo	individualitet (negativ betydelse), själviskhet	n.
tì'eylan	vänskap	n.
fkay	hatisk	adj.
keltsun	omöjlig	adj.
kxuke	säker	adj.
lehawng	överdriven	adj.
hawng	överflöd	n.
lekin	nödvändig	adj.
stxong	konstigt, okänd	adj.
syen	slutgiltig, sist	adj.
kavuk	förräderi, svek	n.
fpìlfya	tankegång, sätt att tänka	n.
syay	öde	n.
tìfnu	tystnad	n.
tìngop	skapelse	n.
tìpe'un	val	n.
kxitx	död	n.
trr'awve	Söndag	n.
trrmuve	Måndag	n.
trrpxeyve	Tisdag	n.
trrtsìve	Onsdag	n.
trrmrrve	Torsdag	n.
trrpuve	Fredag	n.
trrkive	Lördag	n.
'ango	mjuk (om ett ljud)	adj.
kxayl	hög	adj.
rey'eng	Livets balans	n.
tìme'em	harmoni (allmän känsla)	n.
fnel	typ, sort	n.
fnepe	vilken sort	inter.
pefnel	vilken sort	inter.
zerok	komma ihåg	vtr.
tswa'	glömma	vtr.
tì'efu	känsla	n.
maweypey	vara tålmodig	svin.
tìmweypey	tålmodighet	n.
lemweypey	tålmodig	adj.
nìmweypey	tålmodigt	adv.
